time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-24,5.0,,,,0.122,,,,8.33
2020-02-25,0.0,,,,0.0,,,,8.33
2020-02-26,0.0,,,,0.0,,,,8.33
2020-02-27,0.0,,,,0.0,,,,8.33
2020-02-28,0.0,,,,0.0,,,,8.33
2020-02-29,0.0,0.714,,,0.0,0.017,,,8.33
2020-03-01,0.0,0.714,,,0.0,0.017,,,27.78
2020-03-02,0.0,0.0,,,0.0,0.0,,,27.78
2020-03-03,0.0,0.0,,,0.0,0.0,,,27.78
2020-03-04,0.0,0.0,,,0.0,0.0,,,27.78
2020-03-05,0.0,0.0,,,0.0,0.0,,,27.78
2020-03-06,0.0,0.0,,,0.0,0.0,,,27.78
2020-03-07,3.0,0.429,,,0.073,0.01,,,27.78
2020-03-08,0.0,0.429,,,0.0,0.01,,,27.78
2020-03-09,0.0,0.429,,,0.0,0.01,,,27.78
2020-03-10,0.0,0.429,,,0.0,0.01,,,27.78
2020-03-11,3.0,0.857,,,0.073,0.021,,,27.78
2020-03-12,0.0,0.857,,,0.0,0.021,,,27.78
2020-03-13,0.0,0.857,,,0.0,0.021,,,27.78
2020-03-14,3.0,0.857,,,0.073,0.021,,,38.89
2020-03-15,6.0,1.714,,,0.146,0.042,,,38.89
2020-03-16,5.0,2.429,,,0.122,0.059,,,38.89
2020-03-17,1.0,2.571,,,0.024,0.063,,,38.89
2020-03-18,0.0,2.143,,,0.0,0.052,,,41.67
2020-03-19,0.0,2.143,,,0.0,0.052,,,41.67
2020-03-20,,,,,,,,,41.67
2020-03-21,0.0,1.714,,,0.0,0.042,,,41.67
2020-03-22,10.0,2.286,,,0.243,0.056,,,41.67
2020-03-23,6.0,2.429,1.0,,0.146,0.059,0.024,,41.67
2020-03-24,2.0,2.571,0.0,,0.049,0.063,0.0,,50.93
2020-03-25,32.0,7.143,0.0,,0.778,0.174,0.0,,59.26
2020-03-26,6.0,8.0,1.0,,0.146,0.195,0.024,,59.26
2020-03-27,11.0,9.571,0.0,,0.267,0.233,0.0,,59.26
2020-03-28,15.0,11.714,0.0,0.286,0.365,0.285,0.0,0.007,67.59
2020-03-29,8.0,11.429,2.0,0.571,0.195,0.278,0.049,0.014,67.59
2020-03-30,0.0,10.571,0.0,0.429,0.0,0.257,0.0,0.01,67.59
2020-03-31,52.0,17.714,0.0,0.429,1.264,0.431,0.0,0.01,67.59
2020-04-01,26.0,16.857,0.0,0.429,0.632,0.41,0.0,0.01,67.59
2020-04-02,43.0,22.143,0.0,0.286,1.045,0.538,0.0,0.007,67.59
2020-04-03,34.0,25.429,1.0,0.429,0.827,0.618,0.024,0.01,67.59
2020-04-04,1.0,23.429,0.0,0.429,0.024,0.57,0.0,0.01,67.59
2020-04-05,29.0,26.429,2.0,0.429,0.705,0.643,0.049,0.01,78.7
2020-04-06,38.0,31.857,0.0,0.429,0.924,0.775,0.0,0.01,78.7
2020-04-07,30.0,28.714,4.0,1.0,0.729,0.698,0.097,0.024,78.7
2020-04-08,56.0,33.0,3.0,1.429,1.362,0.802,0.073,0.035,78.7
2020-04-09,21.0,29.857,1.0,1.571,0.511,0.726,0.024,0.038,78.7
2020-04-10,77.0,36.0,0.0,1.429,1.872,0.875,0.0,0.035,78.7
2020-04-11,0.0,35.857,0.0,1.429,0.0,0.872,0.0,0.035,78.7
2020-04-12,34.0,36.571,3.0,1.571,0.827,0.889,0.073,0.038,84.26
2020-04-13,52.0,38.571,1.0,1.714,1.264,0.938,0.024,0.042,84.26
2020-04-14,58.0,42.571,3.0,1.571,1.41,1.035,0.073,0.038,84.26
2020-04-15,105.0,49.571,3.0,1.571,2.553,1.205,0.073,0.038,84.26
2020-04-16,24.0,50.0,4.0,2.0,0.584,1.216,0.097,0.049,84.26
2020-04-17,51.0,46.286,1.0,2.143,1.24,1.125,0.024,0.052,84.26
2020-04-18,63.0,55.286,0.0,2.143,1.532,1.344,0.0,0.052,84.26
2020-04-19,25.0,54.0,0.0,1.714,0.608,1.313,0.0,0.042,84.26
2020-04-20,63.0,55.571,3.0,2.0,1.532,1.351,0.073,0.049,84.26
2020-04-21,30.0,51.571,3.0,2.0,0.729,1.254,0.073,0.049,84.26
2020-04-22,66.0,46.0,0.0,1.571,1.605,1.118,0.0,0.038,84.26
2020-04-23,84.0,54.571,4.0,1.571,2.042,1.327,0.097,0.038,84.26
2020-04-24,50.0,54.429,0.0,1.429,1.216,1.323,0.0,0.035,84.26
2020-04-25,104.0,60.286,3.0,1.857,2.529,1.466,0.073,0.045,84.26
2020-04-26,133.0,75.714,6.0,2.714,3.234,1.841,0.146,0.066,84.26
2020-04-27,68.0,76.429,1.0,2.429,1.653,1.858,0.024,0.059,84.26
2020-04-28,172.0,96.714,10.0,3.429,4.182,2.351,0.243,0.083,84.26
2020-04-29,124.0,105.0,0.0,3.429,3.015,2.553,0.0,0.083,84.26
2020-04-30,0.0,93.0,0.0,2.857,0.0,2.261,0.0,0.069,84.26
2020-05-01,344.0,135.0,4.0,3.429,8.364,3.282,0.097,0.083,84.26
2020-05-02,298.0,162.714,8.0,4.143,7.246,3.956,0.195,0.101,84.26
2020-05-03,0.0,143.714,0.0,3.286,0.0,3.494,0.0,0.08,84.26
2020-05-04,0.0,134.0,0.0,3.143,0.0,3.258,0.0,0.076,84.26
2020-05-05,0.0,109.429,0.0,1.714,0.0,2.661,0.0,0.042,84.26
2020-05-06,755.0,199.571,23.0,5.0,18.357,4.852,0.559,0.122,84.26
2020-05-07,168.0,223.571,9.0,6.286,4.085,5.436,0.219,0.153,84.26
2020-05-08,171.0,198.857,1.0,5.857,4.158,4.835,0.024,0.142,84.26
2020-05-09,0.0,156.286,0.0,4.714,0.0,3.8,0.0,0.115,84.26
2020-05-10,839.0,276.143,14.0,6.714,20.399,6.714,0.34,0.163,84.26
2020-05-11,262.0,313.571,1.0,6.857,6.37,7.624,0.024,0.167,84.26
2020-05-12,303.0,356.857,7.0,7.857,7.367,8.677,0.17,0.191,84.26
2020-05-13,0.0,249.0,0.0,4.571,0.0,6.054,0.0,0.111,84.26
2020-05-14,372.0,278.143,9.0,4.571,9.045,6.763,0.219,0.111,84.26
2020-05-15,714.0,355.714,17.0,6.857,17.36,8.649,0.413,0.167,84.26
2020-05-16,349.0,405.571,15.0,9.0,8.486,9.861,0.365,0.219,84.26
2020-05-17,233.0,319.0,1.0,7.143,5.665,7.756,0.024,0.174,84.26
2020-05-18,437.0,344.0,4.0,7.571,10.625,8.364,0.097,0.184,84.26
2020-05-19,583.0,384.0,4.0,7.143,14.175,9.337,0.097,0.174,84.26
2020-05-20,490.0,454.0,10.0,8.571,11.914,11.039,0.243,0.208,84.26
2020-05-21,531.0,476.714,6.0,8.143,12.911,11.591,0.146,0.198,84.26
2020-05-22,540.0,451.857,12.0,7.429,13.129,10.986,0.292,0.181,84.26
2020-05-23,736.0,507.143,10.0,6.714,17.895,12.331,0.243,0.163,84.26
2020-05-24,716.0,576.143,7.0,7.571,17.409,14.008,0.17,0.184,84.26
2020-05-25,512.0,586.857,1.0,7.143,12.449,14.269,0.024,0.174,84.26
2020-05-26,737.0,608.857,1.0,6.714,17.919,14.804,0.024,0.163,84.26
2020-05-27,548.0,617.143,6.0,6.143,13.324,15.005,0.146,0.149,84.26
2020-05-28,637.0,632.286,9.0,6.571,15.488,15.373,0.219,0.16,84.26
2020-05-29,643.0,647.0,11.0,6.429,15.634,15.731,0.267,0.156,84.26
2020-05-30,784.0,653.857,2.0,5.286,19.062,15.898,0.049,0.129,84.26
2020-05-31,651.0,644.571,2.0,4.571,15.828,15.672,0.049,0.111,84.26
2020-06-01,656.0,665.143,15.0,6.571,15.95,16.172,0.365,0.16,84.26
2020-06-02,742.0,665.857,5.0,7.143,18.041,16.19,0.122,0.174,84.26
2020-06-03,775.0,698.286,24.0,9.714,18.843,16.978,0.584,0.236,84.26
2020-06-04,624.0,696.429,5.0,9.143,15.172,16.933,0.122,0.222,84.26
2020-06-05,1078.0,758.571,10.0,9.0,26.21,18.444,0.243,0.219,84.26
2020-06-06,582.0,729.714,18.0,11.286,14.151,17.742,0.438,0.274,84.26
2020-06-07,791.0,749.714,30.0,15.286,19.232,18.228,0.729,0.372,84.26
2020-06-08,575.0,738.143,12.0,14.857,13.98,17.947,0.292,0.361,84.26
2020-06-09,305.0,675.714,7.0,15.143,7.416,16.429,0.17,0.368,84.26
2020-06-10,920.0,696.429,29.0,15.857,22.369,16.933,0.705,0.386,84.26
2020-06-11,748.0,714.143,21.0,18.143,18.187,17.364,0.511,0.441,84.26
2020-06-12,656.0,653.857,20.0,19.571,15.95,15.898,0.486,0.476,84.26
2020-06-13,556.0,650.143,5.0,17.714,13.519,15.807,0.122,0.431,84.26
2020-06-14,664.0,632.0,20.0,16.286,16.144,15.366,0.486,0.396,84.26
2020-06-15,761.0,658.571,5.0,15.286,18.503,16.012,0.122,0.372,84.26
2020-06-16,106.0,630.143,8.0,15.429,2.577,15.321,0.195,0.375,84.26
2020-06-17,1241.0,676.0,20.0,14.143,30.174,16.436,0.486,0.344,84.26
2020-06-18,463.0,635.286,42.0,17.143,11.257,15.446,1.021,0.417,84.26
2020-06-19,541.0,618.857,2.0,14.571,13.154,15.047,0.049,0.354,84.26
2020-06-20,419.0,599.286,0.0,13.857,10.188,14.571,0.0,0.337,84.26
2020-06-21,536.0,581.0,33.0,15.714,13.032,14.126,0.802,0.382,84.26
2020-06-22,310.0,516.571,17.0,17.429,7.537,12.56,0.413,0.424,84.26
2020-06-23,338.0,549.714,20.0,19.143,8.218,13.366,0.486,0.465,84.26
2020-06-24,159.0,395.143,21.0,19.286,3.866,9.607,0.511,0.469,84.26
2020-06-25,535.0,405.429,36.0,18.429,13.008,9.858,0.875,0.448,84.26
2020-06-26,85.0,340.286,5.0,18.857,2.067,8.274,0.122,0.458,84.26
