time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-25,1.0,,,,0.022,,,,0.0
2020-02-26,0.0,,,,0.0,,,,0.0
2020-02-27,0.0,,,,0.0,,,,0.0
2020-02-28,0.0,,,,0.0,,,,0.0
2020-02-29,0.0,,,,0.0,,,,0.0
2020-03-01,0.0,0.143,,,0.0,0.003,,,0.0
2020-03-02,2.0,0.429,,,0.045,0.01,,,0.0
2020-03-03,2.0,0.571,,,0.045,0.013,,,0.0
2020-03-04,7.0,1.571,,,0.156,0.035,,,0.0
2020-03-05,0.0,1.571,,,0.0,0.035,,,5.56
2020-03-06,5.0,2.286,,,0.111,0.051,,,5.56
2020-03-07,0.0,2.286,,,0.0,0.051,,,5.56
2020-03-08,2.0,2.571,,,0.045,0.057,,,5.56
2020-03-09,1.0,2.429,,,0.022,0.054,,,5.56
2020-03-10,0.0,2.143,,,0.0,0.048,,,16.67
2020-03-11,0.0,1.143,,,0.0,0.025,,,16.67
2020-03-12,4.0,1.714,1.0,,0.089,0.038,0.022,,30.56
2020-03-13,2.0,1.286,1.0,,0.045,0.029,0.022,,30.56
2020-03-14,11.0,2.857,1.0,,0.245,0.064,0.022,,36.11
2020-03-15,11.0,4.143,1.0,,0.245,0.092,0.022,,36.11
2020-03-16,6.0,4.857,0.0,,0.134,0.108,0.0,,36.11
2020-03-17,6.0,5.714,0.0,0.571,0.134,0.127,0.0,0.013,38.89
2020-03-18,14.0,7.714,3.0,1.0,0.312,0.172,0.067,0.022,38.89
2020-03-19,13.0,9.0,2.0,1.143,0.29,0.2,0.045,0.025,38.89
2020-03-20,3.0,9.143,2.0,1.286,0.067,0.204,0.045,0.029,38.89
2020-03-21,49.0,14.571,4.0,1.714,1.091,0.325,0.089,0.038,38.89
2020-03-22,62.0,21.857,2.0,1.857,1.381,0.487,0.045,0.041,38.89
2020-03-23,29.0,25.143,0.0,1.857,0.646,0.56,0.0,0.041,75.0
2020-03-24,34.0,29.143,2.0,2.143,0.757,0.649,0.045,0.048,75.0
2020-03-25,38.0,32.571,2.0,2.0,0.846,0.725,0.045,0.045,75.0
2020-03-26,65.0,40.0,4.0,2.286,1.448,0.891,0.089,0.051,75.0
2020-03-27,42.0,45.571,1.0,2.143,0.935,1.015,0.022,0.048,75.0
2020-03-28,45.0,45.0,3.0,2.0,1.002,1.002,0.067,0.045,75.0
2020-03-29,57.0,44.286,2.0,2.0,1.269,0.986,0.045,0.045,75.0
2020-03-30,73.0,50.571,4.0,2.571,1.626,1.126,0.089,0.057,86.57
2020-03-31,132.0,64.571,9.0,3.571,2.94,1.438,0.2,0.08,86.57
2020-04-01,131.0,77.857,14.0,5.286,2.917,1.734,0.312,0.118,86.57
2020-04-02,139.0,88.429,28.0,8.714,3.096,1.969,0.624,0.194,86.57
