male,female,total
2574.062,2467.456,5041.518
2366.637,2269.335,4635.972
1949.293,1872.109,3821.402
1484.482,1425.863,2910.345
1531.025,1468.812,2999.837
1812.011,1761.867,3573.878
1877.52,1850.199,3727.719
1782.775,1764.741,3547.516
1511.22,1502.809,3014.029
1214.095,1220.495,2434.59
1026.74,1035.144,2061.884
867.903,870.269,1738.172
703.307,684.035,1387.342
583.04,560.16,1143.2
359.717,364.221,723.938
241.813,272.083,513.896
157.783,185.844,343.627
80.994,90.055,171.049
24.471,26.899,51.37
4.409,4.387,8.796
0.511,0.452,0.963
