male,female,total
2923.514,2871.49,5795.004
2568.244,2535.92,5104.164
2166.595,2182.666,4349.261
1751.828,1780.69,3532.518
1424.241,1458.325,2882.566
1192.393,1231.078,2423.471
999.332,1041.425,2040.757
808.851,850.121,1658.972
645.763,684.932,1330.695
520.75,561.29,1082.04
376.364,410.848,787.212
332.588,344.802,677.39
229.285,252.683,481.968
145.237,158.692,303.929
95.124,117.389,212.513
49.865,69.351,119.216
22.04,37.897,59.937
7.226,12.652,19.878
1.458,2.801,4.259
0.161,0.319,0.48
0.011,0.027,0.038
