time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-13,1.0,,,,10.664,,,,
2020-03-14,0.0,,,,0.0,,,,
2020-03-15,0.0,,,,0.0,,,,
2020-03-16,0.0,,,,0.0,,,,
2020-03-17,0.0,,,,0.0,,,,
2020-03-18,0.0,0.143,,,0.0,1.523,,,
2020-03-19,0.0,0.143,,,0.0,1.523,,,
2020-03-20,0.0,0.0,,,0.0,0.0,,,
2020-03-21,0.0,0.0,,,0.0,0.0,,,
2020-03-22,0.0,0.0,,,0.0,0.0,,,
2020-03-23,2.0,0.286,,,21.328,3.047,,,
2020-03-24,0.0,0.286,,,0.0,3.047,,,
2020-03-25,0.0,0.286,,,0.0,3.047,,,
2020-03-26,4.0,0.857,,,42.657,9.141,,,
2020-03-27,0.0,0.857,,,0.0,9.141,,,
2020-03-28,0.0,0.857,,,0.0,9.141,,,
2020-03-29,0.0,0.857,,,0.0,9.141,,,
2020-03-30,0.0,0.571,,,0.0,6.094,,,
2020-03-31,0.0,0.571,,,0.0,6.094,,,
2020-04-01,0.0,0.571,,,0.0,6.094,,,
2020-04-02,2.0,0.286,,,21.328,3.047,,,
2020-04-03,6.0,1.143,,,63.985,12.188,,,
2020-04-04,0.0,1.143,,,0.0,12.188,,,
2020-04-05,0.0,1.143,,,0.0,12.188,,,
2020-04-06,0.0,1.143,,,0.0,12.188,,,
2020-04-07,4.0,1.714,1.0,,42.657,18.281,10.664,,
2020-04-08,0.0,1.714,1.0,,0.0,18.281,10.664,,
2020-04-09,0.0,1.429,0.0,,0.0,15.235,0.0,,
2020-04-10,0.0,0.571,0.0,,0.0,6.094,0.0,,
2020-04-11,2.0,0.857,0.0,,21.328,9.141,0.0,,
2020-04-12,0.0,0.857,0.0,0.286,0.0,9.141,0.0,3.047,
2020-04-13,2.0,1.143,0.0,0.286,21.328,12.188,0.0,3.047,
2020-04-14,0.0,0.571,0.0,0.143,0.0,6.094,0.0,1.523,
2020-04-15,0.0,0.571,0.0,0.0,0.0,6.094,0.0,0.0,
2020-04-16,0.0,0.571,1.0,0.143,0.0,6.094,10.664,1.523,
2020-04-17,0.0,0.571,0.0,0.143,0.0,6.094,0.0,1.523,
2020-04-18,0.0,0.286,0.0,0.143,0.0,3.047,0.0,1.523,
2020-04-19,0.0,0.286,0.0,0.143,0.0,3.047,0.0,1.523,
2020-04-20,0.0,0.0,0.0,0.143,0.0,0.0,0.0,1.523,
2020-04-21,0.0,0.0,0.0,0.143,0.0,0.0,0.0,1.523,
2020-04-22,1.0,0.143,0.0,0.143,10.664,1.523,0.0,1.523,
2020-04-23,0.0,0.143,0.0,0.0,0.0,1.523,0.0,0.0,
2020-04-24,0.0,0.143,0.0,0.0,0.0,1.523,0.0,0.0,
2020-04-25,0.0,0.143,0.0,0.0,0.0,1.523,0.0,0.0,
2020-04-26,0.0,0.143,0.0,0.0,0.0,1.523,0.0,0.0,
2020-04-27,0.0,0.143,0.0,0.0,0.0,1.523,0.0,0.0,
2020-04-28,0.0,0.143,0.0,0.0,0.0,1.523,0.0,0.0,
2020-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
