male,female,total
1903.426,1833.225,3736.651
1889.129,1820.688,3709.817
1831.221,1766.041,3597.262
1799.76,1739.689,3539.449
1762.738,1714.597,3477.335
1775.21,1745.039,3520.249
1658.744,1660.236,3318.98
1550.297,1572.135,3122.432
1518.156,1571.745,3089.901
1278.269,1359.574,2637.843
1103.469,1198.262,2301.731
1003.393,1119.816,2123.209
877.065,1006.668,1883.733
745.751,899.258,1645.009
578.876,758.347,1337.223
385.738,577.676,963.414
228.228,406.456,634.684
113.405,251.28,364.685
38.29,114.056,152.346
7.286,28.42,35.706
0.695,3.423,4.118
