male,female,total
188595.74,173545.669,362141.409
190317.096,174296.396,364613.492
189941.699,172935.497,362877.196
186712.054,169485.248,356197.302
186538.84,170129.975,356668.815
188680.944,173301.939,361982.883
197131.824,184753.709,381885.533
173436.516,164401.384,337837.9
157313.127,150210.447,307523.574
158098.028,152136.31,310234.338
146817.288,143626.032,290443.32
121884.818,120221.654,242106.472
97109.838,97829.309,194939.147
80479.942,83763.134,164243.076
50823.083,56802.544,107625.627
31009.343,37256.743,68266.086
17898.682,24228.292,42126.974
7874.703,12567.38,20442.083
2309.587,4685.06,6994.647
431.864,1208.146,1640.01
57.019,207.883,264.902
