time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-26,4.0,,,,0.153,,,,5.56
2020-01-27,1.0,,,,0.038,,,,5.56
2020-01-28,0.0,,,,0.0,,,,5.56
2020-01-29,1.0,,,,0.038,,,,5.56
2020-01-30,3.0,,,,0.115,,,,5.56
2020-01-31,0.0,1.286,,,0.0,0.049,,,5.56
2020-02-01,3.0,1.714,,,0.115,0.065,,,13.89
2020-02-02,0.0,1.143,,,0.0,0.044,,,13.89
2020-02-03,0.0,1.0,,,0.0,0.038,,,19.44
2020-02-04,1.0,1.143,,,0.038,0.044,,,19.44
2020-02-05,0.0,1.0,,,0.0,0.038,,,19.44
2020-02-06,1.0,0.714,,,0.038,0.027,,,19.44
2020-02-07,1.0,0.857,,,0.038,0.033,,,19.44
2020-02-08,0.0,0.429,,,0.0,0.016,,,19.44
2020-02-09,0.0,0.429,,,0.0,0.016,,,19.44
2020-02-10,0.0,0.429,,,0.0,0.016,,,19.44
2020-02-11,0.0,0.286,,,0.0,0.011,,,19.44
2020-02-12,0.0,0.286,,,0.0,0.011,,,19.44
2020-02-13,0.0,0.143,,,0.0,0.005,,,19.44
2020-02-14,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-15,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-16,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-17,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-18,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-19,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-20,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-21,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-22,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-23,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-24,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-25,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-26,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-27,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-28,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-29,10.0,1.429,,,0.382,0.055,,,19.44
2020-03-01,2.0,1.714,1.0,,0.076,0.065,0.038,,19.44
2020-03-02,3.0,2.143,0.0,,0.115,0.082,0.0,,19.44
2020-03-03,9.0,3.429,0.0,,0.344,0.131,0.0,,19.44
2020-03-04,13.0,5.286,1.0,,0.497,0.202,0.038,,19.44
2020-03-05,3.0,5.714,0.0,,0.115,0.218,0.0,,19.44
2020-03-06,5.0,6.429,0.0,0.286,0.191,0.246,0.0,0.011,19.44
2020-03-07,3.0,5.429,0.0,0.286,0.115,0.207,0.0,0.011,19.44
2020-03-08,13.0,7.0,1.0,0.286,0.497,0.267,0.038,0.011,19.44
2020-03-09,15.0,8.714,0.0,0.286,0.573,0.333,0.0,0.011,19.44
2020-03-10,16.0,9.714,0.0,0.286,0.611,0.371,0.0,0.011,19.44
2020-03-11,21.0,10.857,0.0,0.143,0.802,0.415,0.0,0.005,19.44
2020-03-12,0.0,10.429,0.0,0.143,0.0,0.398,0.0,0.005,19.44
2020-03-13,72.0,20.0,0.0,0.143,2.75,0.764,0.0,0.005,19.44
2020-03-14,50.0,26.714,0.0,0.143,1.91,1.021,0.0,0.005,19.44
2020-03-15,47.0,31.571,0.0,0.0,1.795,1.206,0.0,0.0,19.44
2020-03-16,80.0,40.857,0.0,0.0,3.056,1.561,0.0,0.0,30.56
2020-03-17,75.0,49.286,2.0,0.286,2.865,1.883,0.076,0.011,30.56
2020-03-18,116.0,62.857,1.0,0.429,4.431,2.401,0.038,0.016,36.11
2020-03-19,113.0,79.0,0.0,0.429,4.317,3.018,0.0,0.016,44.44
2020-03-20,110.0,84.429,1.0,0.571,4.202,3.225,0.038,0.022,47.22
2020-03-21,280.0,117.286,0.0,0.571,10.696,4.48,0.0,0.022,47.22
2020-03-22,478.0,178.857,0.0,0.571,18.26,6.832,0.0,0.022,47.22
2020-03-23,133.0,186.429,0.0,0.571,5.081,7.122,0.0,0.022,52.78
2020-03-24,362.0,227.429,1.0,0.429,13.829,8.688,0.038,0.016,71.3
2020-03-25,320.0,256.571,0.0,0.286,12.224,9.801,0.0,0.011,71.3
2020-03-26,446.0,304.143,5.0,1.0,17.038,11.619,0.191,0.038,71.3
2020-03-27,333.0,336.0,0.0,0.857,12.721,12.835,0.0,0.033,71.3
2020-03-28,497.0,367.0,1.0,1.0,18.986,14.02,0.038,0.038,71.3
2020-03-29,344.0,347.857,2.0,1.286,13.141,13.288,0.076,0.049,71.3
2020-03-30,377.0,382.714,1.0,1.429,14.402,14.62,0.038,0.055,71.3
2020-03-31,198.0,359.286,1.0,1.429,7.564,13.725,0.038,0.055,71.3
2020-04-01,303.0,356.857,2.0,1.714,11.575,13.632,0.076,0.065,71.3
2020-04-02,254.0,329.429,4.0,1.571,9.703,12.584,0.153,0.06,73.15
2020-04-03,214.0,312.429,4.0,2.143,8.175,11.935,0.153,0.082,73.15
2020-04-04,220.0,272.857,2.0,2.286,8.404,10.423,0.076,0.087,73.15
2020-04-05,137.0,243.286,5.0,2.714,5.234,9.294,0.191,0.104,73.15
2020-04-06,110.0,205.143,5.0,3.286,4.202,7.837,0.191,0.126,73.15
2020-04-07,98.0,190.857,5.0,3.857,3.744,7.291,0.191,0.147,73.15
2020-04-08,115.0,164.0,5.0,4.286,4.393,6.265,0.191,0.164,73.15
2020-04-09,98.0,141.714,1.0,3.857,3.744,5.414,0.038,0.147,73.15
2020-04-10,107.0,126.429,3.0,3.714,4.087,4.83,0.115,0.142,73.15
2020-04-11,88.0,107.571,3.0,3.857,3.362,4.109,0.115,0.147,73.15
2020-04-12,12.0,89.714,3.0,3.571,0.458,3.427,0.115,0.136,73.15
2020-04-13,36.0,79.143,1.0,3.0,1.375,3.023,0.038,0.115,73.15
2020-04-14,64.0,74.286,1.0,2.429,2.445,2.838,0.038,0.093,73.15
2020-04-15,25.0,61.429,1.0,1.857,0.955,2.347,0.038,0.071,69.44
2020-04-16,22.0,50.571,0.0,1.714,0.84,1.932,0.0,0.065,69.44
2020-04-17,60.0,43.857,3.0,1.714,2.292,1.675,0.115,0.065,69.44
2020-04-18,46.0,37.857,1.0,1.429,1.757,1.446,0.038,0.055,69.44
2020-04-19,42.0,42.143,0.0,1.0,1.604,1.61,0.0,0.038,69.44
2020-04-20,13.0,38.857,0.0,0.857,0.497,1.484,0.0,0.033,69.44
2020-04-21,22.0,32.857,0.0,0.714,0.84,1.255,0.0,0.027,69.44
2020-04-22,7.0,30.286,0.0,0.571,0.267,1.157,0.0,0.022,69.44
2020-04-23,10.0,28.571,8.0,1.714,0.382,1.091,0.306,0.065,69.44
2020-04-24,15.0,22.143,4.0,1.857,0.573,0.846,0.153,0.071,69.44
2020-04-25,17.0,18.0,1.0,1.857,0.649,0.688,0.038,0.071,69.44
2020-04-26,20.0,14.857,3.0,2.286,0.764,0.568,0.115,0.087,69.44
2020-04-27,7.0,14.0,0.0,2.286,0.267,0.535,0.0,0.087,69.44
2020-04-28,23.0,14.143,6.0,3.143,0.879,0.54,0.229,0.12,69.44
2020-04-29,8.0,14.286,2.0,3.429,0.306,0.546,0.076,0.131,69.44
