time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-16,1.0,,,,2.439,,,,22.22
2020-03-17,0.0,,,,0.0,,,,22.22
2020-03-18,0.0,,,,0.0,,,,22.22
2020-03-19,2.0,,,,4.878,,,,22.22
2020-03-20,0.0,,,,0.0,,,,74.07
2020-03-21,1.0,0.571,,,2.439,1.394,,,74.07
2020-03-22,0.0,0.571,,,0.0,1.394,,,74.07
2020-03-23,0.0,0.429,,,0.0,1.045,,,74.07
2020-03-24,1.0,0.571,,,2.439,1.394,,,96.3
2020-03-25,0.0,0.571,,,0.0,1.394,,,96.3
2020-03-26,4.0,0.857,,,9.756,2.091,,,96.3
2020-03-27,1.0,1.0,,,2.439,2.439,,,96.3
2020-03-28,0.0,0.857,,,0.0,2.091,,,96.3
2020-03-29,1.0,1.0,,,2.439,2.439,,,96.3
2020-03-30,3.0,1.429,,,7.317,3.484,,,96.3
2020-03-31,0.0,1.286,,,0.0,3.136,,,96.3
2020-04-01,7.0,2.286,1.0,,17.074,5.575,2.439,,96.3
2020-04-02,3.0,2.143,0.0,,7.317,5.227,0.0,,96.3
2020-04-03,0.0,2.0,0.0,,0.0,4.878,0.0,,96.3
2020-04-04,4.0,2.571,3.0,,9.756,6.272,7.317,,96.3
2020-04-05,0.0,2.429,0.0,,0.0,5.924,0.0,,96.3
2020-04-06,1.0,2.143,1.0,0.714,2.439,5.227,2.439,1.742,96.3
2020-04-07,4.0,2.714,1.0,0.857,9.756,6.62,2.439,2.091,96.3
2020-04-08,7.0,2.714,1.0,0.857,17.074,6.62,2.439,2.091,96.3
2020-04-09,1.0,2.429,1.0,1.0,2.439,5.924,2.439,2.439,96.3
2020-04-10,1.0,2.571,0.0,1.0,2.439,6.272,0.0,2.439,96.3
2020-04-11,4.0,2.571,0.0,0.571,9.756,6.272,0.0,1.394,96.3
2020-04-12,0.0,2.571,0.0,0.571,0.0,6.272,0.0,1.394,96.3
2020-04-13,1.0,2.571,0.0,0.429,2.439,6.272,0.0,1.045,96.3
2020-04-14,2.0,2.286,0.0,0.286,4.878,5.575,0.0,0.697,96.3
2020-04-15,0.0,1.286,0.0,0.143,0.0,3.136,0.0,0.348,96.3
2020-04-16,4.0,1.714,0.0,0.0,9.756,4.181,0.0,0.0,96.3
2020-04-17,1.0,1.714,1.0,0.143,2.439,4.181,2.439,0.348,96.3
2020-04-18,1.0,1.286,0.0,0.143,2.439,3.136,0.0,0.348,96.3
2020-04-19,0.0,1.286,0.0,0.143,0.0,3.136,0.0,0.348,96.3
2020-04-20,5.0,1.857,0.0,0.143,12.195,4.53,0.0,0.348,96.3
2020-04-21,5.0,2.286,0.0,0.143,12.195,5.575,0.0,0.348,96.3
