male,female,total
7320.193,7007.986,14328.179
7476.957,7167.474,14644.431
7707.436,7381.842,15089.278
7975.294,7609.85,15585.144
7742.47,7496.756,15239.226
7257.687,7268.12,14525.807
6778.96,6984.129,13763.089
6271.177,6477.367,12748.544
5553.52,5671.765,11225.285
4718.381,4707.604,9425.985
4264.73,4040.065,8304.795
3479.495,3221.413,6700.908
2371.855,2128.534,4500.389
1489.609,1306.839,2796.448
1206.898,1150.261,2357.159
855.121,883.532,1738.653
487.662,533.685,1021.347
217.066,265.965,483.031
68.178,98.95,167.128
14.498,24.318,38.816
1.921,3.82,5.741
