time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-30,3.0,,,,1.141,,,,61.11
2020-03-31,1.0,,1.0,,0.38,,0.38,,61.11
2020-04-01,0.0,,0.0,,0.0,,0.0,,61.11
2020-04-02,0.0,,0.0,,0.0,,0.0,,86.11
2020-04-03,0.0,,0.0,,0.0,,0.0,,86.11
2020-04-04,0.0,0.571,0.0,,0.0,0.217,0.0,,86.11
2020-04-05,2.0,0.857,0.0,0.143,0.76,0.326,0.0,0.054,86.11
2020-04-06,0.0,0.429,0.0,0.143,0.0,0.163,0.0,0.054,86.11
2020-04-07,0.0,0.286,0.0,0.0,0.0,0.109,0.0,0.0,86.11
2020-04-08,0.0,0.286,0.0,0.0,0.0,0.109,0.0,0.0,86.11
2020-04-09,7.0,1.286,0.0,0.0,2.661,0.489,0.0,0.0,86.11
2020-04-10,0.0,1.286,0.0,0.0,0.0,0.489,0.0,0.0,86.11
2020-04-11,0.0,1.286,0.0,0.0,0.0,0.489,0.0,0.0,86.11
2020-04-12,0.0,1.0,0.0,0.0,0.0,0.38,0.0,0.0,86.11
2020-04-13,0.0,1.0,0.0,0.0,0.0,0.38,0.0,0.0,86.11
2020-04-14,0.0,1.0,0.0,0.0,0.0,0.38,0.0,0.0,86.11
2020-04-15,0.0,1.0,0.0,0.0,0.0,0.38,0.0,0.0,86.11
2020-04-16,2.0,0.286,0.0,0.0,0.76,0.109,0.0,0.0,86.11
2020-04-17,0.0,0.286,0.0,0.0,0.0,0.109,0.0,0.0,86.11
2020-04-18,0.0,0.286,0.0,0.0,0.0,0.109,0.0,0.0,86.11
2020-04-19,5.0,1.0,0.0,0.0,1.901,0.38,0.0,0.0,86.11
2020-04-20,0.0,1.0,0.0,0.0,0.0,0.38,0.0,0.0,86.11
2020-04-21,0.0,1.0,0.0,0.0,0.0,0.38,0.0,0.0,86.11
2020-04-22,2.0,1.286,0.0,0.0,0.76,0.489,0.0,0.0,86.11
2020-04-23,0.0,1.0,0.0,0.0,0.0,0.38,0.0,0.0,86.11
2020-04-24,0.0,1.0,0.0,0.0,0.0,0.38,0.0,0.0,86.11
2020-04-25,0.0,1.0,0.0,0.0,0.0,0.38,0.0,0.0,86.11
2020-04-26,0.0,0.286,0.0,0.0,0.0,0.109,0.0,0.0,86.11
2020-04-27,0.0,0.286,0.0,0.0,0.0,0.109,0.0,0.0,86.11
2020-04-28,1.0,0.429,0.0,0.0,0.38,0.163,0.0,0.0,86.11
2020-04-29,0.0,0.143,0.0,0.0,0.0,0.054,0.0,0.0,86.11
