male,female,total
7404.646,7070.447,14475.093
7464.84,7136.977,14601.817
7623.386,7319.056,14942.442
8253.31,7964.694,16218.004
8685.557,8466.492,17152.049
8534.004,8418.59,16952.594
8571.684,8576.223,17147.907
8593.722,8735.133,17328.855
7704.528,7956.785,15661.313
6721.639,7079.054,13800.693
6170.933,6651.999,12822.932
5508.456,6089.814,11598.27
4423.28,5044.879,9468.159
3394.482,4034.221,7428.703
2351.464,2957.955,5309.419
1480.939,2011.193,3492.132
921.508,1395.7,2317.208
423.007,752.233,1175.24
161.001,349.826,510.827
37.722,96.88,134.602
5.675,15.475,21.15
