time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-10,1.0,,,,0.044,,,,0.0
2020-03-11,1.0,,,,0.044,,,,0.0
2020-03-12,0.0,,,,0.0,,,,11.11
2020-03-13,0.0,,,,0.0,,,,11.11
2020-03-14,0.0,,,,0.0,,,,11.11
2020-03-15,1.0,0.429,,,0.044,0.019,,,11.11
2020-03-16,12.0,2.143,,,0.529,0.095,,,33.33
2020-03-17,0.0,2.0,,,0.0,0.088,,,33.33
2020-03-18,5.0,2.571,1.0,,0.221,0.113,0.044,,33.33
2020-03-19,13.0,4.429,0.0,,0.573,0.195,0.0,,33.33
2020-03-20,7.0,5.429,0.0,,0.309,0.239,0.0,,33.33
2020-03-21,24.0,8.857,1.0,,1.058,0.391,0.044,,73.15
2020-03-22,11.0,10.286,2.0,,0.485,0.454,0.088,,73.15
2020-03-23,24.0,12.0,0.0,0.571,1.058,0.529,0.0,0.025,84.26
2020-03-24,15.0,14.143,0.0,0.571,0.662,0.624,0.0,0.025,84.26
2020-03-25,32.0,18.0,0.0,0.429,1.411,0.794,0.0,0.019,84.26
2020-03-26,6.0,17.0,3.0,0.857,0.265,0.75,0.132,0.038,84.26
2020-03-27,28.0,20.0,2.0,1.143,1.235,0.882,0.088,0.05,84.26
2020-03-28,27.0,20.429,2.0,1.286,1.191,0.901,0.088,0.057,84.26
2020-03-29,15.0,21.0,1.0,1.143,0.662,0.926,0.044,0.05,84.26
2020-03-30,24.0,21.0,0.0,1.143,1.058,0.926,0.0,0.05,84.26
2020-03-31,15.0,21.0,2.0,1.429,0.662,0.926,0.088,0.063,84.26
2020-04-01,21.0,19.429,2.0,1.714,0.926,0.857,0.088,0.076,84.26
2020-04-02,6.0,19.429,0.0,1.286,0.265,0.857,0.0,0.057,84.26
2020-04-03,14.0,17.429,0.0,1.0,0.617,0.769,0.0,0.044,84.26
2020-04-04,16.0,15.857,0.0,0.714,0.706,0.699,0.0,0.032,84.26
2020-04-05,27.0,17.571,1.0,0.714,1.191,0.775,0.044,0.032,84.26
2020-04-06,19.0,16.857,1.0,0.857,0.838,0.743,0.044,0.038,84.26
2020-04-07,20.0,17.571,1.0,0.714,0.882,0.775,0.044,0.032,84.26
2020-04-08,30.0,18.857,4.0,1.0,1.323,0.832,0.176,0.044,84.26
2020-04-09,29.0,22.143,1.0,1.143,1.279,0.977,0.044,0.05,84.26
2020-04-10,0.0,20.143,0.0,1.143,0.0,0.888,0.0,0.05,84.26
2020-04-11,41.0,23.714,3.0,1.571,1.808,1.046,0.132,0.069,84.26
2020-04-12,13.0,21.714,0.0,1.429,0.573,0.958,0.0,0.063,84.26
2020-04-13,0.0,19.0,0.0,1.286,0.0,0.838,0.0,0.057,84.26
2020-04-14,31.0,20.571,3.0,1.571,1.367,0.907,0.132,0.069,84.26
2020-04-15,14.0,18.286,2.0,1.286,0.617,0.806,0.088,0.057,84.26
2020-04-16,4.0,14.714,0.0,1.143,0.176,0.649,0.0,0.05,84.26
2020-04-17,11.0,16.286,3.0,1.571,0.485,0.718,0.132,0.069,84.26
2020-04-18,8.0,11.571,1.0,1.286,0.353,0.51,0.044,0.057,84.26
2020-04-19,11.0,11.286,0.0,1.286,0.485,0.498,0.0,0.057,84.26
2020-04-20,5.0,12.0,2.0,1.571,0.221,0.529,0.088,0.069,84.26
2020-04-21,19.0,10.286,0.0,1.143,0.838,0.454,0.0,0.05,84.26
2020-04-22,9.0,9.571,1.0,1.0,0.397,0.422,0.044,0.044,84.26
2020-04-23,7.0,10.0,2.0,1.286,0.309,0.441,0.088,0.057,84.26
2020-04-24,13.0,10.286,0.0,0.857,0.573,0.454,0.0,0.038,84.26
2020-04-25,0.0,9.143,0.0,0.714,0.0,0.403,0.0,0.032,84.26
2020-04-26,3.0,8.0,1.0,0.857,0.132,0.353,0.044,0.038,84.26
2020-04-27,3.0,7.714,0.0,0.571,0.132,0.34,0.0,0.025,84.26
2020-04-28,3.0,5.429,0.0,0.571,0.132,0.239,0.0,0.025,84.26
2020-04-29,3.0,4.571,1.0,0.571,0.132,0.202,0.044,0.025,84.26
2020-04-30,4.0,4.143,0.0,0.286,0.176,0.183,0.0,0.013,84.26
2020-05-01,4.0,2.857,1.0,0.429,0.176,0.126,0.044,0.019,84.26
2020-05-02,3.0,3.286,0.0,0.429,0.132,0.145,0.0,0.019,84.26
2020-05-03,10.0,4.286,1.0,0.429,0.441,0.189,0.044,0.019,84.26
2020-05-04,10.0,5.286,1.0,0.571,0.441,0.233,0.044,0.025,89.81
2020-05-05,16.0,7.143,2.0,0.857,0.706,0.315,0.088,0.038,67.59
2020-05-06,41.0,12.571,0.0,0.714,1.808,0.554,0.0,0.032,67.59
2020-05-07,7.0,13.0,0.0,0.714,0.309,0.573,0.0,0.032,67.59
2020-05-08,8.0,13.571,0.0,0.571,0.353,0.599,0.0,0.025,67.59
2020-05-09,4.0,13.714,0.0,0.571,0.176,0.605,0.0,0.025,67.59
