time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-22,,,,,,,,,26.39
2020-01-23,92.0,,1.0,,0.065,,0.001,,44.91
2020-01-24,277.0,,8.0,,0.194,,0.006,,44.91
2020-01-25,483.0,,16.0,,0.339,,0.011,,47.69
2020-01-26,663.0,,14.0,,0.465,,0.01,,69.91
2020-01-27,801.0,,26.0,,0.562,,0.018,,69.91
2020-01-28,2631.0,706.714,49.0,16.286,1.845,0.496,0.034,0.011,69.91
2020-01-29,576.0,789.0,2.0,16.571,0.404,0.553,0.001,0.012,69.91
2020-01-30,2054.0,1069.286,38.0,21.857,1.441,0.75,0.027,0.015,69.91
2020-01-31,1659.0,1266.714,42.0,26.714,1.163,0.888,0.029,0.019,69.91
2020-02-01,2088.0,1496.0,46.0,31.0,1.464,1.049,0.032,0.022,77.31
2020-02-02,4736.0,2077.857,102.0,43.571,3.321,1.457,0.072,0.031,77.31
2020-02-03,3086.0,2404.286,64.0,49.0,2.164,1.686,0.045,0.034,77.31
2020-02-04,3987.0,2598.0,65.0,51.286,2.796,1.822,0.046,0.036,77.31
2020-02-05,3729.0,3048.429,72.0,61.286,2.615,2.138,0.05,0.043,77.31
2020-02-06,3144.0,3204.143,70.0,65.857,2.205,2.247,0.049,0.046,77.31
2020-02-07,3522.0,3470.286,85.0,72.0,2.47,2.434,0.06,0.05,77.31
2020-02-08,2703.0,3558.143,87.0,77.857,1.896,2.495,0.061,0.055,77.31
2020-02-09,3012.0,3311.857,100.0,77.571,2.112,2.323,0.07,0.054,77.31
2020-02-10,2516.0,3230.429,107.0,83.714,1.765,2.266,0.075,0.059,75.46
2020-02-11,2021.0,2949.571,100.0,88.714,1.417,2.069,0.07,0.062,75.46
2020-02-12,372.0,2470.0,5.0,79.143,0.261,1.732,0.004,0.056,75.46
2020-02-13,15133.0,4182.714,252.0,105.143,10.613,2.933,0.177,0.074,75.46
2020-02-14,6460.0,4602.429,152.0,114.714,4.531,3.228,0.107,0.08,75.46
2020-02-15,2055.0,4509.857,142.0,122.571,1.441,3.163,0.1,0.086,75.46
2020-02-16,2099.0,4379.429,103.0,123.0,1.472,3.071,0.072,0.086,75.46
2020-02-17,1918.0,4294.0,98.0,121.714,1.345,3.011,0.069,0.085,75.46
2020-02-18,1775.0,4258.857,139.0,127.286,1.245,2.987,0.097,0.089,75.46
2020-02-19,407.0,4263.857,112.0,142.571,0.285,2.99,0.079,0.1,75.46
2020-02-20,453.0,2166.714,122.0,124.0,0.318,1.52,0.086,0.087,75.46
2020-02-21,473.0,1311.429,0.0,102.286,0.332,0.92,0.0,0.072,75.46
2020-02-22,1450.0,1225.0,205.0,111.286,1.017,0.859,0.144,0.078,75.46
2020-02-23,16.0,927.429,2.0,96.857,0.011,0.65,0.001,0.068,75.46
2020-02-24,214.0,684.0,150.0,104.286,0.15,0.48,0.105,0.073,75.46
2020-02-25,508.0,503.0,70.0,94.429,0.356,0.353,0.049,0.066,81.02
2020-02-26,405.0,502.714,52.0,85.857,0.284,0.353,0.036,0.06,81.02
2020-02-27,433.0,499.857,29.0,72.571,0.304,0.351,0.02,0.051,81.02
2020-02-28,326.0,478.857,44.0,78.857,0.229,0.336,0.031,0.055,81.02
2020-02-29,427.0,332.714,47.0,56.286,0.299,0.233,0.033,0.039,81.02
2020-03-01,575.0,412.571,35.0,61.0,0.403,0.289,0.025,0.043,81.02
