time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-04-30,1.0,,,,1.195,,,,
2020-05-01,0.0,,,,0.0,,,,
2020-05-02,2.0,,,,2.39,,,,
2020-05-03,0.0,,,,0.0,,,,
2020-05-04,0.0,,,,0.0,,,,
2020-05-05,0.0,0.429,,,0.0,0.512,,,
2020-05-06,5.0,1.143,1.0,,5.975,1.366,1.195,,
2020-05-07,0.0,1.0,0.0,,0.0,1.195,0.0,,
2020-05-08,0.0,1.0,0.0,,0.0,1.195,0.0,,
2020-05-09,3.0,1.143,0.0,,3.585,1.366,0.0,,
2020-05-10,0.0,1.143,0.0,,0.0,1.366,0.0,,
2020-05-11,0.0,1.143,0.0,0.143,0.0,1.366,0.0,0.171,
2020-05-12,0.0,1.143,0.0,0.143,0.0,1.366,0.0,0.171,
2020-05-13,0.0,0.429,0.0,0.0,0.0,0.512,0.0,0.0,
2020-05-14,0.0,0.429,0.0,0.0,0.0,0.512,0.0,0.0,
2020-05-15,0.0,0.429,0.0,0.0,0.0,0.512,0.0,0.0,
2020-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-20,23.0,3.286,0.0,0.0,27.486,3.927,0.0,0.0,
2020-05-21,0.0,3.286,0.0,0.0,0.0,3.927,0.0,0.0,
2020-05-22,44.0,9.571,0.0,0.0,52.582,11.438,0.0,0.0,
2020-05-23,0.0,9.571,0.0,0.0,0.0,11.438,0.0,0.0,
2020-05-24,9.0,10.857,0.0,0.0,10.755,12.975,0.0,0.0,
2020-05-25,0.0,10.857,0.0,0.0,0.0,12.975,0.0,0.0,
2020-05-26,0.0,10.857,0.0,0.0,0.0,12.975,0.0,0.0,
2020-05-27,0.0,7.571,1.0,0.143,0.0,9.048,1.195,0.171,
2020-05-28,0.0,7.571,0.0,0.143,0.0,9.048,0.0,0.171,
2020-05-29,0.0,1.286,0.0,0.143,0.0,1.536,0.0,0.171,
2020-05-30,19.0,4.0,0.0,0.143,22.706,4.78,0.0,0.171,
2020-05-31,0.0,2.714,0.0,0.143,0.0,3.244,0.0,0.171,
2020-06-01,0.0,2.714,0.0,0.143,0.0,3.244,0.0,0.171,
2020-06-02,26.0,6.429,0.0,0.143,31.071,7.682,0.0,0.171,
2020-06-03,0.0,6.429,0.0,0.0,0.0,7.682,0.0,0.0,
2020-06-04,0.0,6.429,0.0,0.0,0.0,7.682,0.0,0.0,
2020-06-05,0.0,6.429,0.0,0.0,0.0,7.682,0.0,0.0,
2020-06-06,9.0,5.0,0.0,0.0,10.755,5.975,0.0,0.0,
2020-06-07,0.0,5.0,0.0,0.0,0.0,5.975,0.0,0.0,
2020-06-08,0.0,5.0,0.0,0.0,0.0,5.975,0.0,0.0,
2020-06-09,0.0,1.286,0.0,0.0,0.0,1.536,0.0,0.0,
2020-06-10,21.0,4.286,0.0,0.0,25.096,5.122,0.0,0.0,
2020-06-11,0.0,4.286,0.0,0.0,0.0,5.122,0.0,0.0,
2020-06-12,1.0,4.429,0.0,0.0,1.195,5.292,0.0,0.0,
2020-06-13,13.0,5.0,0.0,0.0,15.536,5.975,0.0,0.0,
