time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-15,1.0,,,,0.167,,,,11.11
2020-03-16,0.0,,,,0.0,,,,11.11
2020-03-17,0.0,,,,0.0,,,,11.11
2020-03-18,0.0,,,,0.0,,,,11.11
2020-03-19,2.0,,,,0.335,,,,11.11
2020-03-20,0.0,0.429,,,0.0,0.072,,,11.11
2020-03-21,0.0,0.429,,,0.0,0.072,,,16.67
2020-03-22,0.0,0.286,,,0.0,0.048,,,16.67
2020-03-23,1.0,0.429,,,0.167,0.072,,,16.67
2020-03-24,0.0,0.429,,,0.0,0.072,,,16.67
2020-03-25,0.0,0.429,,,0.0,0.072,,,16.67
2020-03-26,0.0,0.143,,,0.0,0.024,,,16.67
2020-03-27,0.0,0.143,,,0.0,0.024,,,16.67
2020-03-28,0.0,0.143,,,0.0,0.024,,,80.56
2020-03-29,15.0,2.286,,,2.512,0.383,,,80.56
2020-03-30,0.0,2.143,,,0.0,0.359,,,86.11
2020-03-31,0.0,2.143,,,0.0,0.359,,,97.22
2020-04-01,0.0,2.143,,,0.0,0.359,,,97.22
2020-04-02,3.0,2.571,2.0,,0.502,0.431,0.335,,97.22
2020-04-03,0.0,2.571,0.0,,0.0,0.431,0.0,,97.22
2020-04-04,0.0,2.571,0.0,,0.0,0.431,0.0,,97.22
2020-04-05,23.0,3.714,3.0,,3.852,0.622,0.502,,97.22
2020-04-06,0.0,3.714,0.0,,0.0,0.622,0.0,,97.22
2020-04-07,0.0,3.714,0.0,0.714,0.0,0.622,0.0,0.12,97.22
2020-04-08,0.0,3.714,0.0,0.714,0.0,0.622,0.0,0.12,97.22
2020-04-09,15.0,5.429,0.0,0.429,2.512,0.909,0.0,0.072,97.22
2020-04-10,0.0,5.429,0.0,0.429,0.0,0.909,0.0,0.072,97.22
2020-04-11,0.0,5.429,0.0,0.429,0.0,0.909,0.0,0.072,97.22
2020-04-12,0.0,2.143,0.0,0.0,0.0,0.359,0.0,0.0,97.22
2020-04-13,0.0,2.143,0.0,0.0,0.0,0.359,0.0,0.0,97.22
2020-04-14,0.0,2.143,0.0,0.0,0.0,0.359,0.0,0.0,97.22
2020-04-15,57.0,10.286,0.0,0.0,9.547,1.723,0.0,0.0,97.22
2020-04-16,0.0,8.143,0.0,0.0,0.0,1.364,0.0,0.0,97.22
2020-04-17,26.0,11.857,1.0,0.143,4.355,1.986,0.167,0.024,97.22
2020-04-18,0.0,11.857,0.0,0.143,0.0,1.986,0.0,0.024,97.22
2020-04-19,0.0,11.857,0.0,0.143,0.0,1.986,0.0,0.024,97.22
2020-04-20,17.0,14.286,0.0,0.143,2.847,2.393,0.0,0.024,97.22
2020-04-21,5.0,15.0,0.0,0.143,0.837,2.512,0.0,0.024,97.22
2020-04-22,21.0,9.857,0.0,0.143,3.517,1.651,0.0,0.024,97.22
2020-04-23,0.0,9.857,0.0,0.143,0.0,1.651,0.0,0.024,97.22
2020-04-24,14.0,8.143,0.0,0.0,2.345,1.364,0.0,0.0,97.22
2020-04-25,0.0,8.143,0.0,0.0,0.0,1.364,0.0,0.0,97.22
2020-04-26,0.0,8.143,0.0,0.0,0.0,1.364,0.0,0.0,97.22
2020-04-27,0.0,5.714,0.0,0.0,0.0,0.957,0.0,0.0,97.22
2020-04-28,7.0,6.0,2.0,0.286,1.172,1.005,0.335,0.048,97.22
2020-04-29,0.0,3.0,0.0,0.286,0.0,0.502,0.0,0.048,97.22
2020-04-30,13.0,4.857,1.0,0.429,2.177,0.814,0.167,0.072,97.22
2020-05-01,9.0,4.143,0.0,0.429,1.507,0.694,0.0,0.072,97.22
2020-05-02,0.0,4.143,0.0,0.429,0.0,0.694,0.0,0.072,97.22
2020-05-03,0.0,4.143,0.0,0.429,0.0,0.694,0.0,0.072,97.22
2020-05-04,7.0,5.143,1.0,0.571,1.172,0.861,0.167,0.096,97.22
2020-05-05,0.0,4.143,0.0,0.286,0.0,0.694,0.0,0.048,97.22
2020-05-06,28.0,8.143,0.0,0.286,4.69,1.364,0.0,0.048,97.22
2020-05-07,0.0,6.286,0.0,0.143,0.0,1.053,0.0,0.024,97.22
2020-05-08,10.0,6.429,0.0,0.143,1.675,1.077,0.0,0.024,97.22
2020-05-09,0.0,6.429,0.0,0.143,0.0,1.077,0.0,0.024,97.22
2020-05-10,0.0,6.429,0.0,0.143,0.0,1.077,0.0,0.024,97.22
2020-05-11,59.0,13.857,1.0,0.143,9.882,2.321,0.167,0.024,97.22
2020-05-12,0.0,13.857,0.0,0.143,0.0,2.321,0.0,0.024,97.22
2020-05-13,0.0,9.857,0.0,0.143,0.0,1.651,0.0,0.024,97.22
2020-05-14,58.0,18.143,4.0,0.714,9.715,3.039,0.67,0.12,97.22
2020-05-15,0.0,16.714,0.0,0.714,0.0,2.8,0.0,0.12,97.22
2020-05-16,0.0,16.714,0.0,0.714,0.0,2.8,0.0,0.12,97.22
2020-05-17,0.0,16.714,0.0,0.714,0.0,2.8,0.0,0.12,97.22
2020-05-18,21.0,11.286,0.0,0.571,3.517,1.89,0.0,0.096,82.41
2020-05-19,8.0,12.429,0.0,0.571,1.34,2.082,0.0,0.096,82.41
2020-05-20,0.0,12.429,0.0,0.571,0.0,2.082,0.0,0.096,82.41
2020-05-21,49.0,11.143,1.0,0.143,8.207,1.866,0.167,0.024,82.41
2020-05-22,0.0,11.143,0.0,0.143,0.0,1.866,0.0,0.024,82.41
2020-05-23,18.0,13.714,0.0,0.143,3.015,2.297,0.0,0.024,82.41
2020-05-24,0.0,13.714,0.0,0.143,0.0,2.297,0.0,0.024,82.41
2020-05-25,0.0,10.714,0.0,0.143,0.0,1.795,0.0,0.024,82.41
2020-05-26,0.0,9.571,0.0,0.143,0.0,1.603,0.0,0.024,82.41
2020-05-27,84.0,21.571,3.0,0.571,14.069,3.613,0.502,0.096,82.41
2020-05-28,0.0,14.571,0.0,0.429,0.0,2.441,0.0,0.072,82.41
2020-05-29,0.0,14.571,0.0,0.429,0.0,2.441,0.0,0.072,82.41
