time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-25,1.0,,,,0.248,,,,13.89
2020-02-26,2.0,,,,0.496,,,,13.89
2020-02-27,0.0,,,,0.0,,,,13.89
2020-02-28,2.0,,,,0.496,,,,13.89
2020-02-29,1.0,,,,0.248,,,,13.89
2020-03-01,1.0,1.0,,,0.248,0.248,,,13.89
2020-03-02,0.0,1.0,,,0.0,0.248,,,13.89
2020-03-03,2.0,1.143,,,0.496,0.284,,,13.89
2020-03-04,1.0,1.0,,,0.248,0.248,,,13.89
2020-03-05,0.0,1.0,,,0.0,0.248,,,13.89
2020-03-06,1.0,0.857,,,0.248,0.213,,,13.89
2020-03-07,1.0,0.857,,,0.248,0.213,,,13.89
2020-03-08,0.0,0.714,,,0.0,0.177,,,13.89
2020-03-09,0.0,0.714,,,0.0,0.177,,,13.89
2020-03-10,2.0,0.714,,,0.496,0.177,,,22.22
2020-03-11,5.0,1.286,,,1.241,0.319,,,22.22
2020-03-12,0.0,1.286,,,0.0,0.319,,,22.22
2020-03-13,13.0,3.0,,,3.226,0.744,,,31.48
2020-03-14,6.0,3.714,,,1.489,0.922,,,37.04
2020-03-15,11.0,5.286,,,2.729,1.311,,,39.81
2020-03-16,8.0,6.429,,,1.985,1.595,,,41.67
2020-03-17,8.0,7.286,,,1.985,1.808,,,41.67
2020-03-18,16.0,8.857,,,3.97,2.198,,,44.44
2020-03-19,24.0,12.286,1.0,,5.955,3.048,0.248,,50.0
2020-03-20,23.0,13.714,0.0,,5.707,3.403,0.0,,66.67
2020-03-21,78.0,24.0,0.0,,19.353,5.955,0.0,,77.78
2020-03-22,48.0,29.286,0.0,,11.91,7.266,0.0,,77.78
2020-03-23,61.0,36.857,0.0,,15.135,9.145,0.0,,96.3
2020-03-24,67.0,45.286,0.0,0.143,16.624,11.236,0.0,0.035,96.3
2020-03-25,60.0,51.571,0.0,0.143,14.887,12.796,0.0,0.035,96.3
2020-03-26,53.0,55.714,2.0,0.286,13.15,13.824,0.496,0.071,96.3
2020-03-27,91.0,65.429,0.0,0.286,22.579,16.234,0.0,0.071,96.3
2020-03-28,71.0,64.429,2.0,0.571,17.616,15.986,0.496,0.142,96.3
2020-03-29,56.0,65.571,1.0,0.714,13.895,16.269,0.248,0.177,96.3
2020-03-30,77.0,67.857,0.0,0.714,19.105,16.836,0.0,0.177,96.3
2020-03-31,77.0,69.286,0.0,0.714,19.105,17.191,0.0,0.177,96.3
2020-04-01,96.0,74.429,0.0,0.714,23.819,18.467,0.0,0.177,96.3
2020-04-02,48.0,73.714,1.0,0.571,11.91,18.29,0.248,0.142,96.3
2020-04-03,68.0,70.429,1.0,0.714,16.872,17.475,0.248,0.177,96.3
2020-04-04,47.0,67.0,4.0,1.0,11.661,16.624,0.992,0.248,96.3
2020-04-05,56.0,67.0,3.0,1.286,13.895,16.624,0.744,0.319,96.3
2020-04-06,40.0,61.714,1.0,1.429,9.925,15.312,0.248,0.354,96.3
2020-04-07,60.0,59.286,2.0,1.714,14.887,14.71,0.496,0.425,96.3
2020-04-08,61.0,54.286,1.0,1.857,15.135,13.469,0.248,0.461,96.3
2020-04-09,64.0,56.571,1.0,1.857,15.879,14.036,0.248,0.461,96.3
2020-04-10,88.0,59.429,1.0,1.857,21.834,14.745,0.248,0.461,96.3
2020-04-11,39.0,58.286,0.0,1.286,9.677,14.462,0.0,0.319,96.3
2020-04-12,66.0,59.714,2.0,1.143,16.376,14.816,0.496,0.284,96.3
2020-04-13,50.0,61.143,2.0,1.286,12.406,15.171,0.496,0.319,96.3
2020-04-14,54.0,60.286,6.0,1.857,13.398,14.958,1.489,0.461,96.3
2020-04-15,37.0,56.857,2.0,2.0,9.18,14.107,0.496,0.496,96.3
2020-04-16,50.0,54.857,2.0,2.143,12.406,13.611,0.496,0.532,96.3
2020-04-17,23.0,45.571,1.0,2.143,5.707,11.307,0.248,0.532,96.3
2020-04-18,18.0,42.571,3.0,2.571,4.466,10.563,0.744,0.638,96.3
2020-04-19,39.0,38.714,8.0,3.429,9.677,9.606,1.985,0.851,96.3
2020-04-20,10.0,33.0,0.0,3.143,2.481,8.188,0.0,0.78,96.3
2020-04-21,27.0,29.143,1.0,2.429,6.699,7.231,0.248,0.603,96.3
2020-04-22,42.0,29.857,0.0,2.143,10.421,7.408,0.0,0.532,96.3
2020-04-23,31.0,27.143,2.0,2.143,7.692,6.735,0.496,0.532,96.3
2020-04-24,28.0,27.857,1.0,2.143,6.947,6.912,0.248,0.532,96.3
