time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-02,,,,,,,,,0.0
2020-02-03,,,,,,,,,0.0
2020-02-04,,,,,,,,,0.0
2020-02-05,,,,,,,,,0.0
2020-02-06,,,,,,,,,0.0
2020-02-07,,,,,,,,,0.0
2020-02-08,,,,,,,,,0.0
2020-02-09,,,,,,,,,0.0
2020-02-10,,,,,,,,,0.0
2020-02-11,,,,,,,,,0.0
2020-02-12,,,,,,,,,0.0
2020-02-13,,,,,,,,,0.0
2020-02-14,,,,,,,,,0.0
2020-02-15,,,,,,,,,0.0
2020-02-16,,,,,,,,,0.0
2020-02-17,,,,,,,,,0.0
2020-02-18,,,,,,,,,0.0
2020-02-19,,,,,,,,,0.0
2020-02-20,,,,,,,,,0.0
2020-02-21,,,,,,,,,0.0
2020-02-22,,,,,,,,,0.0
2020-02-23,,,,,,,,,0.0
2020-02-24,,,,,,,,,0.0
2020-02-25,,,,,,,,,0.0
2020-02-26,,,,,,,,,0.0
2020-02-27,1.0,,,,0.17,,,,11.11
2020-02-28,0.0,,,,0.0,,,,11.11
2020-02-29,2.0,,,,0.34,,,,11.11
2020-03-01,1.0,,,,0.17,,,,11.11
2020-03-02,0.0,,,,0.0,,,,11.11
2020-03-03,2.0,0.857,,,0.34,0.146,,,20.37
2020-03-04,4.0,1.429,,,0.68,0.243,,,20.37
2020-03-05,0.0,1.286,,,0.0,0.219,,,20.37
2020-03-06,13.0,3.143,,,2.21,0.534,,,25.93
2020-03-07,0.0,2.857,,,0.0,0.486,,,25.93
2020-03-08,12.0,4.429,,,2.04,0.753,,,25.93
2020-03-09,55.0,12.286,,,9.35,2.089,,,25.93
2020-03-10,172.0,36.571,,,29.24,6.217,,,31.48
2020-03-11,180.0,61.714,,,30.6,10.492,,,37.96
2020-03-12,173.0,86.429,,,29.41,14.693,,,37.96
2020-03-13,186.0,111.143,,,31.621,18.895,,,62.96
2020-03-14,26.0,114.857,1.0,,4.42,19.526,0.17,,65.74
2020-03-15,37.0,118.429,1.0,,6.29,20.133,0.17,,65.74
2020-03-16,50.0,117.714,1.0,,8.5,20.012,0.17,,65.74
2020-03-17,63.0,102.143,1.0,,10.71,17.365,0.17,,65.74
2020-03-18,80.0,87.857,0.0,,13.6,14.936,0.0,,72.22
2020-03-19,94.0,76.571,2.0,0.857,15.98,13.017,0.34,0.146,72.22
2020-03-20,104.0,64.857,3.0,1.286,17.68,11.026,0.51,0.219,72.22
2020-03-21,71.0,71.286,4.0,1.714,12.07,12.119,0.68,0.291,72.22
2020-03-22,69.0,75.857,0.0,1.571,11.73,12.896,0.0,0.267,72.22
2020-03-23,55.0,76.571,11.0,3.0,9.35,13.017,1.87,0.51,72.22
2020-03-24,141.0,87.714,8.0,4.0,23.97,14.912,1.36,0.68,72.22
2020-03-25,133.0,95.286,2.0,4.286,22.61,16.199,0.34,0.729,72.22
2020-03-26,153.0,103.714,7.0,5.0,26.01,17.632,1.19,0.85,72.22
2020-03-27,169.0,113.0,11.0,6.143,28.73,19.21,1.87,1.044,72.22
2020-03-28,155.0,125.0,13.0,7.429,26.35,21.25,2.21,1.263,72.22
2020-03-29,194.0,142.857,7.0,8.429,32.981,24.286,1.19,1.433,72.22
2020-03-30,182.0,161.0,5.0,7.571,30.94,27.37,0.85,1.287,72.22
2020-03-31,283.0,181.286,13.0,8.286,48.111,30.819,2.21,1.409,72.22
2020-04-01,247.0,197.571,14.0,10.0,41.991,33.588,2.38,1.7,72.22
2020-04-02,279.0,215.571,19.0,11.714,47.431,36.648,3.23,1.991,72.22
2020-04-03,371.0,244.429,16.0,12.429,63.071,41.554,2.72,2.113,72.22
2020-04-04,320.0,268.0,22.0,13.714,54.401,45.561,3.74,2.331,72.22
2020-04-05,292.0,282.0,18.0,15.286,49.641,47.941,3.06,2.599,72.22
2020-04-06,312.0,300.571,8.0,15.714,53.041,51.098,1.36,2.671,72.22
2020-04-07,390.0,315.857,16.0,16.143,66.301,53.697,2.72,2.744,72.22
2020-04-08,331.0,327.857,15.0,16.286,56.271,55.737,2.55,2.769,72.22
2020-04-09,233.0,321.286,19.0,16.286,39.611,54.619,3.23,2.769,72.22
2020-04-10,184.0,294.571,10.0,15.429,31.28,50.078,1.7,2.623,72.22
2020-04-11,177.0,274.143,13.0,14.143,30.09,46.605,2.21,2.404,72.22
2020-04-12,178.0,257.857,13.0,13.429,30.26,43.836,2.21,2.283,72.22
2020-04-13,144.0,233.857,12.0,14.0,24.48,39.756,2.04,2.38,72.22
2020-04-14,193.0,205.714,14.0,13.714,32.811,34.972,2.38,2.331,72.22
2020-04-15,170.0,182.714,10.0,13.0,28.9,31.062,1.7,2.21,68.52
2020-04-16,198.0,177.714,12.0,12.0,33.661,30.212,2.04,2.04,68.52
2020-04-17,194.0,179.143,15.0,12.714,32.981,30.455,2.55,2.161,68.52
2020-04-18,169.0,178.0,10.0,12.286,28.73,30.26,1.7,2.089,68.52
2020-04-19,142.0,172.857,9.0,11.714,24.14,29.386,1.53,1.991,68.52
2020-04-20,131.0,171.0,9.0,11.286,22.27,29.07,1.53,1.919,68.52
2020-04-21,180.0,169.143,6.0,10.143,30.6,28.755,1.02,1.724,68.52
2020-04-22,217.0,175.857,14.0,10.714,36.891,29.896,2.38,1.821,68.52
2020-04-23,161.0,170.571,10.0,10.429,27.37,28.998,1.7,1.773,68.52
2020-04-24,137.0,162.429,9.0,9.571,23.29,27.613,1.53,1.627,68.52
2020-04-25,235.0,171.857,15.0,10.286,39.951,29.216,2.55,1.749,68.52
2020-04-26,130.0,170.143,4.0,9.571,22.1,28.925,0.68,1.627,68.52
2020-04-27,123.0,169.0,5.0,9.0,20.91,28.73,0.85,1.53,68.52
2020-04-28,153.0,165.143,7.0,9.143,26.01,28.075,1.19,1.554,68.52
2020-04-29,157.0,156.571,9.0,8.429,26.69,26.618,1.53,1.433,68.52
2020-04-30,150.0,155.0,9.0,8.286,25.5,26.35,1.53,1.409,68.52
2020-05-01,153.0,157.286,8.0,8.143,26.01,26.739,1.36,1.384,68.52
2020-05-02,96.0,137.429,15.0,8.143,16.32,23.363,2.55,1.384,68.52
2020-05-03,116.0,135.429,9.0,8.857,19.72,23.023,1.53,1.506,68.52
2020-05-04,147.0,138.857,9.0,9.429,24.99,23.606,1.53,1.603,68.52
2020-05-05,151.0,138.571,10.0,9.857,25.67,23.558,1.7,1.676,68.52
2020-05-06,117.0,132.857,3.0,9.0,19.89,22.586,0.51,1.53,68.52
2020-05-07,145.0,132.143,8.0,8.857,24.65,22.465,1.36,1.506,68.52
2020-05-08,135.0,129.571,8.0,8.857,22.95,22.027,1.36,1.506,68.52
