time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-18,1.0,,,,0.892,,,,22.22
2020-03-19,0.0,,,,0.0,,,,33.33
2020-03-20,0.0,,,,0.0,,,,33.33
2020-03-21,0.0,,,,0.0,,,,33.33
2020-03-22,0.0,,,,0.0,,,,46.3
2020-03-23,2.0,0.429,,,1.784,0.382,,,94.44
2020-03-24,0.0,0.429,,,0.0,0.382,,,94.44
2020-03-25,8.0,1.429,,,7.137,1.275,,,94.44
2020-03-26,0.0,1.429,,,0.0,1.275,,,94.44
2020-03-27,1.0,1.571,,,0.892,1.402,,,94.44
2020-03-28,2.0,1.857,,,1.784,1.657,,,94.44
2020-03-29,4.0,2.429,,,3.569,2.167,,,94.44
2020-03-30,0.0,2.143,,,0.0,1.912,,,94.44
2020-03-31,12.0,3.857,,,10.706,3.441,,,94.44
2020-04-01,3.0,3.143,,,2.677,2.804,,,94.44
2020-04-02,7.0,4.143,,,6.245,3.696,,,94.44
2020-04-03,9.0,5.286,,,8.03,4.716,,,94.44
2020-04-04,1.0,5.143,,,0.892,4.588,,,94.44
2020-04-05,9.0,5.857,,,8.03,5.226,,,94.44
2020-04-06,31.0,10.286,,,27.658,9.177,,,94.44
2020-04-07,0.0,8.571,,,0.0,7.647,,,94.44
2020-04-08,45.0,14.571,,,40.148,13.0,,,94.44
2020-04-09,0.0,13.571,,,0.0,12.108,,,94.44
2020-04-10,15.0,14.429,1.0,,13.383,12.873,0.892,,94.44
2020-04-11,37.0,19.571,1.0,,33.011,17.461,0.892,,94.44
2020-04-12,27.0,22.143,0.0,,24.089,19.755,0.0,,94.44
2020-04-13,84.0,29.714,0.0,,74.943,26.51,0.0,,94.44
2020-04-14,65.0,39.0,0.0,,57.992,34.795,0.0,,94.44
2020-04-15,72.0,42.857,0.0,0.286,64.237,38.236,0.0,0.255,94.44
2020-04-16,156.0,65.143,0.0,0.286,139.18,58.119,0.0,0.255,94.44
2020-04-17,141.0,83.143,0.0,0.143,125.797,74.178,0.0,0.127,94.44
2020-04-18,0.0,77.857,0.0,0.0,0.0,69.463,0.0,0.0,94.44
2020-04-19,114.0,90.286,0.0,0.0,101.708,80.551,0.0,0.0,94.44
2020-04-20,0.0,78.286,0.0,0.0,0.0,69.845,0.0,0.0,94.44
2020-04-21,99.0,83.143,0.0,0.0,88.326,74.178,0.0,0.0,94.44
2020-04-22,29.0,77.0,0.0,0.0,25.873,68.698,0.0,0.0,94.44
2020-04-23,12.0,56.429,0.0,0.0,10.706,50.344,0.0,0.0,94.44
2020-04-24,13.0,38.143,0.0,0.0,11.598,34.03,0.0,0.0,94.44
2020-04-25,9.0,39.429,0.0,0.0,8.03,35.177,0.0,0.0,94.44
2020-04-26,15.0,25.286,0.0,0.0,13.383,22.559,0.0,0.0,94.44
2020-04-27,12.0,27.0,0.0,0.0,10.706,24.089,0.0,0.0,94.44
2020-04-28,37.0,18.143,0.0,0.0,33.011,16.187,0.0,0.0,94.44
2020-04-29,5.0,14.714,0.0,0.0,4.461,13.128,0.0,0.0,94.44
2020-04-30,12.0,14.714,0.0,0.0,10.706,13.128,0.0,0.0,94.44
2020-05-01,8.0,14.0,0.0,0.0,7.137,12.491,0.0,0.0,94.44
2020-05-02,15.0,14.857,0.0,0.0,13.383,13.255,0.0,0.0,94.44
2020-05-03,0.0,12.714,0.0,0.0,0.0,11.343,0.0,0.0,94.44
2020-05-04,4.0,11.571,0.0,0.0,3.569,10.324,0.0,0.0,94.44
