time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-01,1.0,,,,0.089,,,,0.0
2020-03-02,0.0,,,,0.0,,,,11.11
2020-03-03,0.0,,,,0.0,,,,11.11
2020-03-04,0.0,,,,0.0,,,,11.11
2020-03-05,0.0,,,,0.0,,,,11.11
2020-03-06,1.0,0.286,,,0.089,0.025,,,11.11
2020-03-07,0.0,0.286,,,0.0,0.025,,,11.11
2020-03-08,3.0,0.571,,,0.267,0.051,,,11.11
2020-03-09,0.0,0.571,,,0.0,0.051,,,11.11
2020-03-10,0.0,0.571,,,0.0,0.051,,,11.11
2020-03-11,0.0,0.571,,,0.0,0.051,,,11.11
2020-03-12,0.0,0.571,,,0.0,0.051,,,11.11
2020-03-13,0.0,0.429,,,0.0,0.038,,,11.11
2020-03-14,6.0,1.286,,,0.534,0.115,,,11.11
2020-03-15,0.0,0.857,,,0.0,0.076,,,11.11
2020-03-16,0.0,0.857,,,0.0,0.076,,,19.44
2020-03-17,10.0,2.286,1.0,,0.891,0.204,0.089,,34.26
2020-03-18,0.0,2.286,0.0,,0.0,0.204,0.0,,34.26
2020-03-19,13.0,4.143,1.0,,1.158,0.369,0.089,,81.48
2020-03-20,38.0,9.571,0.0,,3.384,0.852,0.0,,92.59
2020-03-21,40.0,14.429,0.0,,3.562,1.285,0.0,,92.59
2020-03-22,90.0,27.286,1.0,0.429,8.015,2.43,0.089,0.038,92.59
2020-03-23,43.0,33.429,0.0,0.429,3.829,2.977,0.0,0.038,92.59
2020-03-24,67.0,41.571,3.0,0.714,5.967,3.702,0.267,0.064,92.59
2020-03-25,80.0,53.0,4.0,1.286,7.125,4.72,0.356,0.115,92.59
2020-03-26,96.0,64.857,0.0,1.143,8.549,5.776,0.0,0.102,92.59
2020-03-27,93.0,72.714,10.0,2.571,8.282,6.476,0.891,0.229,92.59
2020-03-28,138.0,86.714,8.0,3.714,12.29,7.722,0.712,0.331,92.59
2020-03-29,140.0,93.857,11.0,5.143,12.468,8.359,0.98,0.458,92.59
2020-03-30,42.0,93.714,3.0,5.571,3.74,8.346,0.267,0.496,92.59
2020-03-31,208.0,113.857,9.0,6.429,18.524,10.14,0.802,0.573,92.59
2020-04-01,175.0,127.429,6.0,6.714,15.585,11.348,0.534,0.598,92.59
2020-04-02,96.0,127.429,3.0,7.143,8.549,11.348,0.267,0.636,92.59
2020-04-03,108.0,129.571,8.0,6.857,9.618,11.539,0.712,0.611,92.59
2020-04-04,0.0,109.857,0.0,5.714,0.0,9.783,0.0,0.509,92.59
2020-04-05,257.0,126.571,14.0,6.143,22.888,11.272,1.247,0.547,92.59
2020-04-06,83.0,132.429,4.0,6.286,7.392,11.794,0.356,0.56,92.59
2020-04-07,128.0,121.0,12.0,6.714,11.399,10.776,1.069,0.598,92.59
2020-04-08,155.0,118.143,10.0,7.286,13.804,10.521,0.891,0.649,92.59
2020-04-09,238.0,138.429,10.0,8.286,21.195,12.328,0.891,0.738,92.59
2020-04-10,271.0,161.714,8.0,8.286,24.134,14.402,0.712,0.738,92.59
2020-04-11,139.0,181.571,9.0,9.571,12.379,16.17,0.802,0.852,92.59
2020-04-12,208.0,174.571,38.0,13.0,18.524,15.547,3.384,1.158,92.59
2020-04-13,200.0,191.286,4.0,13.0,17.811,17.035,0.356,1.158,92.59
2020-04-14,119.0,190.0,6.0,12.143,10.598,16.921,0.534,1.081,92.59
2020-04-15,328.0,214.714,6.0,11.571,29.211,19.122,0.534,1.031,92.59
2020-04-16,141.0,200.857,7.0,11.143,12.557,17.888,0.623,0.992,92.59
2020-04-17,371.0,215.143,4.0,10.571,33.04,19.16,0.356,0.941,92.59
2020-04-18,209.0,225.143,17.0,11.714,18.613,20.05,1.514,1.043,96.3
2020-04-19,345.0,244.714,9.0,7.571,30.725,21.793,0.802,0.674,96.3
