time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-15,1.0,,,,0.597,,,,
2020-03-16,0.0,,,,0.0,,,,
2020-03-17,0.0,,,,0.0,,,,
2020-03-18,3.0,,,,1.791,,,,
2020-03-19,2.0,,,,1.194,,,,
2020-03-20,0.0,0.857,,,0.0,0.512,,,
2020-03-21,0.0,0.857,,,0.0,0.512,,,
2020-03-22,0.0,0.714,,,0.0,0.426,,,
2020-03-23,3.0,1.143,,,1.791,0.682,,,
2020-03-24,0.0,1.143,,,0.0,0.682,,,
2020-03-25,0.0,0.714,,,0.0,0.426,,,
2020-03-26,3.0,0.857,,,1.791,0.512,,,
2020-03-27,0.0,0.857,,,0.0,0.512,,,
2020-03-28,0.0,0.857,,,0.0,0.512,,,
2020-03-29,0.0,0.857,,,0.0,0.512,,,
2020-03-30,0.0,0.429,,,0.0,0.256,,,
2020-03-31,0.0,0.429,,,0.0,0.256,,,
2020-04-01,3.0,0.857,,,1.791,0.512,,,
2020-04-02,0.0,0.429,,,0.0,0.256,,,
2020-04-03,1.0,0.571,,,0.597,0.341,,,
2020-04-04,0.0,0.571,,,0.0,0.341,,,
2020-04-05,0.0,0.571,,,0.0,0.341,,,
2020-04-06,0.0,0.571,,,0.0,0.341,,,
2020-04-07,0.0,0.571,,,0.0,0.341,,,
2020-04-08,2.0,0.429,,,1.194,0.256,,,
2020-04-09,0.0,0.429,,,0.0,0.256,,,
2020-04-10,0.0,0.286,,,0.0,0.171,,,
2020-04-11,0.0,0.286,,,0.0,0.171,,,
2020-04-12,3.0,0.714,,,1.791,0.426,,,
2020-04-13,0.0,0.714,,,0.0,0.426,,,
2020-04-14,20.0,3.571,,,11.941,2.132,,,
2020-04-15,10.0,4.714,,,5.97,2.815,,,
2020-04-16,0.0,4.714,,,0.0,2.815,,,
2020-04-17,28.0,8.714,,,16.717,5.203,,,
2020-04-18,0.0,8.714,,,0.0,5.203,,,
2020-04-19,0.0,8.286,,,0.0,4.947,,,
2020-04-20,0.0,8.286,,,0.0,4.947,,,
2020-04-21,4.0,6.0,,,2.388,3.582,,,
2020-04-22,1.0,4.714,1.0,,0.597,2.815,0.597,,
2020-04-23,0.0,4.714,0.0,,0.0,2.815,0.0,,
2020-04-24,130.0,19.286,0.0,,77.616,11.514,0.0,,
2020-04-25,44.0,25.571,0.0,,26.27,15.267,0.0,,
2020-04-26,0.0,25.571,0.0,,0.0,15.267,0.0,,
2020-04-27,0.0,25.571,0.0,0.143,0.0,15.267,0.0,0.085,
2020-04-28,57.0,33.143,0.0,0.143,34.032,19.788,0.0,0.085,
2020-04-29,0.0,33.0,0.0,0.0,0.0,19.702,0.0,0.0,
2020-04-30,0.0,33.0,0.0,0.0,0.0,19.702,0.0,0.0,
2020-05-01,0.0,14.429,0.0,0.0,0.0,8.615,0.0,0.0,
2020-05-02,0.0,8.143,0.0,0.0,0.0,4.862,0.0,0.0,
2020-05-03,0.0,8.143,0.0,0.0,0.0,4.862,0.0,0.0,
2020-05-04,0.0,8.143,2.0,0.286,0.0,4.862,1.194,0.171,
2020-05-05,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.171,
2020-05-06,124.0,17.714,1.0,0.429,74.034,10.576,0.597,0.256,
2020-05-07,0.0,17.714,0.0,0.429,0.0,10.576,0.0,0.256,
2020-05-08,0.0,17.714,0.0,0.429,0.0,10.576,0.0,0.256,
2020-05-09,0.0,17.714,0.0,0.429,0.0,10.576,0.0,0.256,
2020-05-10,0.0,17.714,0.0,0.429,0.0,10.576,0.0,0.256,
2020-05-11,0.0,17.714,0.0,0.143,0.0,10.576,0.0,0.085,
2020-05-12,0.0,17.714,0.0,0.143,0.0,10.576,0.0,0.085,
2020-05-13,83.0,11.857,2.0,0.286,49.555,7.079,1.194,0.171,
2020-05-14,61.0,20.571,1.0,0.429,36.42,12.282,0.597,0.256,
2020-05-15,11.0,22.143,0.0,0.429,6.567,13.22,0.0,0.256,
2020-05-16,0.0,22.143,0.0,0.429,0.0,13.22,0.0,0.256,
2020-05-17,0.0,22.143,0.0,0.429,0.0,13.22,0.0,0.256,
2020-05-18,125.0,40.0,0.0,0.429,74.631,23.882,0.0,0.256,
