time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-14,1.0,,,,0.832,,,,19.44
2020-03-15,0.0,,,,0.0,,,,19.44
2020-03-16,0.0,,,,0.0,,,,19.44
2020-03-17,0.0,,,,0.0,,,,55.56
2020-03-18,0.0,,,,0.0,,,,55.56
2020-03-19,0.0,0.143,,,0.0,0.119,,,55.56
2020-03-20,0.0,0.143,,,0.0,0.119,,,55.56
2020-03-21,0.0,0.0,,,0.0,0.0,,,55.56
2020-03-22,3.0,0.429,,,2.497,0.357,,,55.56
2020-03-23,0.0,0.429,,,0.0,0.357,,,55.56
2020-03-24,0.0,0.429,,,0.0,0.357,,,55.56
2020-03-25,0.0,0.429,,,0.0,0.357,,,55.56
2020-03-26,2.0,0.714,,,1.664,0.594,,,55.56
2020-03-27,3.0,1.143,,,2.497,0.951,,,86.11
2020-03-28,0.0,1.143,,,0.0,0.951,,,86.11
2020-03-29,0.0,0.714,,,0.0,0.594,,,86.11
2020-03-30,0.0,0.714,,,0.0,0.594,,,86.11
2020-03-31,0.0,0.714,,,0.0,0.594,,,86.11
2020-04-01,0.0,0.714,,,0.0,0.594,,,86.11
2020-04-02,0.0,0.429,,,0.0,0.357,,,86.11
2020-04-03,0.0,0.0,,,0.0,0.0,,,89.81
2020-04-04,0.0,0.0,,,0.0,0.0,,,89.81
2020-04-05,0.0,0.0,,,0.0,0.0,,,89.81
2020-04-06,1.0,0.143,,,0.832,0.119,,,89.81
2020-04-07,0.0,0.143,,,0.0,0.119,,,89.81
2020-04-08,2.0,0.429,,,1.664,0.357,,,89.81
2020-04-09,0.0,0.429,,,0.0,0.357,,,89.81
2020-04-10,0.0,0.429,,,0.0,0.357,,,89.81
2020-04-11,0.0,0.429,,,0.0,0.357,,,89.81
2020-04-12,2.0,0.714,,,1.664,0.594,,,89.81
2020-04-13,1.0,0.714,,,0.832,0.594,,,89.81
2020-04-14,0.0,0.714,,,0.0,0.594,,,89.81
2020-04-15,0.0,0.429,,,0.0,0.357,,,89.81
2020-04-16,1.0,0.571,1.0,,0.832,0.476,0.832,,84.26
2020-04-17,0.0,0.571,0.0,,0.0,0.476,0.0,,84.26
2020-04-18,6.0,1.429,0.0,,4.993,1.189,0.0,,84.26
2020-04-19,0.0,1.143,0.0,,0.0,0.951,0.0,,84.26
2020-04-20,2.0,1.286,0.0,,1.664,1.07,0.0,,84.26
2020-04-21,7.0,2.286,0.0,0.143,5.825,1.902,0.0,0.119,84.26
2020-04-22,0.0,2.286,0.0,0.143,0.0,1.902,0.0,0.119,84.26
2020-04-23,0.0,2.143,0.0,0.0,0.0,1.783,0.0,0.0,84.26
2020-04-24,5.0,2.857,0.0,0.0,4.161,2.378,0.0,0.0,84.26
2020-04-25,20.0,4.857,0.0,0.0,16.643,4.042,0.0,0.0,84.26
2020-04-26,3.0,5.286,0.0,0.0,2.497,4.399,0.0,0.0,84.26
2020-04-27,6.0,5.857,0.0,0.0,4.993,4.874,0.0,0.0,84.26
2020-04-28,6.0,5.714,0.0,0.0,4.993,4.755,0.0,0.0,84.26
2020-04-29,20.0,8.571,0.0,0.0,16.643,7.133,0.0,0.0,84.26
2020-04-30,9.0,9.857,0.0,0.0,7.49,8.203,0.0,0.0,84.26
2020-05-01,6.0,10.0,0.0,0.0,4.993,8.322,0.0,0.0,84.26
2020-05-02,2.0,7.429,0.0,0.0,1.664,6.182,0.0,0.0,84.26
2020-05-03,4.0,7.571,0.0,0.0,3.329,6.301,0.0,0.0,84.26
2020-05-04,4.0,7.286,0.0,0.0,3.329,6.063,0.0,0.0,84.26
2020-05-05,3.0,6.857,0.0,0.0,2.497,5.706,0.0,0.0,84.26
2020-05-06,4.0,4.571,1.0,0.143,3.329,3.804,0.832,0.119,84.26
2020-05-07,30.0,7.571,0.0,0.143,24.965,6.301,0.0,0.119,84.26
2020-05-08,6.0,7.571,0.0,0.143,4.993,6.301,0.0,0.119,84.26
2020-05-09,4.0,7.857,0.0,0.143,3.329,6.538,0.0,0.119,84.26
2020-05-10,9.0,8.571,0.0,0.143,7.49,7.133,0.0,0.119,84.26
2020-05-11,3.0,8.429,0.0,0.143,2.497,7.014,0.0,0.119,84.26
2020-05-12,9.0,9.286,0.0,0.143,7.49,7.727,0.0,0.119,84.26
2020-05-13,3.0,9.143,0.0,0.0,2.497,7.608,0.0,0.0,84.26
2020-05-14,0.0,4.857,0.0,0.0,0.0,4.042,0.0,0.0,84.26
2020-05-15,3.0,4.429,0.0,0.0,2.497,3.685,0.0,0.0,84.26
2020-05-16,12.0,5.571,0.0,0.0,9.986,4.636,0.0,0.0,84.26
2020-05-17,1.0,4.429,0.0,0.0,0.832,3.685,0.0,0.0,84.26
2020-05-18,2.0,4.286,0.0,0.0,1.664,3.566,0.0,0.0,84.26
2020-05-19,3.0,3.429,0.0,0.0,2.497,2.853,0.0,0.0,84.26
2020-05-20,9.0,4.286,0.0,0.0,7.49,3.566,0.0,0.0,84.26
2020-05-21,3.0,4.714,0.0,0.0,2.497,3.923,0.0,0.0,84.26
2020-05-22,5.0,5.0,0.0,0.0,4.161,4.161,0.0,0.0,84.26
2020-05-23,13.0,5.143,0.0,0.0,10.818,4.28,0.0,0.0,84.26
2020-05-24,12.0,6.714,0.0,0.0,9.986,5.587,0.0,0.0,84.26
2020-05-25,6.0,7.286,0.0,0.0,4.993,6.063,0.0,0.0,84.26
2020-05-26,5.0,7.571,0.0,0.0,4.161,6.301,0.0,0.0,84.26
2020-05-27,11.0,7.857,0.0,0.0,9.154,6.538,0.0,0.0,84.26
2020-05-28,7.0,8.429,0.0,0.0,5.825,7.014,0.0,0.0,84.26
2020-05-29,0.0,7.714,0.0,0.0,0.0,6.42,0.0,0.0,84.26
2020-05-30,4.0,6.429,0.0,0.0,3.329,5.35,0.0,0.0,84.26
2020-05-31,2.0,5.0,0.0,0.0,1.664,4.161,0.0,0.0,84.26
2020-06-01,8.0,5.286,1.0,0.143,6.657,4.399,0.832,0.119,84.26
2020-06-02,1.0,4.714,0.0,0.143,0.832,3.923,0.0,0.119,84.26
2020-06-03,1.0,3.286,0.0,0.143,0.832,2.734,0.0,0.119,84.26
2020-06-04,5.0,3.0,0.0,0.143,4.161,2.497,0.0,0.119,84.26
2020-06-05,5.0,3.714,0.0,0.143,4.161,3.091,0.0,0.119,84.26
2020-06-06,17.0,5.571,0.0,0.143,14.147,4.636,0.0,0.119,84.26
2020-06-07,11.0,6.857,0.0,0.143,9.154,5.706,0.0,0.119,84.26
2020-06-08,7.0,6.714,0.0,0.0,5.825,5.587,0.0,0.0,84.26
2020-06-09,31.0,11.0,0.0,0.0,25.797,9.154,0.0,0.0,84.26
2020-06-10,27.0,14.714,0.0,0.0,22.469,12.245,0.0,0.0,84.26
2020-06-11,51.0,21.286,0.0,0.0,42.441,17.713,0.0,0.0,84.26
2020-06-12,23.0,23.857,0.0,0.0,19.14,19.853,0.0,0.0,84.26
2020-06-13,14.0,23.429,0.0,0.0,11.65,19.497,0.0,0.0,84.26
2020-06-14,4.0,22.429,1.0,0.143,3.329,18.664,0.832,0.119,84.26
2020-06-15,16.0,23.714,0.0,0.143,13.315,19.734,0.0,0.119,84.26
2020-06-16,14.0,21.286,0.0,0.143,11.65,17.713,0.0,0.119,84.26
2020-06-17,43.0,23.571,0.0,0.143,35.783,19.615,0.0,0.119,84.26
2020-06-18,23.0,19.571,0.0,0.143,19.14,16.287,0.0,0.119,84.26
2020-06-19,37.0,21.571,0.0,0.143,30.79,17.951,0.0,0.119,84.26
2020-06-20,4.0,20.143,1.0,0.286,3.329,16.762,0.832,0.238,84.26
2020-06-21,8.0,20.714,0.0,0.143,6.657,17.238,0.0,0.119,84.26
2020-06-22,8.0,19.571,1.0,0.286,6.657,16.287,0.832,0.238,84.26
2020-06-23,31.0,22.0,1.0,0.429,25.797,18.308,0.832,0.357,84.26
2020-06-24,16.0,18.143,0.0,0.429,13.315,15.098,0.0,0.357,84.26
2020-06-25,16.0,17.143,1.0,0.571,13.315,14.266,0.832,0.476,84.26
2020-06-26,22.0,15.0,0.0,0.571,18.308,12.483,0.0,0.476,84.26
2020-06-27,17.0,16.857,0.0,0.429,14.147,14.028,0.0,0.357,84.26
2020-06-28,36.0,20.857,3.0,0.857,29.958,17.357,2.497,0.713,84.26
2020-06-29,14.0,21.714,0.0,0.714,11.65,18.07,0.0,0.594,84.26
2020-06-30,17.0,19.714,0.0,0.571,14.147,16.406,0.0,0.476,84.26
2020-07-01,28.0,21.429,0.0,0.571,23.301,17.832,0.0,0.476,84.26
2020-07-02,33.0,23.857,0.0,0.429,27.462,19.853,0.0,0.357,84.26
2020-07-03,36.0,25.857,2.0,0.714,29.958,21.517,1.664,0.594,84.26
2020-07-04,45.0,29.857,0.0,0.714,37.448,24.846,0.0,0.594,84.26
2020-07-05,34.0,29.571,0.0,0.286,28.294,24.608,0.0,0.238,84.26
2020-07-06,23.0,30.857,0.0,0.286,19.14,25.678,0.0,0.238,84.26
2020-07-07,45.0,34.857,1.0,0.429,37.448,29.007,0.832,0.357,84.26
2020-07-08,82.0,42.571,0.0,0.429,68.238,35.427,0.0,0.357,80.56
2020-07-09,75.0,48.571,3.0,0.857,62.413,40.42,2.497,0.713,80.56
2020-07-10,44.0,49.714,1.0,0.714,36.615,41.371,0.832,0.594,80.56
2020-07-11,54.0,51.0,0.0,0.714,44.937,42.441,0.0,0.594,80.56
2020-07-12,40.0,51.857,2.0,1.0,33.287,43.154,1.664,0.832,80.56
2020-07-13,38.0,54.0,0.0,1.0,31.622,44.937,0.0,0.832,80.56
2020-07-14,45.0,54.0,0.0,0.857,37.448,44.937,0.0,0.713,80.56
2020-07-15,55.0,50.143,0.0,0.857,45.769,41.727,0.0,0.713,80.56
2020-07-16,63.0,48.429,1.0,0.571,52.427,40.301,0.832,0.476,80.56
2020-07-17,67.0,51.714,0.0,0.429,55.755,43.035,0.0,0.357,80.56
2020-07-18,110.0,59.714,0.0,0.429,91.539,49.692,0.0,0.357,80.56
2020-07-19,64.0,63.143,0.0,0.143,53.259,52.545,0.0,0.119,80.56
2020-07-20,33.0,62.429,2.0,0.429,27.462,51.951,1.664,0.357,80.56
2020-07-21,68.0,65.714,1.0,0.571,56.587,54.685,0.832,0.476,80.56
2020-07-22,44.0,64.143,1.0,0.714,36.615,53.378,0.832,0.594,80.56
2020-07-23,83.0,67.0,3.0,1.0,69.07,55.755,2.497,0.832,80.56
2020-07-24,52.0,64.857,0.0,1.0,43.273,53.972,0.0,0.832,80.56
2020-07-25,69.0,59.0,0.0,1.0,57.42,49.098,0.0,0.832,80.56
2020-07-26,65.0,59.143,4.0,1.571,54.091,49.217,3.329,1.308,80.56
2020-07-27,109.0,70.0,2.0,1.571,90.706,58.252,1.664,1.308,80.56
2020-07-28,88.0,72.857,5.0,2.143,73.231,60.629,4.161,1.783,80.56
2020-07-29,147.0,87.571,1.0,2.143,122.329,72.874,0.832,1.783,80.56
2020-07-30,26.0,79.429,0.0,1.714,21.636,66.098,0.0,1.427,80.56
2020-07-31,71.0,82.143,1.0,1.857,59.084,68.357,0.832,1.545,80.56
2020-08-01,58.0,80.571,2.0,2.143,48.266,67.049,1.664,1.783,80.56
2020-08-02,69.0,81.143,0.0,1.571,57.42,67.525,0.0,1.308,80.56
2020-08-03,63.0,74.571,2.0,1.571,52.427,62.056,1.664,1.308,80.56
2020-08-04,18.0,64.571,4.0,1.429,14.979,53.734,3.329,1.189,80.56
2020-08-05,53.0,51.143,4.0,1.857,44.105,42.559,3.329,1.545,80.56
2020-08-06,59.0,55.857,2.0,2.143,49.098,46.483,1.664,1.783,80.56
2020-08-07,68.0,55.429,1.0,2.143,56.587,46.126,0.832,1.783,80.56
2020-08-08,92.0,60.286,0.0,1.857,76.559,50.168,0.0,1.545,80.56
2020-08-09,108.0,65.857,2.0,2.143,89.874,54.804,1.664,1.783,80.56
2020-08-10,73.0,67.286,3.0,2.286,60.748,55.993,2.497,1.902,80.56
2020-08-11,101.0,79.143,2.0,2.0,84.049,65.86,1.664,1.664,80.56
2020-08-12,115.0,88.0,0.0,1.429,95.699,73.231,0.0,1.189,80.56
2020-08-13,74.0,90.143,2.0,1.429,61.58,75.014,1.664,1.189,80.56
2020-08-14,71.0,90.571,3.0,1.714,59.084,75.371,2.497,1.427,80.56
2020-08-15,75.0,88.143,1.0,1.857,62.413,73.35,0.832,1.545,80.56
2020-08-16,94.0,86.143,1.0,1.714,78.224,71.685,0.832,1.427,80.56
2020-08-17,55.0,83.571,3.0,1.714,45.769,69.545,2.497,1.427,80.56
2020-08-18,95.0,82.714,3.0,1.857,79.056,68.832,2.497,1.545,64.81
2020-08-19,69.0,76.143,3.0,2.286,57.42,63.364,2.497,1.902,64.81
2020-08-20,52.0,73.0,2.0,2.286,43.273,60.748,1.664,1.902,64.81
2020-08-21,18.0,65.429,0.0,1.857,14.979,54.448,0.0,1.545,64.81
2020-08-22,61.0,63.429,2.0,2.0,50.762,52.783,1.664,1.664,64.81
2020-08-23,36.0,55.143,2.0,2.143,29.958,45.888,1.664,1.783,64.81
2020-08-24,79.0,58.571,0.0,1.714,65.741,48.741,0.0,1.427,64.81
2020-08-25,23.0,48.286,1.0,1.429,19.14,40.182,0.832,1.189,64.81
2020-08-26,60.0,47.0,2.0,1.286,49.93,39.112,1.664,1.07,64.81
2020-08-27,46.0,46.143,1.0,1.143,38.28,38.399,0.832,0.951,64.81
2020-08-28,28.0,47.571,2.0,1.429,23.301,39.587,1.664,1.189,64.81
2020-08-29,49.0,45.857,0.0,1.143,40.776,38.161,0.0,0.951,64.81
2020-08-30,51.0,48.0,0.0,0.857,42.441,39.944,0.0,0.713,64.81
2020-08-31,16.0,39.0,0.0,0.857,13.315,32.455,0.0,0.713,64.81
