time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-13,1.0,,,,0.008,,,,2.78
2020-03-14,0.0,,,,0.0,,,,2.78
2020-03-15,0.0,,,,0.0,,,,2.78
2020-03-16,4.0,,,,0.032,,,,35.19
2020-03-17,0.0,,,,0.0,,,,35.19
2020-03-18,1.0,0.857,,,0.008,0.007,,,35.19
2020-03-19,0.0,0.857,,,0.0,0.007,,,35.19
2020-03-20,3.0,1.143,,,0.024,0.009,,,35.19
2020-03-21,0.0,1.143,,,0.0,0.009,,,35.19
2020-03-22,2.0,1.429,,,0.016,0.012,,,35.19
2020-03-23,0.0,0.857,,,0.0,0.007,,,40.74
2020-03-24,1.0,1.0,,,0.008,0.008,,,40.74
2020-03-25,0.0,0.857,,,0.0,0.007,,,51.85
2020-03-26,0.0,0.857,,,0.0,0.007,,,60.19
2020-03-27,4.0,1.0,,,0.032,0.008,,,60.19
2020-03-28,0.0,1.0,,,0.0,0.008,,,60.19
2020-03-29,5.0,1.429,,,0.041,0.012,,,58.33
2020-03-30,2.0,1.714,,,0.016,0.014,,,66.67
2020-03-31,3.0,2.0,,,0.024,0.016,,,66.67
2020-04-01,3.0,2.429,,,0.024,0.02,,,66.67
2020-04-02,0.0,2.429,,,0.0,0.02,,,66.67
2020-04-03,6.0,2.714,,,0.049,0.022,,,66.67
2020-04-04,3.0,3.143,,,0.024,0.025,,,66.67
2020-04-05,5.0,3.143,2.0,,0.041,0.025,0.016,,66.67
2020-04-06,1.0,3.0,0.0,,0.008,0.024,0.0,,66.67
2020-04-07,8.0,3.714,0.0,,0.065,0.03,0.0,,66.67
2020-04-08,3.0,3.714,0.0,,0.024,0.03,0.0,,80.56
2020-04-09,1.0,3.857,0.0,,0.008,0.031,0.0,,80.56
2020-04-10,9.0,4.286,1.0,0.429,0.073,0.035,0.008,0.003,80.56
2020-04-11,4.0,4.429,0.0,0.429,0.032,0.036,0.0,0.003,80.56
2020-04-12,2.0,4.0,0.0,0.143,0.016,0.032,0.0,0.001,80.56
2020-04-13,3.0,4.286,0.0,0.143,0.024,0.035,0.0,0.001,80.56
2020-04-14,8.0,4.286,0.0,0.143,0.065,0.035,0.0,0.001,80.56
2020-04-15,3.0,4.286,0.0,0.143,0.024,0.035,0.0,0.001,80.56
2020-04-16,7.0,5.143,0.0,0.143,0.057,0.042,0.0,0.001,80.56
2020-04-17,4.0,4.429,0.0,0.0,0.032,0.036,0.0,0.0,80.56
2020-04-18,9.0,5.143,0.0,0.0,0.073,0.042,0.0,0.0,80.56
2020-04-19,3.0,5.286,0.0,0.0,0.024,0.043,0.0,0.0,80.56
2020-04-20,3.0,5.286,0.0,0.0,0.024,0.043,0.0,0.0,80.56
2020-04-21,3.0,4.571,0.0,0.0,0.024,0.037,0.0,0.0,80.56
2020-04-22,2.0,4.429,0.0,0.0,0.016,0.036,0.0,0.0,80.56
2020-04-23,0.0,3.429,0.0,0.0,0.0,0.028,0.0,0.0,80.56
2020-04-24,1.0,3.0,0.0,0.0,0.008,0.024,0.0,0.0,80.56
2020-04-25,5.0,2.429,0.0,0.0,0.041,0.02,0.0,0.0,80.56
2020-04-26,1.0,2.143,0.0,0.0,0.008,0.017,0.0,0.0,80.56
2020-04-27,1.0,1.857,0.0,0.0,0.008,0.015,0.0,0.0,80.56
2020-04-28,2.0,1.714,0.0,0.0,0.016,0.014,0.0,0.0,80.56
2020-04-29,4.0,2.0,0.0,0.0,0.032,0.016,0.0,0.0,80.56
2020-04-30,1.0,2.143,0.0,0.0,0.008,0.017,0.0,0.0,80.56
2020-05-01,2.0,2.286,0.0,0.0,0.016,0.019,0.0,0.0,80.56
2020-05-02,0.0,1.571,0.0,0.0,0.0,0.013,0.0,0.0,80.56
2020-05-03,2.0,1.714,0.0,0.0,0.016,0.014,0.0,0.0,80.56
2020-05-04,5.0,2.286,0.0,0.0,0.041,0.019,0.0,0.0,80.56
2020-05-05,5.0,2.714,1.0,0.143,0.041,0.022,0.008,0.001,80.56
