male,female,total
8520.306,8271.178,16791.484
7720.508,7525.556,15246.064
6999.073,6854.126,13853.199
6543.197,6432.598,12975.795
5930.683,5816.173,11746.856
4889.739,4802.45,9692.189
3761.349,3757.544,7518.893
3091.148,3182.837,6273.985
2445.523,2488.422,4933.945
2071.48,2033.228,4104.708
1567.789,1660.957,3228.746
1159.002,1316.318,2475.32
946.594,1109.67,2056.264
735.747,832.543,1568.29
539.874,648.561,1188.435
340.207,400.726,740.933
168.831,202.974,371.805
67.383,84.73,152.113
16.275,22.462,38.737
1.946,3.432,5.378
0.181,0.263,0.444
