time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-23,0.0,,0.0,,0.0,,0.0,,
2020-01-24,2.0,,0.0,,0.003,,0.0,,
2020-01-25,1.0,,0.0,,0.001,,0.0,,
2020-01-26,0.0,,0.0,,0.0,,0.0,,
2020-01-27,1.0,,0.0,,0.001,,0.0,,
2020-01-28,4.0,1.143,0.0,0.0,0.005,0.002,0.0,0.0,
2020-01-29,2.0,1.429,0.0,0.0,0.003,0.002,0.0,0.0,
2020-01-30,0.0,1.429,1.0,0.143,0.0,0.002,0.001,0.0,
2020-01-31,7.0,2.143,0.0,0.143,0.009,0.003,0.0,0.0,
2020-02-01,6.0,2.857,0.0,0.143,0.008,0.004,0.0,0.0,
2020-02-02,2.0,3.143,1.0,0.286,0.003,0.004,0.001,0.0,
2020-02-03,8.0,4.143,0.0,0.286,0.011,0.006,0.0,0.0,
2020-02-04,1.0,3.714,0.0,0.286,0.001,0.005,0.0,0.0,
2020-02-05,1.0,3.571,0.0,0.286,0.001,0.005,0.0,0.0,
2020-02-06,0.0,3.571,0.0,0.143,0.0,0.005,0.0,0.0,
2020-02-07,2.0,2.857,0.0,0.143,0.003,0.004,0.0,0.0,
2020-02-08,9.0,3.286,0.0,0.143,0.012,0.004,0.0,0.0,
2020-02-09,3.0,3.429,0.0,0.0,0.004,0.005,0.0,0.0,
2020-02-10,0.0,2.286,0.0,0.0,0.0,0.003,0.0,0.0,
2020-02-11,4.0,2.714,0.0,0.0,0.005,0.004,0.0,0.0,
2020-02-12,1.0,2.714,0.0,0.0,0.001,0.004,0.0,0.0,
2020-02-13,1.0,2.857,0.0,0.0,0.001,0.004,0.0,0.0,
2020-02-14,1.0,2.714,0.0,0.0,0.001,0.004,0.0,0.0,
2020-02-15,1.0,1.571,1.0,0.143,0.001,0.002,0.001,0.0,
2020-02-16,0.0,1.143,0.0,0.143,0.0,0.002,0.0,0.0,
2020-02-17,1.0,1.286,0.0,0.143,0.001,0.002,0.0,0.0,
2020-02-18,0.0,0.714,0.0,0.143,0.0,0.001,0.0,0.0,
2020-02-19,1.0,0.714,0.0,0.143,0.001,0.001,0.0,0.0,
2020-02-20,2.0,0.857,0.0,0.143,0.003,0.001,0.0,0.0,
2020-02-21,18.0,3.286,1.0,0.286,0.024,0.004,0.001,0.0,
2020-02-22,42.0,9.143,2.0,0.429,0.056,0.012,0.003,0.001,
2020-02-23,99.0,23.286,1.0,0.571,0.133,0.031,0.001,0.001,
2020-02-24,76.0,34.0,4.0,1.143,0.102,0.046,0.005,0.002,
2020-02-25,107.0,49.286,3.0,1.571,0.144,0.066,0.004,0.002,
2020-02-26,158.0,71.714,3.0,2.0,0.212,0.096,0.004,0.003,
2020-02-27,249.0,107.0,5.0,2.714,0.334,0.144,0.007,0.004,
2020-02-28,334.0,152.143,4.0,3.143,0.448,0.204,0.005,0.004,
2020-02-29,352.0,196.429,9.0,4.143,0.473,0.264,0.012,0.006,
2020-03-01,756.0,290.286,5.0,4.714,1.015,0.39,0.007,0.006,
2020-03-02,560.0,359.429,20.0,7.0,0.752,0.483,0.027,0.009,
