time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-29,1.0,,,,0.18,,,,5.56
2020-01-30,0.0,,,,0.0,,,,5.56
2020-01-31,0.0,,,,0.0,,,,5.56
2020-02-01,0.0,,,,0.0,,,,5.56
2020-02-02,0.0,,,,0.0,,,,5.56
2020-02-03,0.0,0.143,,,0.0,0.026,,,5.56
2020-02-04,0.0,0.143,,,0.0,0.026,,,5.56
2020-02-05,0.0,0.0,,,0.0,0.0,,,5.56
2020-02-06,0.0,0.0,,,0.0,0.0,,,13.89
2020-02-07,0.0,0.0,,,0.0,0.0,,,13.89
2020-02-08,0.0,0.0,,,0.0,0.0,,,13.89
2020-02-09,0.0,0.0,,,0.0,0.0,,,13.89
2020-02-10,0.0,0.0,,,0.0,0.0,,,13.89
2020-02-11,1.0,0.143,,,0.18,0.026,,,13.89
2020-02-12,0.0,0.143,,,0.0,0.026,,,13.89
2020-02-13,0.0,0.143,,,0.0,0.026,,,13.89
2020-02-14,0.0,0.143,,,0.0,0.026,,,13.89
2020-02-15,0.0,0.143,,,0.0,0.026,,,13.89
2020-02-16,0.0,0.143,,,0.0,0.026,,,13.89
2020-02-17,0.0,0.143,,,0.0,0.026,,,13.89
2020-02-18,0.0,0.0,,,0.0,0.0,,,13.89
2020-02-19,0.0,0.0,,,0.0,0.0,,,13.89
2020-02-20,0.0,0.0,,,0.0,0.0,,,13.89
2020-02-21,0.0,0.0,,,0.0,0.0,,,13.89
2020-02-22,0.0,0.0,,,0.0,0.0,,,13.89
2020-02-23,1.0,0.143,,,0.18,0.026,,,13.89
2020-02-24,0.0,0.143,,,0.0,0.026,,,13.89
2020-02-25,0.0,0.143,,,0.0,0.026,,,13.89
2020-02-26,1.0,0.286,,,0.18,0.052,,,13.89
2020-02-27,0.0,0.286,,,0.0,0.052,,,19.44
2020-02-28,1.0,0.429,,,0.18,0.077,,,19.44
2020-02-29,3.0,0.857,,,0.541,0.155,,,19.44
2020-03-01,1.0,0.857,,,0.18,0.155,,,19.44
2020-03-02,1.0,1.0,,,0.18,0.18,,,19.44
2020-03-03,0.0,1.0,,,0.0,0.18,,,19.44
2020-03-04,4.0,1.429,,,0.722,0.258,,,19.44
2020-03-05,6.0,2.286,,,1.083,0.413,,,19.44
2020-03-06,1.0,2.286,,,0.18,0.413,,,19.44
2020-03-07,7.0,2.857,1.0,,1.263,0.516,0.18,,19.44
2020-03-08,7.0,3.714,0.0,,1.263,0.67,0.0,,19.44
2020-03-09,9.0,4.857,0.0,,1.624,0.877,0.0,,19.44
2020-03-10,17.0,7.286,0.0,,3.068,1.315,0.0,,19.44
2020-03-11,54.0,14.429,0.0,,9.746,2.604,0.0,,19.44
2020-03-12,76.0,24.429,0.0,0.143,13.717,4.409,0.0,0.026,37.04
2020-03-13,60.0,32.857,0.0,0.143,10.829,5.93,0.0,0.026,37.04
2020-03-14,28.0,35.857,1.0,0.143,5.053,6.472,0.18,0.026,37.04
2020-03-15,29.0,39.0,1.0,0.286,5.234,7.039,0.18,0.052,37.04
2020-03-16,53.0,45.286,0.0,0.286,9.566,8.173,0.0,0.052,61.11
2020-03-17,52.0,50.286,1.0,0.429,9.385,9.076,0.18,0.077,61.11
2020-03-18,47.0,49.286,2.0,0.714,8.483,8.895,0.361,0.129,68.52
2020-03-19,90.0,51.286,0.0,0.714,16.243,9.256,0.0,0.129,68.52
2020-03-20,99.0,56.857,1.0,0.857,17.868,10.262,0.18,0.155,68.52
2020-03-21,87.0,65.286,1.0,0.857,15.702,11.783,0.18,0.155,68.52
2020-03-22,87.0,73.571,2.0,1.0,15.702,13.278,0.361,0.18,68.52
2020-03-23,78.0,77.143,1.0,1.143,14.078,13.923,0.18,0.206,68.52
2020-03-24,84.0,81.714,4.0,1.571,15.16,14.748,0.722,0.284,68.52
2020-03-25,99.0,89.143,1.0,1.429,17.868,16.089,0.18,0.258,68.52
2020-03-26,104.0,91.143,5.0,2.143,18.77,16.45,0.902,0.387,68.52
2020-03-27,113.0,93.143,4.0,2.571,20.394,16.811,0.722,0.464,71.3
2020-03-28,95.0,94.286,2.0,2.714,17.146,17.017,0.361,0.49,71.3
2020-03-29,77.0,92.857,4.0,3.0,13.897,16.759,0.722,0.541,71.3
2020-03-30,70.0,91.714,10.0,4.286,12.634,16.553,1.805,0.773,71.3
2020-03-31,129.0,98.143,10.0,5.143,23.282,17.713,1.805,0.928,71.3
2020-04-01,125.0,101.857,7.0,6.0,22.56,18.383,1.263,1.083,71.3
2020-04-02,149.0,108.286,4.0,5.857,26.892,19.544,0.722,1.057,71.3
2020-04-03,161.0,115.143,6.0,6.143,29.057,20.781,1.083,1.109,71.3
2020-04-04,199.0,130.0,5.0,6.571,35.916,23.463,0.902,1.186,71.3
2020-04-05,81.0,130.571,7.0,7.0,14.619,23.566,1.263,1.263,71.3
2020-04-06,122.0,138.0,4.0,6.143,22.019,24.906,0.722,1.109,71.3
