time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-24,2.0,,,,0.029,,,,5.56
2020-01-25,1.0,,,,0.015,,,,5.56
2020-01-26,0.0,,,,0.0,,,,5.56
2020-01-27,0.0,,,,0.0,,,,5.56
2020-01-28,1.0,,,,0.015,,,,5.56
2020-01-29,1.0,0.714,,,0.015,0.011,,,5.56
2020-01-30,0.0,0.714,,,0.0,0.011,,,5.56
2020-01-31,0.0,0.429,,,0.0,0.006,,,5.56
2020-02-01,1.0,0.429,,,0.015,0.006,,,5.56
2020-02-02,0.0,0.429,,,0.0,0.006,,,5.56
2020-02-03,0.0,0.429,,,0.0,0.006,,,5.56
2020-02-04,0.0,0.286,,,0.0,0.004,,,5.56
2020-02-05,0.0,0.143,,,0.0,0.002,,,5.56
2020-02-06,0.0,0.143,,,0.0,0.002,,,5.56
2020-02-07,0.0,0.143,,,0.0,0.002,,,5.56
2020-02-08,5.0,0.714,,,0.074,0.011,,,5.56
2020-02-09,0.0,0.714,,,0.0,0.011,,,5.56
2020-02-10,0.0,0.714,,,0.0,0.011,,,5.56
2020-02-11,0.0,0.714,,,0.0,0.011,,,5.56
2020-02-12,0.0,0.714,,,0.0,0.011,,,5.56
2020-02-13,0.0,0.714,,,0.0,0.011,,,5.56
2020-02-14,0.0,0.714,,,0.0,0.011,,,5.56
2020-02-15,1.0,0.143,1.0,,0.015,0.002,0.015,,5.56
2020-02-16,0.0,0.143,0.0,,0.0,0.002,0.0,,5.56
2020-02-17,0.0,0.143,0.0,,0.0,0.002,0.0,,5.56
2020-02-18,0.0,0.143,0.0,,0.0,0.002,0.0,,5.56
2020-02-19,0.0,0.143,0.0,,0.0,0.002,0.0,,5.56
2020-02-20,0.0,0.143,0.0,0.143,0.0,0.002,0.0,0.002,5.56
2020-02-21,0.0,0.143,0.0,0.143,0.0,0.002,0.0,0.002,5.56
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
2020-02-25,2.0,0.286,0.0,0.0,0.029,0.004,0.0,0.0,13.89
2020-02-26,4.0,0.857,1.0,0.143,0.059,0.013,0.015,0.002,13.89
2020-02-27,20.0,3.714,0.0,0.143,0.295,0.055,0.0,0.002,13.89
2020-02-28,19.0,6.429,0.0,0.143,0.28,0.095,0.0,0.002,13.89
2020-02-29,43.0,12.571,0.0,0.143,0.634,0.185,0.0,0.002,34.72
2020-03-01,30.0,16.857,0.0,0.143,0.442,0.249,0.0,0.002,34.72
2020-03-02,61.0,25.571,1.0,0.286,0.9,0.377,0.015,0.004,43.98
2020-03-03,21.0,28.286,1.0,0.429,0.31,0.417,0.015,0.006,43.98
2020-03-04,76.0,38.571,0.0,0.286,1.121,0.569,0.0,0.004,43.98
2020-03-05,138.0,55.429,3.0,0.714,2.035,0.817,0.044,0.011,43.98
2020-03-06,190.0,79.857,2.0,1.0,2.802,1.178,0.029,0.015,43.98
2020-03-07,332.0,121.143,7.0,2.0,4.896,1.786,0.103,0.029,43.98
2020-03-08,177.0,142.143,3.0,2.429,2.61,2.096,0.044,0.036,43.98
2020-03-09,286.0,174.286,6.0,3.143,4.217,2.57,0.088,0.046,43.98
2020-03-10,372.0,224.429,8.0,4.143,5.486,3.31,0.118,0.061,43.98
2020-03-11,510.0,286.429,15.0,6.286,7.521,4.224,0.221,0.093,43.98
2020-03-12,0.0,266.714,0.0,5.857,0.0,3.933,0.0,0.086,43.98
2020-03-13,1385.0,437.429,31.0,10.0,20.424,6.451,0.457,0.147,43.98
2020-03-14,815.0,506.429,12.0,10.714,12.018,7.468,0.177,0.158,49.54
2020-03-15,36.0,486.286,0.0,10.286,0.531,7.171,0.0,0.152,49.54
2020-03-16,2151.0,752.714,58.0,17.714,31.72,11.1,0.855,0.261,56.94
2020-03-17,1032.0,847.0,0.0,16.571,15.218,12.49,0.0,0.244,87.96
2020-03-18,1409.0,975.429,0.0,14.429,20.778,14.384,0.0,0.213,87.96
2020-03-19,1841.0,1238.429,95.0,28.0,27.148,18.262,1.401,0.413,87.96
2020-03-20,1783.0,1295.286,207.0,53.143,26.293,19.101,3.053,0.784,87.96
2020-03-21,1699.0,1421.571,112.0,67.429,25.054,20.963,1.652,0.994,87.96
2020-03-22,2295.0,1744.286,113.0,83.571,33.843,25.722,1.666,1.232,87.96
2020-03-23,3355.0,1916.286,186.0,101.857,49.474,28.258,2.743,1.502,87.96
2020-03-24,2243.0,2089.286,240.0,136.143,33.076,30.81,3.539,2.008,87.96
2020-03-25,2955.0,2310.143,231.0,169.143,43.576,34.066,3.406,2.494,87.96
2020-03-26,3916.0,2606.571,364.0,207.571,57.747,38.438,5.368,3.061,87.96
2020-03-27,3792.0,2893.571,299.0,220.714,55.918,42.67,4.409,3.255,87.96
2020-03-28,4648.0,3314.857,318.0,250.143,68.541,48.882,4.689,3.689,87.96
2020-03-29,2603.0,3358.857,294.0,276.0,38.385,49.531,4.335,4.07,87.96
2020-03-30,4343.0,3500.0,417.0,309.0,64.044,51.613,6.149,4.557,87.96
2020-03-31,7635.0,4270.286,501.0,346.286,112.589,62.971,7.388,5.106,87.96
2020-04-01,4843.0,4540.0,1253.0,492.286,71.417,66.949,18.477,7.259,87.96
2020-04-02,2100.0,4280.571,609.0,527.286,30.968,63.123,8.981,7.776,87.96
2020-04-03,5223.0,4485.0,1122.0,644.857,77.021,66.138,16.546,9.509,87.96
2020-04-04,,,1052.0,749.714,,,15.513,11.056,87.96
2020-04-05,846.0,3570.0,519.0,781.857,12.475,52.645,7.653,11.53,87.96
2020-04-06,2658.0,3329.286,833.0,841.286,39.196,49.095,12.284,12.406,87.96
2020-04-07,,,1416.0,972.0,,,20.881,14.334,87.96
2020-04-08,3851.0,,544.0,870.714,56.789,,8.022,12.84,87.96
2020-04-09,3784.0,,1340.0,975.143,55.801,,19.76,14.38,87.96
2020-04-10,1566.0,,985.0,955.571,23.093,,14.525,14.091,87.96
2020-04-11,1445.0,2021.429,636.0,896.143,21.309,29.809,9.379,13.215,87.96
2020-04-12,50745.0,9149.857,561.0,902.143,748.308,134.928,8.273,13.303,87.96
2020-04-13,3139.0,9218.571,573.0,865.0,46.289,135.941,8.45,12.756,87.96
2020-04-14,17448.0,11711.143,743.0,768.857,257.296,172.698,10.957,11.338,87.96
2020-04-15,3207.0,11619.143,1438.0,896.571,47.292,171.341,21.205,13.221,87.96
2020-04-16,12578.0,12875.429,753.0,812.714,185.481,189.867,11.104,11.985,87.96
2020-04-17,1891.0,12921.857,761.0,780.714,27.886,190.551,11.222,11.513,87.96
2020-04-18,3804.0,13258.857,641.0,781.429,56.095,195.521,9.452,11.523,87.96
2020-04-19,1094.0,6165.857,389.0,756.857,16.133,90.924,5.736,11.161,87.96
2020-04-20,2446.0,6066.857,547.0,753.143,36.07,89.465,8.066,11.106,87.96
2020-04-21,2666.0,3955.143,528.0,722.429,39.314,58.324,7.786,10.653,87.96
2020-04-22,1798.0,3753.857,544.0,594.714,26.514,55.356,8.022,8.77,87.96
2020-04-23,,,516.0,560.857,,,7.609,8.271,87.96
2020-04-24,2811.0,2088.429,389.0,507.714,41.452,30.797,5.736,7.487,87.96
2020-04-25,1678.0,1784.714,369.0,468.857,24.745,26.318,5.441,6.914,87.96
2020-04-26,633.0,1718.857,243.0,448.0,9.334,25.347,3.583,6.606,87.96
2020-04-27,3686.0,1896.0,437.0,432.286,54.355,27.959,6.444,6.375,87.96
2020-04-28,3131.0,1962.429,367.0,409.286,46.171,28.939,5.412,6.036,87.96
2020-04-29,,,426.0,392.429,,,6.282,5.787,87.96
2020-04-30,1218.0,1879.571,289.0,360.0,17.961,27.717,4.262,5.309,87.96
2020-05-01,526.0,1553.143,217.0,335.429,7.757,22.903,3.2,4.946,87.96
2020-05-02,792.0,1426.571,197.0,310.857,11.679,21.037,2.905,4.584,87.96
2020-05-03,361.0,1387.714,135.0,295.429,5.323,20.464,1.991,4.357,87.96
2020-05-04,562.0,941.429,306.0,276.714,8.287,13.883,4.512,4.081,87.96
2020-05-05,1115.0,653.429,333.0,271.857,16.442,9.636,4.911,4.009,87.96
