time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-13,3.0,,,,9.795,,,,
2020-03-14,0.0,,,,0.0,,,,
2020-03-15,0.0,,,,0.0,,,,
2020-03-16,0.0,,,,0.0,,,,
2020-03-17,0.0,,,,0.0,,,,
2020-03-18,0.0,0.429,,,0.0,1.399,,,
2020-03-19,3.0,0.857,,,9.795,2.798,,,
2020-03-20,5.0,1.143,,,16.324,3.731,,,
2020-03-21,4.0,1.714,,,13.059,5.597,,,
2020-03-22,3.0,2.143,,,9.795,6.996,,,
2020-03-23,0.0,2.143,,,0.0,6.996,,,
2020-03-24,7.0,3.143,,,22.854,10.261,,,
2020-03-25,0.0,3.143,,,0.0,10.261,,,
2020-03-26,5.0,3.429,,,16.324,11.194,,,
2020-03-27,0.0,2.714,,,0.0,8.862,,,
2020-03-28,0.0,2.143,,,0.0,6.996,,,
2020-03-29,0.0,1.714,,,0.0,5.597,,,
2020-03-30,6.0,2.571,,,19.589,8.395,,,
2020-03-31,0.0,1.571,,,0.0,5.13,,,
2020-04-01,1.0,1.714,,,3.265,5.597,,,
2020-04-02,0.0,1.0,,,0.0,3.265,,,
2020-04-03,2.0,1.286,,,6.53,4.198,,,
2020-04-04,1.0,1.429,,,3.265,4.664,,,
2020-04-05,1.0,1.571,,,3.265,5.13,,,
2020-04-06,1.0,0.857,,,3.265,2.798,,,
2020-04-07,5.0,1.571,,,16.324,5.13,,,
2020-04-08,4.0,2.0,,,13.059,6.53,,,
2020-04-09,0.0,2.0,,,0.0,6.53,,,
2020-04-10,0.0,1.714,,,0.0,5.597,,,
2020-04-11,0.0,1.571,,,0.0,5.13,,,
2020-04-12,2.0,1.714,,,6.53,5.597,,,
2020-04-13,2.0,1.857,,,6.53,6.063,,,
2020-04-14,0.0,1.143,,,0.0,3.731,,,
2020-04-15,0.0,0.571,,,0.0,1.866,,,
2020-04-16,0.0,0.571,,,0.0,1.866,,,
2020-04-17,0.0,0.571,,,0.0,1.866,,,
2020-04-18,0.0,0.571,,,0.0,1.866,,,
2020-04-19,0.0,0.286,,,0.0,0.933,,,
2020-04-20,1.0,0.143,,,3.265,0.466,,,
2020-04-21,0.0,0.143,,,0.0,0.466,,,
2020-04-22,1.0,0.286,,,3.265,0.933,,,
2020-04-23,0.0,0.286,,,0.0,0.933,,,
2020-04-24,0.0,0.286,,,0.0,0.933,,,
2020-04-25,0.0,0.286,,,0.0,0.933,,,
2020-04-26,0.0,0.286,,,0.0,0.933,,,
2020-04-27,0.0,0.143,,,0.0,0.466,,,
2020-04-28,1.0,0.286,,,3.265,0.933,,,
2020-04-29,0.0,0.143,,,0.0,0.466,,,
2020-04-30,0.0,0.143,,,0.0,0.466,,,
2020-05-01,0.0,0.143,,,0.0,0.466,,,
2020-05-02,0.0,0.143,,,0.0,0.466,,,
2020-05-03,0.0,0.143,,,0.0,0.466,,,
2020-05-04,0.0,0.143,,,0.0,0.466,,,
2020-05-05,2.0,0.286,,,6.53,0.933,,,
2020-05-06,0.0,0.286,,,0.0,0.933,,,
2020-05-07,0.0,0.286,,,0.0,0.933,,,
2020-05-08,0.0,0.286,,,0.0,0.933,,,
2020-05-09,0.0,0.286,,,0.0,0.933,,,
2020-05-10,0.0,0.286,,,0.0,0.933,,,
2020-05-11,0.0,0.286,,,0.0,0.933,,,
2020-05-12,0.0,0.0,,,0.0,0.0,,,
2020-05-13,0.0,0.0,,,0.0,0.0,,,
2020-05-14,0.0,0.0,,,0.0,0.0,,,
2020-05-15,0.0,0.0,,,0.0,0.0,,,
2020-05-16,0.0,0.0,,,0.0,0.0,,,
2020-05-17,0.0,0.0,,,0.0,0.0,,,
2020-05-18,0.0,0.0,,,0.0,0.0,,,
2020-05-19,0.0,0.0,,,0.0,0.0,,,
2020-05-20,0.0,0.0,,,0.0,0.0,,,
2020-05-21,0.0,0.0,,,0.0,0.0,,,
2020-05-22,0.0,0.0,,,0.0,0.0,,,
2020-05-23,0.0,0.0,,,0.0,0.0,,,
2020-05-24,0.0,0.0,,,0.0,0.0,,,
2020-05-25,0.0,0.0,,,0.0,0.0,,,
2020-05-26,0.0,0.0,,,0.0,0.0,,,
2020-05-27,0.0,0.0,,,0.0,0.0,,,
2020-05-28,0.0,0.0,,,0.0,0.0,,,
2020-05-29,0.0,0.0,,,0.0,0.0,,,
2020-05-30,0.0,0.0,,,0.0,0.0,,,
2020-05-31,0.0,0.0,,,0.0,0.0,,,
2020-06-01,0.0,0.0,,,0.0,0.0,,,
2020-06-02,0.0,0.0,,,0.0,0.0,,,
2020-06-03,0.0,0.0,,,0.0,0.0,,,
2020-06-04,0.0,0.0,,,0.0,0.0,,,
2020-06-05,0.0,0.0,,,0.0,0.0,,,
2020-06-06,0.0,0.0,,,0.0,0.0,,,
2020-06-07,0.0,0.0,,,0.0,0.0,,,
2020-06-08,0.0,0.0,,,0.0,0.0,,,
2020-06-09,0.0,0.0,,,0.0,0.0,,,
2020-06-10,0.0,0.0,,,0.0,0.0,,,
2020-06-11,0.0,0.0,,,0.0,0.0,,,
2020-06-12,0.0,0.0,,,0.0,0.0,,,
2020-06-13,0.0,0.0,,,0.0,0.0,,,
2020-06-14,0.0,0.0,,,0.0,0.0,,,
2020-06-15,0.0,0.0,,,0.0,0.0,,,
2020-06-16,0.0,0.0,,,0.0,0.0,,,
2020-06-17,0.0,0.0,,,0.0,0.0,,,
2020-06-18,0.0,0.0,,,0.0,0.0,,,
2020-06-19,0.0,0.0,,,0.0,0.0,,,
2020-06-20,0.0,0.0,,,0.0,0.0,,,
2020-06-21,0.0,0.0,,,0.0,0.0,,,
2020-06-22,0.0,0.0,,,0.0,0.0,,,
2020-06-23,0.0,0.0,,,0.0,0.0,,,
2020-06-24,0.0,0.0,,,0.0,0.0,,,
2020-06-25,0.0,0.0,,,0.0,0.0,,,
2020-06-26,0.0,0.0,,,0.0,0.0,,,
2020-06-27,0.0,0.0,,,0.0,0.0,,,
2020-06-28,2.0,0.286,,,6.53,0.933,,,
2020-06-29,0.0,0.286,,,0.0,0.933,,,
2020-06-30,0.0,0.286,,,0.0,0.933,,,
2020-07-01,0.0,0.286,,,0.0,0.933,,,
2020-07-02,0.0,0.286,,,0.0,0.933,,,
2020-07-03,0.0,0.286,,,0.0,0.933,,,
2020-07-04,0.0,0.286,,,0.0,0.933,,,
2020-07-05,0.0,0.0,,,0.0,0.0,,,
2020-07-06,0.0,0.0,,,0.0,0.0,,,
2020-07-07,0.0,0.0,,,0.0,0.0,,,
2020-07-08,0.0,0.0,,,0.0,0.0,,,
2020-07-09,0.0,0.0,,,0.0,0.0,,,
2020-07-10,0.0,0.0,,,0.0,0.0,,,
2020-07-11,0.0,0.0,,,0.0,0.0,,,
2020-07-12,0.0,0.0,,,0.0,0.0,,,
2020-07-13,0.0,0.0,,,0.0,0.0,,,
2020-07-14,0.0,0.0,,,0.0,0.0,,,
2020-07-15,0.0,0.0,,,0.0,0.0,,,
2020-07-16,0.0,0.0,,,0.0,0.0,,,
2020-07-17,0.0,0.0,,,0.0,0.0,,,
2020-07-18,0.0,0.0,,,0.0,0.0,,,
2020-07-19,0.0,0.0,,,0.0,0.0,,,
2020-07-20,0.0,0.0,,,0.0,0.0,,,
2020-07-21,0.0,0.0,,,0.0,0.0,,,
2020-07-22,0.0,0.0,,,0.0,0.0,,,
2020-07-23,0.0,0.0,,,0.0,0.0,,,
2020-07-24,0.0,0.0,,,0.0,0.0,,,
2020-07-25,0.0,0.0,,,0.0,0.0,,,
2020-07-26,0.0,0.0,,,0.0,0.0,,,
2020-07-27,0.0,0.0,,,0.0,0.0,,,
2020-07-28,0.0,0.0,,,0.0,0.0,,,
2020-07-29,0.0,0.0,,,0.0,0.0,,,
2020-07-30,0.0,0.0,,,0.0,0.0,,,
2020-07-31,0.0,0.0,,,0.0,0.0,,,
2020-08-01,0.0,0.0,,,0.0,0.0,,,
