time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-17,1.0,,,,0.37,,,,11.11
2020-03-18,0.0,,,,0.0,,,,45.37
2020-03-19,0.0,,,,0.0,,,,45.37
2020-03-20,0.0,,,,0.0,,,,53.7
2020-03-21,0.0,,,,0.0,,,,53.7
2020-03-22,0.0,0.143,,,0.0,0.053,,,53.7
2020-03-23,1.0,0.286,1.0,,0.37,0.106,0.37,,56.48
2020-03-24,1.0,0.286,0.0,,0.37,0.106,0.0,,56.48
2020-03-25,0.0,0.286,0.0,,0.0,0.106,0.0,,56.48
2020-03-26,0.0,0.286,0.0,,0.0,0.106,0.0,,56.48
2020-03-27,0.0,0.286,0.0,,0.0,0.106,0.0,,78.7
2020-03-28,0.0,0.286,0.0,0.143,0.0,0.106,0.0,0.053,78.7
2020-03-29,1.0,0.429,0.0,0.143,0.37,0.158,0.0,0.053,78.7
2020-03-30,0.0,0.286,0.0,0.0,0.0,0.106,0.0,0.0,78.7
2020-03-31,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,78.7
2020-04-01,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,78.7
2020-04-02,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,78.7
2020-04-03,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,78.7
2020-04-04,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,78.7
2020-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7
2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7
2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7
2020-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7
2020-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7
2020-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7
2020-04-11,5.0,0.714,0.0,0.0,1.848,0.264,0.0,0.0,78.7
2020-04-12,0.0,0.714,0.0,0.0,0.0,0.264,0.0,0.0,78.7
2020-04-13,0.0,0.714,0.0,0.0,0.0,0.264,0.0,0.0,78.7
2020-04-14,0.0,0.714,0.0,0.0,0.0,0.264,0.0,0.0,78.7
2020-04-15,0.0,0.714,0.0,0.0,0.0,0.264,0.0,0.0,78.7
2020-04-16,0.0,0.714,0.0,0.0,0.0,0.264,0.0,0.0,78.7
2020-04-17,0.0,0.714,0.0,0.0,0.0,0.264,0.0,0.0,78.7
2020-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7
2020-04-19,1.0,0.143,0.0,0.0,0.37,0.053,0.0,0.0,78.7
2020-04-20,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,78.7
2020-04-21,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,78.7
2020-04-22,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,78.7
2020-04-23,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,78.7
2020-04-24,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,78.7
2020-04-25,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,78.7
2020-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7
2020-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7
2020-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7
2020-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7
2020-04-30,1.0,0.143,0.0,0.0,0.37,0.053,0.0,0.0,78.7
2020-05-01,1.0,0.286,0.0,0.0,0.37,0.106,0.0,0.0,78.7
2020-05-02,5.0,1.0,0.0,0.0,1.848,0.37,0.0,0.0,78.7
2020-05-03,0.0,1.0,0.0,0.0,0.0,0.37,0.0,0.0,78.7
2020-05-04,0.0,1.0,0.0,0.0,0.0,0.37,0.0,0.0,78.7
2020-05-05,0.0,1.0,0.0,0.0,0.0,0.37,0.0,0.0,78.7
2020-05-06,0.0,1.0,0.0,0.0,0.0,0.37,0.0,0.0,78.7
2020-05-07,1.0,1.0,0.0,0.0,0.37,0.37,0.0,0.0,78.7
2020-05-08,2.0,1.143,0.0,0.0,0.739,0.422,0.0,0.0,78.7
2020-05-09,0.0,0.429,0.0,0.0,0.0,0.158,0.0,0.0,78.7
2020-05-10,0.0,0.429,0.0,0.0,0.0,0.158,0.0,0.0,78.7
2020-05-11,2.0,0.714,0.0,0.0,0.739,0.264,0.0,0.0,78.7
2020-05-12,0.0,0.714,0.0,0.0,0.0,0.264,0.0,0.0,78.7
2020-05-13,1.0,0.857,0.0,0.0,0.37,0.317,0.0,0.0,78.7
2020-05-14,0.0,0.714,0.0,0.0,0.0,0.264,0.0,0.0,78.7
2020-05-15,0.0,0.429,0.0,0.0,0.0,0.158,0.0,0.0,78.7
2020-05-16,0.0,0.429,0.0,0.0,0.0,0.158,0.0,0.0,78.7
2020-05-17,0.0,0.429,0.0,0.0,0.0,0.158,0.0,0.0,78.7
2020-05-18,1.0,0.286,0.0,0.0,0.37,0.106,0.0,0.0,77.78
2020-05-19,0.0,0.286,0.0,0.0,0.0,0.106,0.0,0.0,77.78
2020-05-20,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,77.78
2020-05-21,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,77.78
2020-05-22,1.0,0.286,0.0,0.0,0.37,0.106,0.0,0.0,77.78
2020-05-23,0.0,0.286,0.0,0.0,0.0,0.106,0.0,0.0,77.78
2020-05-24,0.0,0.286,0.0,0.0,0.0,0.106,0.0,0.0,77.78
2020-05-25,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,77.78
2020-05-26,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,77.78
2020-05-27,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,77.78
2020-05-28,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,77.78
2020-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.78
2020-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.78
2020-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.78
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.78
2020-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.78
2020-06-03,1.0,0.143,0.0,0.0,0.37,0.053,0.0,0.0,77.78
2020-06-04,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,74.07
2020-06-05,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,74.07
2020-06-06,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,74.07
2020-06-07,0.0,0.143,0.0,0.0,0.0,0.053,0.0,0.0,74.07
2020-06-08,2.0,0.429,0.0,0.0,0.739,0.158,0.0,0.0,74.07
2020-06-09,0.0,0.429,0.0,0.0,0.0,0.158,0.0,0.0,74.07
2020-06-10,0.0,0.286,0.0,0.0,0.0,0.106,0.0,0.0,74.07
2020-06-11,0.0,0.286,0.0,0.0,0.0,0.106,0.0,0.0,74.07
2020-06-12,0.0,0.286,0.0,0.0,0.0,0.106,0.0,0.0,74.07
2020-06-13,0.0,0.286,0.0,0.0,0.0,0.106,0.0,0.0,74.07
2020-06-14,0.0,0.286,0.0,0.0,0.0,0.106,0.0,0.0,74.07
2020-06-15,2.0,0.286,0.0,0.0,0.739,0.106,0.0,0.0,74.07
2020-06-16,4.0,0.857,0.0,0.0,1.478,0.317,0.0,0.0,74.07
2020-06-17,0.0,0.857,0.0,0.0,0.0,0.317,0.0,0.0,74.07
2020-06-18,2.0,1.143,0.0,0.0,0.739,0.422,0.0,0.0,74.07
2020-06-19,0.0,1.143,0.0,0.0,0.0,0.422,0.0,0.0,74.07
2020-06-20,1.0,1.286,1.0,0.143,0.37,0.475,0.37,0.053,74.07
2020-06-21,0.0,1.286,0.0,0.143,0.0,0.475,0.0,0.053,74.07
2020-06-22,4.0,1.571,0.0,0.143,1.478,0.581,0.0,0.053,74.07
2020-06-23,1.0,1.143,0.0,0.143,0.37,0.422,0.0,0.053,74.07
2020-06-24,0.0,1.143,0.0,0.143,0.0,0.422,0.0,0.053,74.07
2020-06-25,1.0,1.0,0.0,0.143,0.37,0.37,0.0,0.053,70.37
2020-06-26,0.0,1.0,0.0,0.143,0.0,0.37,0.0,0.053,70.37
2020-06-27,1.0,1.0,0.0,0.0,0.37,0.37,0.0,0.0,70.37
2020-06-28,1.0,1.143,0.0,0.0,0.37,0.422,0.0,0.0,70.37
2020-06-29,2.0,0.857,0.0,0.0,0.739,0.317,0.0,0.0,68.98
2020-06-30,2.0,1.0,0.0,0.0,0.739,0.37,0.0,0.0,68.98
2020-07-01,0.0,1.0,0.0,0.0,0.0,0.37,0.0,0.0,68.98
2020-07-02,6.0,1.714,0.0,0.0,2.217,0.634,0.0,0.0,68.98
2020-07-03,0.0,1.714,0.0,0.0,0.0,0.634,0.0,0.0,68.98
2020-07-04,2.0,1.857,0.0,0.0,0.739,0.686,0.0,0.0,68.98
2020-07-05,0.0,1.714,0.0,0.0,0.0,0.634,0.0,0.0,68.98
2020-07-06,4.0,2.0,1.0,0.143,1.478,0.739,0.37,0.053,68.98
2020-07-07,0.0,1.714,0.0,0.143,0.0,0.634,0.0,0.053,68.98
2020-07-08,0.0,1.714,0.0,0.143,0.0,0.634,0.0,0.053,68.98
2020-07-09,2.0,1.143,0.0,0.143,0.739,0.422,0.0,0.053,68.98
2020-07-10,1.0,1.286,0.0,0.143,0.37,0.475,0.0,0.053,68.98
2020-07-11,0.0,1.0,0.0,0.143,0.0,0.37,0.0,0.053,68.98
2020-07-12,0.0,1.0,0.0,0.143,0.0,0.37,0.0,0.053,68.98
2020-07-13,0.0,0.429,0.0,0.0,0.0,0.158,0.0,0.0,68.98
2020-07-14,0.0,0.429,0.0,0.0,0.0,0.158,0.0,0.0,68.98
2020-07-15,0.0,0.429,0.0,0.0,0.0,0.158,0.0,0.0,68.98
2020-07-16,14.0,2.143,0.0,0.0,5.174,0.792,0.0,0.0,68.98
2020-07-17,0.0,2.0,0.0,0.0,0.0,0.739,0.0,0.0,68.98
2020-07-18,15.0,4.143,1.0,0.143,5.543,1.531,0.37,0.053,68.98
2020-07-19,0.0,4.143,0.0,0.143,0.0,1.531,0.0,0.053,68.98
2020-07-20,19.0,6.857,0.0,0.143,7.021,2.534,0.0,0.053,68.98
2020-07-21,0.0,6.857,0.0,0.143,0.0,2.534,0.0,0.053,68.98
2020-07-22,34.0,11.714,1.0,0.286,12.565,4.329,0.37,0.106,41.2
2020-07-23,24.0,13.143,0.0,0.286,8.869,4.857,0.0,0.106,41.2
2020-07-24,46.0,19.714,1.0,0.429,16.999,7.285,0.37,0.158,41.2
2020-07-25,61.0,26.286,0.0,0.286,22.543,9.714,0.0,0.106,41.2
2020-07-26,0.0,26.286,0.0,0.286,0.0,9.714,0.0,0.106,41.2
2020-07-27,49.0,30.571,2.0,0.571,18.108,11.298,0.739,0.211,41.2
2020-07-28,0.0,30.571,0.0,0.571,0.0,11.298,0.0,0.211,41.2
2020-07-29,0.0,25.714,0.0,0.429,0.0,9.503,0.0,0.158,41.2
2020-07-30,77.0,33.286,0.0,0.429,28.455,12.301,0.0,0.158,41.2
2020-07-31,95.0,40.286,1.0,0.429,35.107,14.888,0.37,0.158,41.2
2020-08-01,0.0,31.571,0.0,0.429,0.0,11.667,0.0,0.158,41.2
2020-08-02,0.0,31.571,0.0,0.429,0.0,11.667,0.0,0.158,41.2
2020-08-03,0.0,24.571,0.0,0.143,0.0,9.08,0.0,0.053,41.2
2020-08-04,173.0,49.286,5.0,0.857,63.932,18.214,1.848,0.317,41.2
2020-08-05,128.0,67.571,2.0,1.143,47.302,24.971,0.739,0.422,41.2
2020-08-06,136.0,76.0,0.0,1.143,50.259,28.086,0.0,0.422,83.33
2020-08-07,155.0,84.571,3.0,1.429,57.28,31.253,1.109,0.528,83.33
2020-08-08,0.0,84.571,0.0,1.429,0.0,31.253,0.0,0.528,83.33
2020-08-09,145.0,105.286,4.0,2.0,53.585,38.908,1.478,0.739,83.33
2020-08-10,0.0,105.286,0.0,2.0,0.0,38.908,0.0,0.739,83.33
2020-08-11,111.0,96.429,9.0,2.571,41.02,35.635,3.326,0.95,83.33
2020-08-12,131.0,96.857,1.0,2.429,48.411,35.794,0.37,0.897,83.33
2020-08-13,79.0,88.714,10.0,3.857,29.194,32.784,3.695,1.425,83.33
2020-08-14,67.0,76.143,7.0,4.429,24.76,28.139,2.587,1.637,77.78
2020-08-15,66.0,85.571,4.0,5.0,24.39,31.623,1.478,1.848,77.78
2020-08-16,183.0,91.0,9.0,5.714,67.628,33.629,3.326,2.112,77.78
2020-08-17,0.0,91.0,0.0,5.714,0.0,33.629,0.0,2.112,77.78
2020-08-18,244.0,110.0,0.0,4.429,90.17,40.65,0.0,1.637,77.78
2020-08-19,172.0,115.857,14.0,6.286,63.563,42.815,5.174,2.323,77.78
2020-08-20,113.0,120.714,4.0,5.429,41.759,44.61,1.478,2.006,77.78
