time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-26,1.0,,,,0.267,,,,19.44
2020-02-27,0.0,,,,0.0,,,,19.44
2020-02-28,0.0,,,,0.0,,,,19.44
2020-02-29,0.0,,,,0.0,,,,19.44
2020-03-01,2.0,,,,0.534,,,,30.56
2020-03-02,0.0,0.429,,,0.0,0.114,,,41.67
2020-03-03,0.0,0.429,,,0.0,0.114,,,41.67
2020-03-04,0.0,0.286,,,0.0,0.076,,,41.67
2020-03-05,1.0,0.429,,,0.267,0.114,,,41.67
2020-03-06,0.0,0.429,,,0.0,0.114,,,41.67
2020-03-07,0.0,0.429,,,0.0,0.114,,,41.67
2020-03-08,9.0,1.429,,,2.404,0.382,,,41.67
2020-03-09,2.0,1.714,,,0.534,0.458,,,45.37
2020-03-10,0.0,1.714,,,0.0,0.458,,,45.37
2020-03-11,9.0,3.0,,,2.404,0.801,,,45.37
2020-03-12,0.0,2.857,,,0.0,0.763,,,45.37
2020-03-13,1.0,3.0,,,0.267,0.801,,,45.37
2020-03-14,5.0,3.714,,,1.335,0.992,,,52.78
2020-03-15,3.0,2.857,,,0.801,0.763,,,52.78
2020-03-16,0.0,2.571,,,0.0,0.687,,,52.78
2020-03-17,1.0,2.714,,,0.267,0.725,,,52.78
2020-03-18,4.0,2.0,,,1.068,0.534,,,55.56
2020-03-19,2.0,2.286,,,0.534,0.61,,,59.26
2020-03-20,3.0,2.571,,,0.801,0.687,,,59.26
2020-03-21,6.0,2.714,,,1.602,0.725,,,70.37
2020-03-22,5.0,3.0,,,1.335,0.801,,,78.7
2020-03-23,7.0,4.0,,,1.869,1.068,,,88.89
2020-03-24,9.0,5.143,,,2.404,1.373,,,88.89
2020-03-25,5.0,5.286,,,1.335,1.412,,,88.89
2020-03-26,4.0,5.571,,,1.068,1.488,,,90.74
2020-03-27,4.0,5.714,,,1.068,1.526,,,90.74
2020-03-28,7.0,5.857,,,1.869,1.564,,,90.74
2020-03-29,1.0,5.286,,,0.267,1.412,,,90.74
2020-03-30,12.0,6.0,,,3.205,1.602,,,90.74
2020-03-31,7.0,5.714,,,1.869,1.526,,,100.0
2020-04-01,7.0,6.0,,,1.869,1.602,,,100.0
2020-04-02,17.0,7.857,,,4.54,2.098,,,100.0
2020-04-03,21.0,10.286,,,5.608,2.747,,,100.0
2020-04-04,7.0,10.286,1.0,,1.869,2.747,0.267,,100.0
2020-04-05,12.0,11.857,1.0,,3.205,3.167,0.267,,100.0
2020-04-06,14.0,12.143,0.0,,3.739,3.243,0.0,,100.0
2020-04-07,8.0,12.286,1.0,,2.137,3.281,0.267,,100.0
2020-04-08,15.0,13.429,0.0,,4.006,3.586,0.0,,100.0
2020-04-09,7.0,12.0,0.0,0.429,1.869,3.205,0.0,0.114,100.0
2020-04-10,16.0,11.286,0.0,0.429,4.273,3.014,0.0,0.114,100.0
2020-04-11,8.0,11.429,0.0,0.286,2.137,3.052,0.0,0.076,100.0
2020-04-12,15.0,11.857,0.0,0.143,4.006,3.167,0.0,0.038,100.0
2020-04-13,15.0,12.0,0.0,0.143,4.006,3.205,0.0,0.038,100.0
2020-04-14,28.0,14.857,0.0,0.0,7.478,3.968,0.0,0.0,100.0
2020-04-15,6.0,13.571,0.0,0.0,1.602,3.624,0.0,0.0,100.0
2020-04-16,42.0,18.571,0.0,0.0,11.217,4.96,0.0,0.0,100.0
2020-04-17,22.0,19.429,0.0,0.0,5.875,5.189,0.0,0.0,100.0
2020-04-18,18.0,20.857,1.0,0.143,4.807,5.57,0.267,0.038,100.0
2020-04-19,6.0,19.571,0.0,0.143,1.602,5.227,0.0,0.038,100.0
2020-04-20,8.0,18.571,0.0,0.143,2.137,4.96,0.0,0.038,100.0
2020-04-21,6.0,15.429,0.0,0.143,1.602,4.12,0.0,0.038,100.0
2020-04-22,8.0,15.714,1.0,0.286,2.137,4.197,0.267,0.076,100.0
2020-04-23,9.0,11.0,0.0,0.286,2.404,2.938,0.0,0.076,100.0
2020-04-24,19.0,10.571,0.0,0.286,5.074,2.823,0.0,0.076,100.0
2020-04-25,12.0,9.714,0.0,0.143,3.205,2.594,0.0,0.038,100.0
2020-04-26,30.0,13.143,1.0,0.286,8.012,3.51,0.267,0.076,100.0
2020-04-27,11.0,13.571,0.0,0.286,2.938,3.624,0.0,0.076,96.3
2020-04-28,14.0,14.714,0.0,0.286,3.739,3.93,0.0,0.076,96.3
2020-04-29,6.0,14.429,0.0,0.143,1.602,3.853,0.0,0.038,96.3
2020-04-30,22.0,16.286,0.0,0.143,5.875,4.349,0.0,0.038,96.3
2020-05-01,27.0,17.429,1.0,0.286,7.211,4.655,0.267,0.076,96.3
2020-05-02,16.0,18.0,1.0,0.429,4.273,4.807,0.267,0.114,96.3
2020-05-03,7.0,14.714,1.0,0.429,1.869,3.93,0.267,0.114,96.3
2020-05-04,4.0,13.714,0.0,0.429,1.068,3.663,0.0,0.114,96.3
2020-05-05,11.0,13.286,0.0,0.429,2.938,3.548,0.0,0.114,96.3
2020-05-06,6.0,13.286,0.0,0.429,1.602,3.548,0.0,0.114,96.3
2020-05-07,5.0,10.857,0.0,0.429,1.335,2.9,0.0,0.114,96.3
2020-05-08,8.0,8.143,1.0,0.429,2.137,2.175,0.267,0.114,96.3
2020-05-09,3.0,6.286,0.0,0.286,0.801,1.679,0.0,0.076,96.3
2020-05-10,9.0,6.571,0.0,0.143,2.404,1.755,0.0,0.038,96.3
2020-05-11,3.0,6.429,1.0,0.286,0.801,1.717,0.267,0.076,96.3
2020-05-12,4.0,5.429,0.0,0.286,1.068,1.45,0.0,0.076,96.3
2020-05-13,5.0,5.286,0.0,0.286,1.335,1.412,0.0,0.076,96.3
2020-05-14,20.0,7.429,1.0,0.429,5.341,1.984,0.267,0.114,96.3
2020-05-15,4.0,6.857,0.0,0.286,1.068,1.831,0.0,0.076,96.3
2020-05-16,12.0,8.143,0.0,0.286,3.205,2.175,0.0,0.076,96.3
2020-05-17,12.0,8.571,0.0,0.286,3.205,2.289,0.0,0.076,96.3
2020-05-18,6.0,9.0,0.0,0.143,1.602,2.404,0.0,0.038,96.3
2020-05-19,6.0,9.286,0.0,0.143,1.602,2.48,0.0,0.038,96.3
2020-05-20,6.0,9.429,0.0,0.143,1.602,2.518,0.0,0.038,96.3
2020-05-21,8.0,7.714,0.0,0.0,2.137,2.06,0.0,0.0,96.3
2020-05-22,2.0,7.429,0.0,0.0,0.534,1.984,0.0,0.0,96.3
2020-05-23,5.0,6.429,0.0,0.0,1.335,1.717,0.0,0.0,84.26
2020-05-24,2.0,5.0,0.0,0.0,0.534,1.335,0.0,0.0,84.26
2020-05-25,1.0,4.286,0.0,0.0,0.267,1.145,0.0,0.0,84.26
2020-05-26,1.0,3.571,0.0,0.0,0.267,0.954,0.0,0.0,84.26
2020-05-27,3.0,3.143,0.0,0.0,0.801,0.839,0.0,0.0,84.26
2020-05-28,3.0,2.429,0.0,0.0,0.801,0.649,0.0,0.0,84.26
2020-05-29,8.0,3.286,0.0,0.0,2.137,0.878,0.0,0.0,69.44
2020-05-30,11.0,4.143,0.0,0.0,2.938,1.106,0.0,0.0,69.44
2020-05-31,26.0,7.571,0.0,0.0,6.944,2.022,0.0,0.0,69.44
2020-06-01,11.0,9.0,0.0,0.0,2.938,2.404,0.0,0.0,69.44
2020-06-02,2.0,9.143,1.0,0.143,0.534,2.442,0.267,0.038,69.44
