time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-27,1.0,,,,0.012,,,,5.56
2020-01-28,3.0,,,,0.036,,,,5.56
2020-01-29,0.0,,,,0.0,,,,5.56
2020-01-30,0.0,,,,0.0,,,,5.56
2020-01-31,1.0,,,,0.012,,,,5.56
2020-02-01,3.0,1.143,,,0.036,0.014,,,5.56
2020-02-02,2.0,1.429,,,0.024,0.017,,,5.56
2020-02-03,2.0,1.571,,,0.024,0.019,,,5.56
2020-02-04,0.0,1.143,,,0.0,0.014,,,5.56
2020-02-05,0.0,1.143,,,0.0,0.014,,,5.56
2020-02-06,0.0,1.143,,,0.0,0.014,,,5.56
2020-02-07,1.0,1.143,,,0.012,0.014,,,5.56
2020-02-08,0.0,0.714,,,0.0,0.009,,,5.56
2020-02-09,1.0,0.571,,,0.012,0.007,,,5.56
2020-02-10,0.0,0.286,,,0.0,0.003,,,5.56
2020-02-11,2.0,0.571,,,0.024,0.007,,,5.56
2020-02-12,0.0,0.571,,,0.0,0.007,,,11.11
2020-02-13,0.0,0.571,,,0.0,0.007,,,11.11
2020-02-14,0.0,0.429,,,0.0,0.005,,,11.11
2020-02-15,0.0,0.429,,,0.0,0.005,,,11.11
2020-02-16,0.0,0.286,,,0.0,0.003,,,11.11
2020-02-17,0.0,0.286,,,0.0,0.003,,,11.11
2020-02-18,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-19,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-20,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-21,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-22,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-23,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-24,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-25,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-26,5.0,0.714,,,0.06,0.009,,,16.67
2020-02-27,5.0,1.429,,,0.06,0.017,,,16.67
2020-02-28,27.0,5.286,,,0.324,0.063,,,19.44
2020-02-29,13.0,7.143,,,0.156,0.086,,,25.0
2020-03-01,51.0,14.429,,,0.612,0.173,,,25.0
2020-03-02,33.0,19.143,,,0.396,0.23,,,25.0
2020-03-03,38.0,24.571,,,0.456,0.295,,,25.0
2020-03-04,52.0,31.286,,,0.624,0.375,,,25.0
2020-03-05,109.0,46.143,,,1.307,0.553,,,25.0
2020-03-06,185.0,68.714,,,2.219,0.824,,,25.0
2020-03-07,150.0,88.286,,,1.799,1.059,,,25.0
2020-03-08,163.0,104.286,,,1.955,1.251,,,25.0
2020-03-09,265.0,137.429,2.0,,3.179,1.648,0.024,,28.7
2020-03-10,184.0,158.286,0.0,,2.207,1.899,0.0,,32.87
2020-03-11,271.0,189.571,1.0,,3.251,2.274,0.012,,32.87
2020-03-12,802.0,288.571,2.0,,9.62,3.461,0.024,,32.87
2020-03-13,693.0,361.143,0.0,,8.312,4.332,0.0,,32.87
2020-03-14,733.0,444.429,3.0,1.143,8.792,5.331,0.036,0.014,32.87
2020-03-15,1043.0,570.143,4.0,1.714,12.511,6.839,0.048,0.021,32.87
2020-03-16,1174.0,700.0,0.0,1.429,14.082,8.396,0.0,0.017,42.13
2020-03-17,1144.0,837.143,0.0,1.429,13.722,10.041,0.0,0.017,42.13
2020-03-18,1042.0,947.286,0.0,1.286,12.499,11.362,0.0,0.015,52.31
2020-03-19,2801.0,1232.857,8.0,2.143,33.597,14.788,0.096,0.026,55.09
2020-03-20,2958.0,1556.429,11.0,3.714,35.48,18.669,0.132,0.045,57.87
2020-03-21,2705.0,1838.143,16.0,5.571,32.446,22.048,0.192,0.067,68.06
2020-03-22,1948.0,1967.429,8.0,6.143,23.366,23.599,0.096,0.074,76.85
2020-03-23,4062.0,2380.0,31.0,10.571,48.723,28.547,0.372,0.127,76.85
2020-03-24,4764.0,2897.143,28.0,14.571,57.143,34.75,0.336,0.175,76.85
2020-03-25,4118.0,3336.571,35.0,19.571,49.394,40.021,0.42,0.235,76.85
2020-03-26,4954.0,3644.143,49.0,25.429,59.422,43.711,0.588,0.305,76.85
2020-03-27,5780.0,4047.286,55.0,31.714,69.33,48.546,0.66,0.38,76.85
2020-03-28,6294.0,4560.0,72.0,39.714,75.495,54.696,0.864,0.476,76.85
2020-03-29,3965.0,4848.143,64.0,47.714,47.559,58.152,0.768,0.572,76.85
2020-03-30,4751.0,4946.571,66.0,52.714,56.987,59.333,0.792,0.632,76.85
2020-03-31,4615.0,4925.286,128.0,67.0,55.356,59.078,1.535,0.804,76.85
2020-04-01,5453.0,5116.0,149.0,83.286,65.407,61.365,1.787,0.999,76.85
2020-04-02,6156.0,5287.714,140.0,96.286,73.84,63.425,1.679,1.155,76.85
2020-04-03,6174.0,5344.0,145.0,109.143,74.056,64.1,1.739,1.309,76.85
2020-04-04,6082.0,5313.714,141.0,119.0,72.952,63.737,1.691,1.427,76.85
2020-04-05,5936.0,5595.286,184.0,136.143,71.201,67.114,2.207,1.633,76.85
2020-04-06,3677.0,5441.857,92.0,139.857,44.105,65.274,1.104,1.678,76.85
2020-04-07,3834.0,5330.286,173.0,146.286,45.988,63.935,2.075,1.755,76.85
2020-04-08,4003.0,5123.143,254.0,161.286,48.015,61.451,3.047,1.935,76.85
2020-04-09,4974.0,4954.286,246.0,176.429,59.662,59.425,2.951,2.116,76.85
2020-04-10,5323.0,4832.714,266.0,193.714,63.848,57.967,3.191,2.324,76.85
2020-04-11,4133.0,4554.286,171.0,198.0,49.574,54.627,2.051,2.375,76.85
2020-04-12,2821.0,4109.286,129.0,190.143,33.837,49.29,1.547,2.281,76.85
2020-04-13,2537.0,3946.429,126.0,195.0,30.431,47.336,1.511,2.339,76.85
2020-04-14,2082.0,3696.143,170.0,194.571,24.973,44.334,2.039,2.334,76.85
2020-04-15,2486.0,3479.429,285.0,199.0,29.819,41.735,3.419,2.387,76.85
2020-04-16,2866.0,3178.286,315.0,208.857,34.377,38.123,3.778,2.505,76.85
2020-04-17,3380.0,2900.714,299.0,213.571,40.542,34.793,3.586,2.562,76.85
2020-04-18,3609.0,2825.857,242.0,223.714,43.289,33.895,2.903,2.683,76.85
2020-04-19,2458.0,2774.0,184.0,231.571,29.483,33.273,2.207,2.778,76.85
2020-04-20,1775.0,2665.143,110.0,229.286,21.291,31.968,1.319,2.75,76.85
2020-04-21,1785.0,2622.714,194.0,232.714,21.411,31.459,2.327,2.791,76.85
2020-04-22,2237.0,2587.143,281.0,232.143,26.832,31.032,3.371,2.784,76.85
2020-04-23,2352.0,2513.714,215.0,217.857,28.212,30.151,2.579,2.613,76.85
2020-04-24,2337.0,2364.714,227.0,207.571,28.032,28.364,2.723,2.49,76.85
2020-04-25,2055.0,2142.714,179.0,198.571,24.649,25.701,2.147,2.382,76.85
