male,female,total
211.175,198.284,409.459
243.575,228.093,471.668
279.401,262.836,542.237
269.364,257.254,526.618
270.45,258.966,529.416
276.779,251.021,527.8
310.198,287.614,597.812
376.988,361.715,738.703
396.607,383.856,780.463
397.116,396.83,793.946
392.909,403.434,796.343
342.686,366.665,709.351
320.081,356.447,676.528
268.709,311.925,580.634
252.669,296.795,549.464
183.083,223.536,406.619
164.914,229.478,394.392
105.159,155.597,260.756
43.491,61.478,104.969
9.374,13.823,23.197
1.098,1.583,2.681
