time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-25,2.0,,,,0.95,,,,
2020-03-26,0.0,,,,0.0,,,,
2020-03-27,0.0,,,,0.0,,,,
2020-03-28,0.0,,,,0.0,,,,
2020-03-29,0.0,,,,0.0,,,,
2020-03-30,6.0,1.143,,,2.85,0.543,,,
2020-03-31,0.0,1.143,,,0.0,0.543,,,
2020-04-01,1.0,1.0,,,0.475,0.475,,,
2020-04-02,0.0,1.0,,,0.0,0.475,,,
2020-04-03,6.0,1.857,,,2.85,0.882,,,
2020-04-04,3.0,2.286,,,1.425,1.086,,,
2020-04-05,0.0,2.286,,,0.0,1.086,,,
2020-04-06,0.0,1.429,,,0.0,0.678,,,
2020-04-07,15.0,3.571,,,7.124,1.696,,,
2020-04-08,0.0,3.429,,,0.0,1.628,,,
2020-04-09,3.0,3.857,,,1.425,1.832,,,
2020-04-10,0.0,3.0,,,0.0,1.425,,,
2020-04-11,2.0,2.857,,,0.95,1.357,,,
2020-04-12,0.0,2.857,,,0.0,1.357,,,
2020-04-13,0.0,2.857,,,0.0,1.357,,,
2020-04-14,0.0,0.714,,,0.0,0.339,,,
2020-04-15,5.0,1.429,,,2.375,0.678,,,
2020-04-16,0.0,1.0,,,0.0,0.475,,,
2020-04-17,0.0,1.0,,,0.0,0.475,,,
2020-04-18,3.0,1.143,,,1.425,0.543,,,
2020-04-19,4.0,1.714,,,1.9,0.814,,,
2020-04-20,0.0,1.714,,,0.0,0.814,,,
2020-04-21,0.0,1.714,,,0.0,0.814,,,
2020-04-22,0.0,1.0,,,0.0,0.475,,,
2020-04-23,0.0,1.0,,,0.0,0.475,,,
2020-04-24,2.0,1.286,,,0.95,0.611,,,
2020-04-25,0.0,0.857,,,0.0,0.407,,,
2020-04-26,1.0,0.429,1.0,,0.475,0.204,0.475,,
2020-04-27,20.0,3.286,0.0,,9.499,1.56,0.0,,
2020-04-28,0.0,3.286,0.0,,0.0,1.56,0.0,,
2020-04-29,132.0,22.143,0.0,,62.691,10.516,0.0,,
2020-04-30,0.0,22.143,0.0,,0.0,10.516,0.0,,
2020-05-01,52.0,29.286,0.0,0.143,24.696,13.909,0.0,0.068,
2020-05-02,0.0,29.286,0.0,0.143,0.0,13.909,0.0,0.068,
