time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-30,1.0,,,,0.001,,,,10.19
2020-01-31,0.0,,,,0.0,,,,10.19
2020-02-01,0.0,,,,0.0,,,,10.19
2020-02-02,1.0,,,,0.001,,,,10.19
2020-02-03,1.0,,,,0.001,,,,10.19
2020-02-04,0.0,0.429,,,0.0,0.0,,,10.19
2020-02-05,0.0,0.429,,,0.0,0.0,,,10.19
2020-02-06,0.0,0.286,,,0.0,0.0,,,10.19
2020-02-07,0.0,0.286,,,0.0,0.0,,,10.19
2020-02-08,0.0,0.286,,,0.0,0.0,,,10.19
2020-02-09,0.0,0.143,,,0.0,0.0,,,10.19
2020-02-10,0.0,0.0,,,0.0,0.0,,,10.19
2020-02-11,0.0,0.0,,,0.0,0.0,,,10.19
2020-02-12,0.0,0.0,,,0.0,0.0,,,10.19
2020-02-13,0.0,0.0,,,0.0,0.0,,,10.19
2020-02-14,0.0,0.0,,,0.0,0.0,,,10.19
2020-02-15,0.0,0.0,,,0.0,0.0,,,10.19
2020-02-16,0.0,0.0,,,0.0,0.0,,,10.19
2020-02-17,0.0,0.0,,,0.0,0.0,,,10.19
2020-02-18,0.0,0.0,,,0.0,0.0,,,10.19
2020-02-19,0.0,0.0,,,0.0,0.0,,,10.19
2020-02-20,0.0,0.0,,,0.0,0.0,,,10.19
2020-02-21,0.0,0.0,,,0.0,0.0,,,10.19
2020-02-22,0.0,0.0,,,0.0,0.0,,,10.19
2020-02-23,0.0,0.0,,,0.0,0.0,,,10.19
2020-02-24,0.0,0.0,,,0.0,0.0,,,10.19
2020-02-25,0.0,0.0,,,0.0,0.0,,,10.19
2020-02-26,0.0,0.0,,,0.0,0.0,,,10.19
2020-02-27,0.0,0.0,,,0.0,0.0,,,10.19
2020-02-28,0.0,0.0,,,0.0,0.0,,,10.19
2020-02-29,0.0,0.0,,,0.0,0.0,,,10.19
2020-03-01,0.0,0.0,,,0.0,0.0,,,10.19
2020-03-02,2.0,0.286,,,0.001,0.0,,,10.19
2020-03-03,0.0,0.286,,,0.0,0.0,,,10.19
2020-03-04,23.0,3.571,,,0.016,0.003,,,10.19
2020-03-05,2.0,3.857,,,0.001,0.003,,,26.85
2020-03-06,1.0,4.0,,,0.001,0.003,,,26.85
2020-03-07,3.0,4.429,,,0.002,0.003,,,26.85
2020-03-08,5.0,5.143,,,0.004,0.004,,,26.85
2020-03-09,4.0,5.429,,,0.003,0.004,,,26.85
2020-03-10,13.0,7.286,,,0.009,0.005,,,26.85
2020-03-11,6.0,4.857,1.0,,0.004,0.003,0.001,,26.85
2020-03-12,11.0,6.143,0.0,,0.008,0.004,0.0,,26.85
2020-03-13,9.0,7.286,1.0,,0.006,0.005,0.001,,41.67
2020-03-14,20.0,9.714,0.0,,0.014,0.007,0.0,,41.67
2020-03-15,11.0,10.571,0.0,,0.008,0.007,0.0,,44.44
2020-03-16,6.0,10.857,0.0,0.286,0.004,0.008,0.0,0.0,44.44
2020-03-17,23.0,12.286,1.0,0.429,0.016,0.009,0.001,0.0,44.44
2020-03-18,14.0,13.429,0.0,0.286,0.01,0.009,0.0,0.0,44.44
2020-03-19,38.0,17.286,1.0,0.429,0.027,0.012,0.001,0.0,44.44
2020-03-20,50.0,23.143,1.0,0.429,0.035,0.016,0.001,0.0,44.44
2020-03-21,86.0,32.571,,,0.061,0.023,,,44.44
2020-03-22,66.0,40.429,3.0,0.857,0.047,0.029,0.002,0.001,100.0
2020-03-23,103.0,54.286,3.0,1.286,0.073,0.038,0.002,0.001,86.57
2020-03-24,37.0,56.286,0.0,1.143,0.026,0.04,0.0,0.001,86.57
2020-03-25,121.0,71.571,2.0,1.429,0.085,0.051,0.001,0.001,100.0
2020-03-26,70.0,76.143,8.0,2.429,0.049,0.054,0.006,0.002,100.0
2020-03-27,160.0,91.857,0.0,2.286,0.113,0.065,0.0,0.002,100.0
2020-03-28,100.0,93.857,4.0,2.857,0.071,0.066,0.003,0.002,100.0
2020-03-29,37.0,89.714,3.0,2.857,0.026,0.063,0.002,0.002,100.0
2020-03-30,227.0,107.429,5.0,3.143,0.16,0.076,0.004,0.002,100.0
2020-03-31,146.0,123.0,3.0,3.571,0.103,0.087,0.002,0.003,100.0
2020-04-01,601.0,191.571,23.0,6.571,0.424,0.135,0.016,0.005,100.0
2020-04-02,545.0,259.429,14.0,7.429,0.385,0.183,0.01,0.005,100.0
2020-04-03,24.0,240.0,0.0,7.429,0.017,0.169,0.0,0.005,100.0
2020-04-04,515.0,299.286,14.0,8.857,0.363,0.211,0.01,0.006,100.0
