male,female,total
61228.414,55651.093,116879.507
61877.169,56104.958,117982.127
66302.628,59853.324,126155.952
66670.855,59374.711,126045.566
64865.811,57638.993,122504.804
62039.339,55357.93,117397.269
58874.888,53301.21,112176.098
53993.918,49466.26,103460.178
46631.243,43588.651,90219.894
40756.605,38683.675,79440.28
35202.663,33673.299,68875.962
30150.272,29105.996,59256.268
24694.672,24195.856,48890.528
19168.129,19092.154,38260.283
11627.908,12463.535,24091.443
7062.999,8020.956,15083.955
3831.463,4657.548,8489.011
1575.584,1955.555,3531.139
437.188,555.797,992.985
91.981,131.216,223.197
17.241,30.698,47.939
