time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-22,,,,,,,,,2.78
2020-01-23,0.0,,,,0.0,,,,2.78
2020-01-24,0.0,,,,0.0,,,,2.78
2020-01-25,0.0,,,,0.0,,,,2.78
2020-01-26,2.0,,,,0.016,,,,2.78
2020-01-27,0.0,,,,0.0,,,,2.78
2020-01-28,3.0,0.714,,,0.024,0.006,,,2.78
2020-01-29,0.0,0.714,,,0.0,0.006,,,2.78
2020-01-30,4.0,1.286,,,0.032,0.01,,,2.78
2020-01-31,4.0,1.857,,,0.032,0.015,,,2.78
2020-02-01,5.0,2.571,,,0.04,0.021,,,8.33
2020-02-02,0.0,2.286,,,0.0,0.018,,,8.33
2020-02-03,0.0,2.286,,,0.0,0.018,,,8.33
2020-02-04,2.0,2.143,,,0.016,0.017,,,19.44
2020-02-05,1.0,2.286,,,0.008,0.018,,,19.44
2020-02-06,0.0,1.714,,,0.0,0.014,,,19.44
2020-02-07,0.0,1.143,,,0.0,0.009,,,19.44
2020-02-08,1.0,0.571,,,0.008,0.005,,,19.44
2020-02-09,0.0,0.571,,,0.0,0.005,,,19.44
2020-02-10,2.0,0.857,,,0.016,0.007,,,19.44
2020-02-11,1.0,0.714,,,0.008,0.006,,,19.44
2020-02-12,1.0,0.714,,,0.008,0.006,,,19.44
2020-02-13,5.0,1.429,1.0,,0.04,0.012,0.008,,19.44
2020-02-14,10.0,2.857,0.0,,0.081,0.023,0.0,,19.44
2020-02-15,11.0,4.286,0.0,,0.089,0.035,0.0,,19.44
2020-02-16,6.0,5.143,0.0,,0.048,0.041,0.0,,19.44
2020-02-17,7.0,5.857,0.0,,0.056,0.047,0.0,,19.44
2020-02-18,12.0,7.429,1.0,0.286,0.097,0.06,0.008,0.002,19.44
2020-02-19,6.0,8.143,0.0,0.286,0.048,0.066,0.0,0.002,19.44
2020-02-20,10.0,8.857,0.0,0.143,0.081,0.071,0.0,0.001,25.0
2020-02-21,17.0,9.857,0.0,0.143,0.137,0.08,0.0,0.001,25.0
