male,female,total
990.433,929.751,1920.184
1001.296,946.53,1947.826
825.24,779.067,1604.307
572.044,544.572,1116.616
563.709,536.337,1100.046
740.054,733.092,1473.146
815.061,842.509,1657.57
666.207,669.718,1335.925
581.18,602.521,1183.701
533.919,568.801,1102.72
458.683,518.997,977.68
485.272,576.489,1061.761
353.476,457.862,811.338
247.842,379.729,627.571
118.757,201.225,319.982
73.998,158.525,232.523
63.831,151.792,215.623
16.87,45.241,62.111
4.742,18.042,22.784
0.308,2.761,3.069
0.017,0.207,0.224
