time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2021-05-18,1.0,,,,7.62,,,,22.22
2021-05-19,0.0,,,,0.0,,,,22.22
2021-05-20,0.0,,,,0.0,,,,56.94
2021-05-21,1.0,,,,7.62,,,,56.94
2021-05-22,0.0,,,,0.0,,,,56.94
2021-05-23,0.0,0.286,,,0.0,2.177,,,56.94
2021-05-24,0.0,0.286,,,0.0,2.177,,,56.94
2021-05-25,0.0,0.143,,,0.0,1.089,,,56.94
2021-05-26,0.0,0.143,,,0.0,1.089,,,56.94
2021-05-27,0.0,0.143,,,0.0,1.089,,,56.94
2021-05-28,0.0,0.0,,,0.0,0.0,,,56.94
2021-05-29,0.0,0.0,,,0.0,0.0,,,56.94
2021-05-30,0.0,0.0,,,0.0,0.0,,,56.94
2021-05-31,0.0,0.0,,,0.0,0.0,,,56.94
2021-06-01,0.0,0.0,,,0.0,0.0,,,27.78
2021-06-02,0.0,0.0,,,0.0,0.0,,,27.78
2021-06-03,0.0,0.0,,,0.0,0.0,,,27.78
2021-06-04,0.0,0.0,,,0.0,0.0,,,27.78
2021-06-05,0.0,0.0,,,0.0,0.0,,,27.78
2021-06-06,0.0,0.0,,,0.0,0.0,,,27.78
2021-06-07,0.0,0.0,,,0.0,0.0,,,22.22
2021-06-08,0.0,0.0,,,0.0,0.0,,,22.22
2021-06-09,0.0,0.0,,,0.0,0.0,,,22.22
2021-06-10,0.0,0.0,,,0.0,0.0,,,22.22
2021-06-11,0.0,0.0,,,0.0,0.0,,,22.22
2021-06-12,0.0,0.0,,,0.0,0.0,,,22.22
2021-06-13,0.0,0.0,,,0.0,0.0,,,22.22
2021-06-14,0.0,0.0,,,0.0,0.0,,,22.22
2021-06-15,0.0,0.0,,,0.0,0.0,,,22.22
2021-06-16,0.0,0.0,,,0.0,0.0,,,22.22
2021-06-17,0.0,0.0,,,0.0,0.0,,,22.22
2021-06-18,0.0,0.0,,,0.0,0.0,,,22.22
2021-06-19,0.0,0.0,,,0.0,0.0,,,22.22
2021-06-20,0.0,0.0,,,0.0,0.0,,,22.22
2021-06-21,0.0,0.0,,,0.0,0.0,,,22.22
2021-06-22,0.0,0.0,,,0.0,0.0,,,22.22
2021-06-23,0.0,0.0,,,0.0,0.0,,,22.22
2021-06-24,0.0,0.0,,,0.0,0.0,,,22.22
2021-06-25,0.0,0.0,,,0.0,0.0,,,22.22
