time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-24,1.0,,,,0.234,,,,13.89
2020-02-25,10.0,,,,2.343,,,,13.89
2020-02-26,15.0,,,,3.514,,,,13.89
2020-02-27,17.0,,,,3.982,,,,13.89
2020-02-28,2.0,,,,0.469,,,,13.89
2020-02-29,0.0,6.429,,,0.0,1.506,,,13.89
2020-03-01,0.0,6.429,,,0.0,1.506,,,27.78
2020-03-02,11.0,7.857,,,2.577,1.841,,,27.78
2020-03-03,0.0,6.429,,,0.0,1.506,,,27.78
2020-03-04,0.0,4.286,,,0.0,1.004,,,27.78
2020-03-05,2.0,2.143,,,0.469,0.502,,,27.78
2020-03-06,0.0,1.857,,,0.0,0.435,,,27.78
2020-03-07,3.0,2.286,,,0.703,0.535,,,36.11
2020-03-08,3.0,2.714,,,0.703,0.636,,,36.11
2020-03-09,0.0,1.143,,,0.0,0.268,,,36.11
2020-03-10,5.0,1.857,,,1.171,0.435,,,41.67
2020-03-11,3.0,2.286,,,0.703,0.535,,,60.19
2020-03-12,8.0,3.143,,,1.874,0.736,,,71.3
2020-03-13,0.0,3.143,,,0.0,0.736,,,74.07
2020-03-14,24.0,6.143,,,5.622,1.439,,,74.07
2020-03-15,8.0,6.857,,,1.874,1.606,,,74.07
2020-03-16,11.0,8.429,,,2.577,1.974,,,74.07
2020-03-17,7.0,8.714,,,1.64,2.041,,,74.07
2020-03-18,12.0,10.0,,,2.811,2.343,,,74.07
2020-03-19,6.0,9.714,,,1.406,2.276,,,74.07
2020-03-20,11.0,11.286,,,2.577,2.644,,,74.07
2020-03-21,17.0,10.286,,,3.982,2.409,,,74.07
2020-03-22,12.0,10.857,,,2.811,2.543,,,81.48
2020-03-23,1.0,9.429,,,0.234,2.209,,,81.48
2020-03-24,2.0,8.714,,,0.469,2.041,,,81.48
2020-03-25,4.0,7.571,,,0.937,1.774,,,81.48
2020-03-26,13.0,8.571,,,3.045,2.008,,,81.48
2020-03-27,17.0,9.429,,,3.982,2.209,,,81.48
2020-03-28,10.0,8.429,,,2.343,1.974,,,81.48
2020-03-29,20.0,9.571,,,4.685,2.242,,,81.48
2020-03-30,11.0,11.0,,,2.577,2.577,,,81.48
2020-03-31,23.0,14.0,,,5.388,3.28,,,81.48
2020-04-01,28.0,17.429,,,6.559,4.083,,,81.48
2020-04-02,25.0,19.143,,,5.856,4.484,,,81.48
2020-04-03,75.0,27.429,,,17.569,6.425,,,81.48
2020-04-04,62.0,34.857,1.0,,14.524,8.165,0.234,,81.48
2020-04-05,77.0,43.0,0.0,,18.037,10.073,0.0,,81.48
2020-04-06,109.0,57.0,0.0,,25.534,13.352,0.0,,93.52
2020-04-07,78.0,64.857,0.0,,18.272,15.193,0.0,,93.52
2020-04-08,112.0,76.857,0.0,,26.236,18.004,0.0,,93.52
2020-04-09,55.0,81.143,0.0,0.143,12.884,19.008,0.0,0.033,93.52
2020-04-10,83.0,82.286,0.0,0.143,19.443,19.276,0.0,0.033,93.52
2020-04-11,161.0,96.429,0.0,0.0,37.715,22.589,0.0,0.0,93.52
2020-04-12,80.0,96.857,0.0,0.0,18.74,22.689,0.0,0.0,93.52
2020-04-13,66.0,90.714,1.0,0.143,15.461,21.25,0.234,0.033,93.52
2020-04-14,55.0,87.429,1.0,0.286,12.884,20.48,0.234,0.067,93.52
2020-04-15,50.0,78.571,0.0,0.286,11.713,18.406,0.0,0.067,93.52
2020-04-16,119.0,87.714,0.0,0.286,27.876,20.547,0.0,0.067,93.52
2020-04-17,134.0,95.0,2.0,0.571,31.39,22.254,0.469,0.134,93.52
2020-04-18,93.0,85.286,1.0,0.714,21.786,19.978,0.234,0.167,93.52
2020-04-19,164.0,97.286,1.0,0.857,38.418,22.789,0.234,0.201,93.52
2020-04-20,80.0,99.286,2.0,1.0,18.74,23.258,0.469,0.234,93.52
2020-04-21,85.0,103.571,2.0,1.143,19.912,24.262,0.469,0.268,88.89
2020-04-22,168.0,120.429,2.0,1.429,39.355,28.211,0.469,0.335,88.89
2020-04-23,151.0,125.0,1.0,1.571,35.372,29.282,0.234,0.368,88.89
2020-04-24,215.0,136.571,1.0,1.429,50.364,31.992,0.234,0.335,88.89
2020-04-25,278.0,163.0,4.0,1.857,65.122,38.183,0.937,0.435,88.89
2020-04-26,183.0,165.714,1.0,1.857,42.868,38.819,0.234,0.435,88.89
2020-04-27,213.0,184.714,2.0,1.857,49.896,43.27,0.469,0.435,88.89
2020-04-28,152.0,194.286,1.0,1.714,35.606,45.512,0.234,0.402,88.89
2020-04-29,300.0,213.143,1.0,1.571,70.276,49.929,0.234,0.368,88.89
2020-04-30,284.0,232.143,2.0,1.714,66.528,54.38,0.469,0.402,88.89
2020-05-01,353.0,251.857,4.0,2.143,82.691,58.998,0.937,0.502,88.89
2020-05-02,242.0,246.714,3.0,2.0,56.689,57.794,0.703,0.469,88.89
2020-05-03,364.0,272.571,5.0,2.571,85.268,63.851,1.171,0.602,88.89
2020-05-04,295.0,284.286,2.0,2.571,69.105,66.595,0.469,0.602,88.89
2020-05-05,526.0,337.714,0.0,2.429,123.217,79.111,0.0,0.569,88.89
2020-05-06,485.0,364.143,2.0,2.571,113.613,85.302,0.469,0.602,88.89
2020-05-07,278.0,363.286,2.0,2.571,65.122,85.101,0.469,0.602,88.89
2020-05-08,641.0,404.429,3.0,2.429,150.156,94.739,0.703,0.569,88.89
2020-05-09,415.0,429.143,2.0,2.286,97.215,100.528,0.469,0.535,88.89
2020-05-10,1065.0,529.286,9.0,2.857,249.48,123.987,2.108,0.669,100.0
2020-05-11,598.0,572.571,7.0,3.571,140.083,134.127,1.64,0.837,100.0
2020-05-12,991.0,639.0,10.0,5.0,232.145,149.688,2.343,1.171,100.0
2020-05-13,751.0,677.0,7.0,5.714,175.924,158.589,1.64,1.339,100.0
2020-05-14,947.0,772.571,6.0,6.286,221.838,180.977,1.406,1.472,100.0
2020-05-15,885.0,807.429,8.0,7.0,207.314,189.143,1.874,1.64,100.0
2020-05-16,942.0,882.714,11.0,8.286,220.666,206.779,2.577,1.941,100.0
2020-05-17,1048.0,880.286,5.0,7.714,245.497,206.21,1.171,1.807,100.0
2020-05-18,841.0,915.0,6.0,7.571,197.007,214.342,1.406,1.774,100.0
2020-05-19,1073.0,926.714,3.0,6.571,251.354,217.086,0.703,1.539,100.0
2020-05-20,804.0,934.286,3.0,6.0,188.34,218.859,0.703,1.406,100.0
2020-05-21,1041.0,947.714,5.0,5.857,243.858,222.005,1.171,1.372,100.0
2020-05-22,955.0,957.714,9.0,6.0,223.712,224.348,2.108,1.406,100.0
2020-05-23,900.0,951.714,10.0,5.857,210.828,222.942,2.343,1.372,100.0
2020-05-24,838.0,921.714,8.0,6.286,196.304,215.914,1.874,1.472,100.0
2020-05-25,665.0,896.571,9.0,6.714,155.778,210.025,2.108,1.573,100.0
2020-05-26,608.0,830.143,7.0,7.286,142.426,194.464,1.64,1.707,100.0
2020-05-27,692.0,814.143,3.0,7.286,162.103,190.716,0.703,1.707,100.0
2020-05-28,845.0,786.143,10.0,8.0,197.944,184.156,2.343,1.874,100.0
2020-05-29,1072.0,802.857,9.0,8.0,251.119,188.072,2.108,1.874,100.0
2020-05-30,1008.0,818.286,11.0,8.143,236.127,191.686,2.577,1.907,100.0
2020-05-31,851.0,820.143,7.0,8.0,199.349,192.121,1.64,1.874,82.87
