time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-06,,,,,,,,,
2020-01-18,,,,,,,,,
2020-02-12,,,,,,,,,2.78
2020-02-29,,,,,,,,,8.33
2020-03-01,,,,,,,,,8.33
2020-03-02,1.0,,,,0.54,,,,8.33
2020-03-03,0.0,,,,0.0,,,,8.33
2020-03-04,0.0,,,,0.0,,,,8.33
2020-03-05,0.0,,,,0.0,,,,8.33
2020-03-06,0.0,,,,0.0,,,,8.33
2020-03-07,0.0,0.143,,,0.0,0.077,,,8.33
2020-03-08,1.0,0.286,,,0.54,0.154,,,8.33
2020-03-09,4.0,0.714,,,2.161,0.386,,,8.33
2020-03-10,2.0,1.0,,,1.081,0.54,,,8.33
2020-03-11,2.0,1.286,,,1.081,0.695,,,11.11
2020-03-12,0.0,1.286,,,0.0,0.695,,,11.11
2020-03-13,7.0,2.286,,,3.782,1.235,,,49.07
2020-03-14,9.0,3.571,,,4.863,1.93,,,51.85
2020-03-15,4.0,4.0,,,2.161,2.161,,,51.85
2020-03-16,4.0,4.0,,,2.161,2.161,,,51.85
2020-03-17,15.0,5.857,,,8.105,3.165,,,57.41
2020-03-18,22.0,8.714,,,11.888,4.709,,,57.41
2020-03-19,15.0,10.857,,,8.105,5.867,,,57.41
2020-03-20,25.0,13.429,,,13.509,7.256,,,57.41
2020-03-21,13.0,14.0,,,7.025,7.565,,,57.41
2020-03-22,15.0,15.571,,,8.105,8.414,,,57.41
2020-03-23,41.0,20.857,,,22.154,11.27,,,57.41
2020-03-24,17.0,21.143,,,9.186,11.425,,,61.11
2020-03-25,24.0,21.429,,,12.968,11.579,,,61.11
2020-03-26,23.0,22.571,,,12.428,12.196,,,61.11
2020-03-27,36.0,24.143,,,19.453,13.046,,,66.67
2020-03-28,25.0,25.857,,,13.509,13.972,,,66.67
2020-03-29,42.0,29.714,,,22.695,16.056,,,66.67
2020-03-30,29.0,28.0,,,15.67,15.13,,,66.67
2020-03-31,22.0,28.714,,,11.888,15.516,,,66.67
2020-04-01,48.0,32.143,,,25.937,17.368,,,66.67
2020-04-02,12.0,30.571,,,6.484,16.519,,,66.67
2020-04-03,35.0,30.429,1.0,,18.912,16.442,0.54,,66.67
2020-04-04,16.0,29.143,0.0,,8.646,15.747,0.0,,66.67
2020-04-05,24.0,26.571,0.0,,12.968,14.358,0.0,,66.67
2020-04-06,9.0,23.714,0.0,,4.863,12.814,0.0,,66.67
2020-04-07,6.0,21.429,1.0,,3.242,11.579,0.54,,66.67
2020-04-08,29.0,18.714,0.0,0.286,15.67,10.112,0.0,0.154,66.67
2020-04-09,12.0,18.714,1.0,0.429,6.484,10.112,0.54,0.232,66.67
2020-04-10,23.0,17.0,0.0,0.286,12.428,9.186,0.0,0.154,66.67
2020-04-11,18.0,17.286,0.0,0.286,9.726,9.34,0.0,0.154,66.67
2020-04-12,21.0,16.857,2.0,0.571,11.347,9.109,1.081,0.309,66.67
2020-04-13,4.0,16.143,0.0,0.571,2.161,8.723,0.0,0.309,66.67
2020-04-14,2.0,15.571,0.0,0.429,1.081,8.414,0.0,0.232,66.67
2020-04-15,9.0,12.714,0.0,0.429,4.863,6.87,0.0,0.232,66.67
2020-04-16,9.0,12.286,0.0,0.286,4.863,6.639,0.0,0.154,66.67
2020-04-17,7.0,10.0,0.0,0.286,3.782,5.403,0.0,0.154,66.67
2020-04-18,30.0,11.714,0.0,0.286,16.21,6.33,0.0,0.154,66.67
2020-04-19,15.0,10.857,0.0,0.0,8.105,5.867,0.0,0.0,66.67
2020-04-20,12.0,12.0,0.0,0.0,6.484,6.484,0.0,0.0,66.67
2020-04-21,9.0,13.0,4.0,0.571,4.863,7.025,2.161,0.309,66.67
2020-04-22,13.0,13.571,2.0,0.857,7.025,7.333,1.081,0.463,66.67
2020-04-23,17.0,14.714,0.0,0.857,9.186,7.951,0.0,0.463,66.67
2020-04-24,6.0,14.571,1.0,1.0,3.242,7.874,0.54,0.54,66.67
2020-04-25,20.0,13.143,0.0,1.0,10.807,7.102,0.0,0.54,66.67
2020-04-26,8.0,12.143,0.0,1.0,4.323,6.561,0.0,0.54,66.67
2020-04-27,6.0,11.286,1.0,1.143,3.242,6.098,0.54,0.618,66.67
2020-04-28,18.0,12.571,0.0,0.571,9.726,6.793,0.0,0.309,66.67
2020-04-29,13.0,12.571,2.0,0.571,7.025,6.793,1.081,0.309,66.67
2020-04-30,9.0,11.429,0.0,0.571,4.863,6.175,0.0,0.309,66.67
2020-05-01,12.0,12.286,1.0,0.571,6.484,6.639,0.54,0.309,66.67
2020-05-02,1.0,9.571,0.0,0.571,0.54,5.172,0.0,0.309,66.67
2020-05-03,8.0,9.571,0.0,0.571,4.323,5.172,0.0,0.309,66.67
2020-05-04,17.0,11.143,0.0,0.429,9.186,6.021,0.0,0.232,66.67
2020-05-05,0.0,8.571,1.0,0.571,0.0,4.632,0.54,0.309,66.67
2020-05-06,4.0,7.286,0.0,0.286,2.161,3.937,0.0,0.154,66.67
2020-05-07,9.0,7.286,1.0,0.429,4.863,3.937,0.54,0.232,66.67
2020-05-08,19.0,8.286,0.0,0.286,10.267,4.477,0.0,0.154,66.67
2020-05-09,2.0,8.429,0.0,0.286,1.081,4.554,0.0,0.154,66.67
2020-05-10,9.0,8.571,0.0,0.286,4.863,4.632,0.0,0.154,66.67
