time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-12,,,,,,,,,0.0
2020-02-24,,,,,,,,,0.0
2020-02-25,,,,,,,,,0.0
2020-02-26,,,,,,,,,0.0
2020-02-27,,,,,,,,,0.0
2020-02-28,,,,,,,,,0.0
2020-02-29,1.0,,,,1.544,,,,0.0
2020-03-01,0.0,,,,0.0,,,,0.0
2020-03-02,0.0,,,,0.0,,,,0.0
2020-03-03,0.0,,,,0.0,,,,0.0
2020-03-04,0.0,,,,0.0,,,,0.0
2020-03-05,0.0,0.143,,,0.0,0.221,,,11.11
2020-03-06,1.0,0.286,,,1.544,0.441,,,11.11
2020-03-07,0.0,0.143,,,0.0,0.221,,,11.11
2020-03-08,1.0,0.286,,,1.544,0.441,,,11.11
2020-03-09,0.0,0.286,,,0.0,0.441,,,22.22
2020-03-10,2.0,0.571,,,3.088,0.882,,,22.22
2020-03-11,2.0,0.857,,,3.088,1.324,,,22.22
2020-03-12,12.0,2.571,,,18.53,3.971,,,31.48
2020-03-13,15.0,4.571,,,23.162,7.059,,,42.59
2020-03-14,17.0,7.0,1.0,,26.251,10.809,1.544,,42.59
2020-03-15,8.0,8.0,0.0,,12.353,12.353,0.0,,53.7
2020-03-16,18.0,10.571,0.0,,27.795,16.324,0.0,,72.22
2020-03-17,63.0,19.286,0.0,,97.282,29.78,0.0,,79.63
2020-03-18,63.0,28.0,1.0,,97.282,43.236,1.544,,79.63
2020-03-19,132.0,45.143,2.0,0.571,203.829,69.708,3.088,0.882,79.63
2020-03-20,149.0,64.286,0.0,0.571,230.08,99.267,0.0,0.882,79.63
2020-03-21,186.0,88.429,4.0,1.0,287.214,136.548,6.177,1.544,79.63
2020-03-22,128.0,105.571,0.0,1.0,197.653,163.019,0.0,1.544,79.63
2020-03-23,77.0,114.0,0.0,1.0,118.9,176.034,0.0,1.544,79.63
2020-03-24,224.0,137.0,0.0,1.0,345.892,211.55,0.0,1.544,79.63
2020-03-25,234.0,161.429,0.0,0.857,361.334,249.272,0.0,1.324,79.63
2020-03-26,120.0,159.714,1.0,0.714,185.299,246.625,1.544,1.103,79.63
2020-03-27,152.0,160.143,6.0,1.571,234.712,247.286,9.265,2.427,79.63
2020-03-28,226.0,165.857,3.0,1.429,348.98,256.11,4.632,2.206,79.63
2020-03-29,119.0,164.571,3.0,1.857,183.755,254.125,4.632,2.868,79.63
2020-03-30,38.0,159.0,1.0,2.0,58.678,245.522,1.544,3.088,79.63
2020-03-31,190.0,154.143,1.0,2.143,293.391,238.021,1.544,3.309,79.63
2020-04-01,141.0,140.857,6.0,3.0,217.727,217.506,9.265,4.632,79.63
2020-04-02,168.0,147.714,1.0,3.0,259.419,228.095,1.544,4.632,79.63
2020-04-03,125.0,143.857,1.0,2.286,193.02,222.139,1.544,3.53,79.63
2020-04-04,117.0,128.286,0.0,1.857,180.667,198.094,0.0,2.868,79.63
2020-04-05,75.0,122.0,5.0,2.143,115.812,188.388,7.721,3.309,79.63
2020-04-06,39.0,122.143,5.0,2.714,60.222,188.608,7.721,4.191,79.63
2020-04-07,127.0,113.143,3.0,3.0,196.108,174.711,4.632,4.632,79.63
2020-04-08,64.0,102.143,2.0,2.429,98.826,157.725,3.088,3.75,79.63
2020-04-09,81.0,89.714,6.0,3.143,125.077,138.533,9.265,4.853,79.63
2020-04-10,108.0,87.286,2.0,3.286,166.769,134.783,3.088,5.074,79.63
2020-04-11,47.0,77.286,8.0,4.429,72.576,119.342,12.353,6.838,79.63
2020-04-12,11.0,68.143,4.0,4.286,16.986,105.224,6.177,6.618,79.63
2020-04-13,11.0,64.143,3.0,4.0,16.986,99.047,4.632,6.177,79.63
2020-04-14,15.0,48.143,,,23.162,74.34,,,79.63
2020-04-15,66.0,48.429,2.0,3.571,101.915,74.781,3.088,5.515,79.63
2020-04-16,71.0,47.0,0.0,2.714,109.635,72.576,0.0,4.191,79.63
2020-04-17,36.0,36.714,3.0,2.857,55.59,56.693,4.632,4.412,79.63
2020-04-18,57.0,38.143,0.0,1.714,88.017,58.899,0.0,2.647,79.63
2020-04-19,13.0,38.429,1.0,1.286,20.074,59.34,1.544,1.985,79.63
2020-04-20,8.0,38.0,2.0,1.143,12.353,58.678,3.088,1.765,70.37
2020-04-21,60.0,44.429,3.0,1.571,92.65,68.605,4.632,2.427,70.37
2020-04-22,36.0,40.143,2.0,1.571,55.59,61.987,3.088,2.427,70.37
2020-04-23,11.0,31.571,3.0,2.0,16.986,48.751,4.632,3.088,70.37
2020-04-24,30.0,30.714,2.0,1.857,46.325,47.428,3.088,2.868,70.37
2020-04-25,16.0,24.857,0.0,1.857,24.707,38.383,0.0,2.868,70.37
2020-04-26,12.0,24.714,3.0,2.143,18.53,38.163,4.632,3.309,70.37
2020-04-27,6.0,24.429,0.0,1.857,9.265,37.722,0.0,2.868,70.37
2020-04-28,12.0,17.571,1.0,1.571,18.53,27.133,1.544,2.427,70.37
2020-04-29,28.0,16.429,0.0,1.286,43.236,25.368,0.0,1.985,70.37
2020-04-30,15.0,17.0,1.0,1.0,23.162,26.251,1.544,1.544,70.37
2020-05-01,18.0,15.286,2.0,1.0,27.795,23.604,3.088,1.544,70.37
2020-05-02,10.0,14.429,0.0,1.0,15.442,22.28,0.0,1.544,70.37
2020-05-03,12.0,14.429,4.0,1.143,18.53,22.28,6.177,1.765,70.37
2020-05-04,4.0,14.143,0.0,1.143,6.177,21.839,0.0,1.765,66.67
2020-05-05,12.0,14.143,0.0,1.0,18.53,21.839,0.0,1.544,66.67
2020-05-06,11.0,11.714,2.0,1.286,16.986,18.089,3.088,1.985,66.67
2020-05-07,8.0,10.714,2.0,1.429,12.353,16.545,3.088,2.206,66.67
2020-05-08,12.0,9.857,0.0,1.143,18.53,15.221,0.0,1.765,66.67
2020-05-09,6.0,9.286,1.0,1.286,9.265,14.339,1.544,1.985,66.67
2020-05-10,9.0,8.857,0.0,0.714,13.897,13.677,0.0,1.103,66.67
2020-05-11,2.0,8.571,0.0,0.714,3.088,13.236,0.0,1.103,56.48
2020-05-12,6.0,7.714,1.0,0.857,9.265,11.912,1.544,1.324,56.48
2020-05-13,10.0,7.571,1.0,0.714,15.442,11.692,1.544,1.103,56.48
2020-05-14,11.0,8.0,0.0,0.429,16.986,12.353,0.0,0.662,56.48
2020-05-15,8.0,7.429,1.0,0.571,12.353,11.471,1.544,0.882,56.48
2020-05-16,7.0,7.571,0.0,0.429,10.809,11.692,0.0,0.662,56.48
2020-05-17,15.0,8.429,3.0,0.857,23.162,13.015,4.632,1.324,56.48
2020-05-18,2.0,8.429,0.0,0.857,3.088,13.015,0.0,1.324,56.48
2020-05-19,11.0,9.143,2.0,1.0,16.986,14.118,3.088,1.544,56.48
2020-05-20,13.0,9.571,0.0,0.857,20.074,14.78,0.0,1.324,56.48
2020-05-21,9.0,9.286,0.0,0.857,13.897,14.339,0.0,1.324,56.48
2020-05-22,1.0,8.286,0.0,0.714,1.544,12.794,0.0,1.103,56.48
2020-05-23,9.0,8.571,0.0,0.714,13.897,13.236,0.0,1.103,56.48
2020-05-24,2.0,6.714,1.0,0.429,3.088,10.368,1.544,0.662,56.48
2020-05-25,1.0,6.571,0.0,0.429,1.544,10.147,0.0,0.662,47.22
2020-05-26,2.0,5.286,0.0,0.143,3.088,8.162,0.0,0.221,47.22
2020-05-27,6.0,4.286,0.0,0.143,9.265,6.618,0.0,0.221,47.22
2020-05-28,7.0,4.0,0.0,0.143,10.809,6.177,0.0,0.221,47.22
