time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-05,,,,,,,,,11.11
2020-03-06,,,,,,,,,11.11
2020-03-07,3.0,,,,5.625,,,,11.11
2020-03-08,0.0,,,,0.0,,,,11.11
2020-03-09,0.0,,,,0.0,,,,16.67
2020-03-10,2.0,,,,3.75,,,,27.78
2020-03-11,1.0,,,,1.875,,,,27.78
2020-03-12,0.0,0.857,,,0.0,1.607,,,33.33
2020-03-13,6.0,1.714,,,11.251,3.215,,,57.41
2020-03-14,6.0,2.143,,,11.251,4.018,,,57.41
2020-03-15,3.0,2.571,,,5.625,4.822,,,57.41
2020-03-16,9.0,3.857,,,16.876,7.233,,,57.41
2020-03-17,8.0,4.714,,,15.001,8.84,,,57.41
2020-03-18,0.0,4.571,,,0.0,8.572,,,62.96
2020-03-19,15.0,6.714,,,28.127,12.59,,,62.96
2020-03-20,11.0,7.429,,,20.627,13.93,,,62.96
2020-03-21,9.0,7.857,,,16.876,14.733,,,65.74
2020-03-22,17.0,9.857,,,31.877,18.484,,,65.74
2020-03-23,17.0,11.0,,,31.877,20.627,,,69.44
2020-03-24,3.0,10.286,,,5.625,19.287,,,69.44
2020-03-25,19.0,13.0,,,35.628,24.377,,,69.44
2020-03-26,5.0,11.571,,,9.376,21.698,,,69.44
2020-03-27,5.0,10.714,,,9.376,20.091,,,69.44
2020-03-28,10.0,10.857,,,18.751,20.359,,,81.48
2020-03-29,2.0,8.714,,,3.75,16.341,,,81.48
2020-03-30,5.0,7.0,,,9.376,13.126,,,81.48
2020-03-31,13.0,8.429,,,24.377,15.805,,,81.48
2020-04-01,19.0,8.429,,,35.628,15.805,,,81.48
2020-04-02,8.0,8.857,,,15.001,16.608,,,81.48
2020-04-03,6.0,9.0,,,11.251,16.876,,,87.04
2020-04-04,11.0,9.143,,,20.627,17.144,,,87.04
2020-04-05,14.0,10.857,,,26.252,20.359,,,87.04
2020-04-06,14.0,12.143,,,26.252,22.77,,,87.04
2020-04-07,52.0,17.714,,,97.507,33.217,,,87.04
2020-04-08,6.0,15.857,1.0,,11.251,29.734,1.875,,87.04
2020-04-09,38.0,20.143,1.0,,71.255,37.771,1.875,,87.04
2020-04-10,13.0,21.143,0.0,,24.377,39.646,0.0,,87.04
2020-04-11,20.0,22.429,1.0,,37.503,42.057,1.875,,87.04
2020-04-12,8.0,21.571,0.0,,15.001,40.449,0.0,,87.04
2020-04-13,6.0,20.429,0.0,0.429,11.251,38.306,0.0,0.804,87.04
2020-04-14,9.0,14.286,0.0,0.429,16.876,26.788,0.0,0.804,87.04
2020-04-15,6.0,14.286,0.0,0.286,11.251,26.788,0.0,0.536,87.04
2020-04-16,13.0,10.714,0.0,0.143,24.377,20.091,0.0,0.268,87.04
2020-04-17,10.0,10.286,0.0,0.143,18.751,19.287,0.0,0.268,87.04
2020-04-18,4.0,8.0,0.0,0.0,7.501,15.001,0.0,0.0,87.04
2020-04-19,1.0,7.0,0.0,0.0,1.875,13.126,0.0,0.0,87.04
2020-04-20,4.0,6.714,0.0,0.0,7.501,12.59,0.0,0.0,87.04
2020-04-21,12.0,7.143,0.0,0.0,22.502,13.394,0.0,0.0,87.04
2020-04-22,1.0,6.429,0.0,0.0,1.875,12.054,0.0,0.0,87.04
2020-04-23,1.0,4.714,0.0,0.0,1.875,8.84,0.0,0.0,87.04
2020-04-24,2.0,3.571,0.0,0.0,3.75,6.697,0.0,0.0,87.04
2020-04-25,1.0,3.143,1.0,0.143,1.875,5.893,1.875,0.268,87.04
2020-04-26,0.0,3.0,0.0,0.143,0.0,5.625,0.0,0.268,87.04
2020-04-27,2.0,2.714,0.0,0.143,3.75,5.09,0.0,0.268,87.04
2020-04-28,8.0,2.143,0.0,0.143,15.001,4.018,0.0,0.268,87.04
2020-04-29,5.0,2.714,0.0,0.143,9.376,5.09,0.0,0.268,87.04
2020-04-30,2.0,2.857,0.0,0.143,3.75,5.358,0.0,0.268,87.04
2020-05-01,2.0,2.857,0.0,0.143,3.75,5.358,0.0,0.268,87.04
2020-05-02,1.0,2.857,0.0,0.0,1.875,5.358,0.0,0.0,87.04
2020-05-03,9.0,4.143,0.0,0.0,16.876,7.768,0.0,0.0,87.04
2020-05-04,3.0,4.286,0.0,0.0,5.625,8.036,0.0,0.0,87.04
2020-05-05,2.0,3.429,1.0,0.143,3.75,6.429,1.875,0.268,87.04
2020-05-06,2.0,3.0,0.0,0.143,3.75,5.625,0.0,0.268,87.04
2020-05-07,2.0,3.0,0.0,0.143,3.75,5.625,0.0,0.268,87.04
2020-05-08,3.0,3.143,0.0,0.143,5.625,5.893,0.0,0.268,87.04
2020-05-09,1.0,3.143,0.0,0.143,1.875,5.893,0.0,0.268,87.04
2020-05-10,6.0,2.714,0.0,0.143,11.251,5.09,0.0,0.268,87.04
2020-05-11,7.0,3.286,0.0,0.143,13.126,6.161,0.0,0.268,87.04
2020-05-12,3.0,3.429,0.0,0.0,5.625,6.429,0.0,0.0,87.04
2020-05-13,2.0,3.429,1.0,0.143,3.75,6.429,1.875,0.268,87.04
2020-05-14,14.0,5.143,0.0,0.143,26.252,9.644,0.0,0.268,87.04
2020-05-15,10.0,6.143,0.0,0.143,18.751,11.519,0.0,0.268,87.04
2020-05-16,14.0,8.0,0.0,0.143,26.252,15.001,0.0,0.268,87.04
2020-05-17,7.0,8.143,0.0,0.143,13.126,15.269,0.0,0.268,87.04
2020-05-18,5.0,7.857,0.0,0.143,9.376,14.733,0.0,0.268,87.04
2020-05-19,11.0,9.0,0.0,0.143,20.627,16.876,0.0,0.268,87.04
2020-05-20,15.0,10.857,0.0,0.0,28.127,20.359,0.0,0.0,87.04
2020-05-21,15.0,11.0,0.0,0.0,28.127,20.627,0.0,0.0,87.04
2020-05-22,1.0,9.714,0.0,0.0,1.875,18.216,0.0,0.0,83.33
2020-05-23,9.0,9.0,0.0,0.0,16.876,16.876,0.0,0.0,83.33
2020-05-24,1.0,8.143,0.0,0.0,1.875,15.269,0.0,0.0,83.33
2020-05-25,1.0,7.571,0.0,0.0,1.875,14.198,0.0,0.0,83.33
2020-05-26,0.0,6.0,0.0,0.0,0.0,11.251,0.0,0.0,83.33
2020-05-27,1.0,4.0,1.0,0.143,1.875,7.501,1.875,0.268,83.33
2020-05-28,4.0,2.429,0.0,0.143,7.501,4.554,0.0,0.268,83.33
2020-05-29,0.0,2.286,2.0,0.429,0.0,4.286,3.75,0.804,83.33
2020-05-30,2.0,1.286,0.0,0.429,3.75,2.411,0.0,0.804,83.33
2020-05-31,0.0,1.143,0.0,0.429,0.0,2.143,0.0,0.804,83.33
2020-06-01,1.0,1.143,0.0,0.429,1.875,2.143,0.0,0.804,83.33
2020-06-02,1.0,1.286,0.0,0.429,1.875,2.411,0.0,0.804,83.33
2020-06-03,2.0,1.429,0.0,0.286,3.75,2.679,0.0,0.536,83.33
2020-06-04,0.0,0.857,0.0,0.286,0.0,1.607,0.0,0.536,83.33
2020-06-05,3.0,1.286,0.0,0.0,5.625,2.411,0.0,0.0,47.22
