time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-14,1.0,,,,0.211,,,,16.67
2020-03-15,0.0,,,,0.0,,,,16.67
2020-03-16,0.0,,,,0.0,,,,27.78
2020-03-17,0.0,,,,0.0,,,,27.78
2020-03-18,0.0,,,,0.0,,,,27.78
2020-03-19,1.0,0.286,,,0.211,0.06,,,57.41
2020-03-20,0.0,0.286,,,0.0,0.06,,,57.41
2020-03-21,0.0,0.143,,,0.0,0.03,,,57.41
2020-03-22,0.0,0.143,,,0.0,0.03,,,57.41
2020-03-23,0.0,0.143,,,0.0,0.03,,,62.96
2020-03-24,0.0,0.143,,,0.0,0.03,,,62.96
2020-03-25,0.0,0.143,,,0.0,0.03,,,62.96
2020-03-26,1.0,0.143,,,0.211,0.03,,,62.96
2020-03-27,0.0,0.143,,,0.0,0.03,,,66.67
2020-03-28,2.0,0.429,,,0.422,0.09,,,66.67
2020-03-29,0.0,0.429,,,0.0,0.09,,,77.78
2020-03-30,0.0,0.429,1.0,,0.0,0.09,0.211,,77.78
2020-03-31,1.0,0.571,0.0,,0.211,0.121,0.0,,77.78
2020-04-01,0.0,0.571,0.0,,0.0,0.121,0.0,,77.78
2020-04-02,0.0,0.429,0.0,,0.0,0.09,0.0,,77.78
2020-04-03,0.0,0.429,0.0,,0.0,0.09,0.0,,77.78
2020-04-04,0.0,0.143,0.0,0.143,0.0,0.03,0.0,0.03,77.78
2020-04-05,0.0,0.143,0.0,0.143,0.0,0.03,0.0,0.03,77.78
2020-04-06,0.0,0.143,0.0,0.0,0.0,0.03,0.0,0.0,77.78
2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.78
2020-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.78
2020-04-09,1.0,0.143,0.0,0.0,0.211,0.03,0.0,0.0,77.78
2020-04-10,0.0,0.143,0.0,0.0,0.0,0.03,0.0,0.0,77.78
2020-04-11,0.0,0.143,0.0,0.0,0.0,0.03,0.0,0.0,77.78
2020-04-12,0.0,0.143,0.0,0.0,0.0,0.03,0.0,0.0,77.78
2020-04-13,0.0,0.143,0.0,0.0,0.0,0.03,0.0,0.0,77.78
2020-04-14,0.0,0.143,0.0,0.0,0.0,0.03,0.0,0.0,77.78
2020-04-15,0.0,0.143,0.0,0.0,0.0,0.03,0.0,0.0,77.78
2020-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.78
2020-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.78
2020-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.78
2020-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.78
