male,female,total
5604.781,5353.961,10958.742
5731.706,5478.805,11210.511
5692.822,5448.048,11140.87
5695.013,5514.58,11209.593
5505.161,5434.658,10939.819
5384.13,5411.644,10795.774
4748.412,5041.468,9789.88
4343.789,4746.361,9090.15
4029.738,4502.226,8531.964
3782.769,4233.025,8015.794
3236.044,3688.873,6924.917
2742.491,3090.563,5833.054
2169.271,2500.183,4669.454
1657.202,1938.297,3595.499
1125.991,1340.716,2466.707
774.478,947.528,1722.006
456.066,602.438,1058.504
248.866,361.118,609.984
107.034,168.098,275.132
30.998,50.439,81.437
4.724,8.238,12.962
