time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-10,1.0,,,,0.294,,,,68.06
2020-03-11,0.0,,,,0.0,,,,68.06
2020-03-12,0.0,,,,0.0,,,,68.06
2020-03-13,0.0,,,,0.0,,,,68.06
2020-03-14,0.0,,,,0.0,,,,68.06
2020-03-15,0.0,0.143,,,0.0,0.042,,,68.06
2020-03-16,0.0,0.143,,,0.0,0.042,,,68.06
2020-03-17,3.0,0.429,,,0.883,0.126,,,58.33
2020-03-18,1.0,0.571,,,0.294,0.168,,,58.33
2020-03-19,1.0,0.714,,,0.294,0.21,,,58.33
2020-03-20,0.0,0.714,,,0.0,0.21,,,58.33
2020-03-21,4.0,1.286,,,1.177,0.378,,,58.33
2020-03-22,0.0,1.286,,,0.0,0.378,,,58.33
2020-03-23,0.0,1.286,,,0.0,0.378,,,58.33
2020-03-24,0.0,0.857,,,0.0,0.252,,,61.11
2020-03-25,0.0,0.714,,,0.0,0.21,,,61.11
2020-03-26,1.0,0.714,,,0.294,0.21,,,61.11
2020-03-27,0.0,0.714,,,0.0,0.21,,,61.11
2020-03-28,1.0,0.286,,,0.294,0.084,,,61.11
2020-03-29,0.0,0.286,,,0.0,0.084,,,61.11
2020-03-30,0.0,0.286,,,0.0,0.084,,,61.11
2020-03-31,0.0,0.286,,,0.0,0.084,,,61.11
2020-04-01,2.0,0.571,,,0.589,0.168,,,66.67
2020-04-02,0.0,0.429,,,0.0,0.126,,,66.67
2020-04-03,0.0,0.429,,,0.0,0.126,,,66.67
2020-04-04,0.0,0.286,,,0.0,0.084,,,66.67
2020-04-05,0.0,0.286,,,0.0,0.084,,,69.44
2020-04-06,0.0,0.286,,,0.0,0.084,,,69.44
2020-04-07,1.0,0.429,,,0.294,0.126,,,69.44
2020-04-08,0.0,0.143,,,0.0,0.042,,,69.44
2020-04-09,1.0,0.286,,,0.294,0.084,,,69.44
2020-04-10,0.0,0.286,,,0.0,0.084,,,69.44
2020-04-11,0.0,0.286,,,0.0,0.084,,,69.44
2020-04-12,0.0,0.286,,,0.0,0.084,,,69.44
2020-04-13,0.0,0.286,,,0.0,0.084,,,69.44
2020-04-14,14.0,2.143,,,4.12,0.631,,,69.44
2020-04-15,0.0,2.143,,,0.0,0.631,,,69.44
2020-04-16,1.0,2.143,,,0.294,0.631,,,69.44
2020-04-17,0.0,2.143,,,0.0,0.631,,,69.44
2020-04-18,0.0,2.143,,,0.0,0.631,,,69.44
2020-04-19,1.0,2.286,,,0.294,0.673,,,69.44
2020-04-20,1.0,2.429,,,0.294,0.715,,,69.44
2020-04-21,1.0,0.571,,,0.294,0.168,,,69.44
2020-04-22,1.0,0.714,,,0.294,0.21,,,69.44
2020-04-23,0.0,0.571,,,0.0,0.168,,,69.44
2020-04-24,0.0,0.571,,,0.0,0.168,,,69.44
2020-04-25,1.0,0.714,,,0.294,0.21,,,69.44
2020-04-26,2.0,0.857,,,0.589,0.252,,,69.44
2020-04-27,0.0,0.714,,,0.0,0.21,,,69.44
2020-04-28,0.0,0.571,,,0.0,0.168,,,77.78
2020-04-29,0.0,0.429,,,0.0,0.126,,,77.78
2020-04-30,0.0,0.429,,,0.0,0.126,,,77.78
2020-05-01,0.0,0.429,,,0.0,0.126,,,77.78
2020-05-02,0.0,0.286,,,0.0,0.084,,,77.78
2020-05-03,1.0,0.143,,,0.294,0.042,,,77.78
2020-05-04,1.0,0.286,,,0.294,0.084,,,77.78
