male,female,total
2276.58,2231.976,4508.556
2271.644,2241.061,4512.705
2432.699,2412.701,4845.4
2540.64,2530.604,5071.244
2366.526,2392.485,4759.011
2170.481,2233.589,4404.07
2011.88,2115.857,4127.737
1925.362,2019.9,3945.262
1801.758,1958.227,3759.985
1628.445,1831.54,3459.985
1407.402,1643.946,3051.348
1132.495,1389.376,2521.871
890.618,1158.96,2049.578
642.954,911.432,1554.386
367.993,523.303,891.296
208.612,323.122,531.734
100.973,178.528,279.501
35.433,72.691,108.124
6.911,17.775,24.686
0.738,2.358,3.096
0.046,0.173,0.219
