time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-28,1.0,,,,0.193,,,,19.44
2020-02-29,0.0,,,,0.0,,,,19.44
2020-03-01,0.0,,,,0.0,,,,19.44
2020-03-02,0.0,,,,0.0,,,,19.44
2020-03-03,0.0,,,,0.0,,,,19.44
2020-03-04,2.0,0.429,,,0.386,0.083,,,19.44
2020-03-05,0.0,0.429,,,0.0,0.083,,,19.44
2020-03-06,1.0,0.429,,,0.193,0.083,,,19.44
2020-03-07,1.0,0.571,,,0.193,0.11,,,19.44
2020-03-08,0.0,0.571,,,0.0,0.11,,,19.44
2020-03-09,0.0,0.571,,,0.0,0.11,,,19.44
2020-03-10,0.0,0.571,,,0.0,0.11,,,19.44
2020-03-11,0.0,0.286,,,0.0,0.055,,,19.44
2020-03-12,0.0,0.286,,,0.0,0.055,,,19.44
2020-03-13,0.0,0.143,,,0.0,0.028,,,19.44
2020-03-14,1.0,0.143,,,0.193,0.028,,,19.44
2020-03-15,2.0,0.429,,,0.386,0.083,,,19.44
2020-03-16,0.0,0.429,,,0.0,0.083,,,36.11
2020-03-17,4.0,1.0,,,0.771,0.193,,,36.11
2020-03-18,8.0,2.143,,,1.543,0.413,,,36.11
2020-03-19,8.0,3.286,,,1.543,0.634,,,36.11
2020-03-20,11.0,4.857,,,2.121,0.937,,,38.89
2020-03-21,13.0,6.571,,,2.507,1.267,,,58.33
2020-03-22,50.0,13.429,,,9.643,2.59,,,58.33
2020-03-23,0.0,13.429,,,0.0,2.59,,,79.63
2020-03-24,53.0,20.429,,,10.221,3.94,,,87.04
2020-03-25,50.0,26.429,,,9.643,5.097,,,90.74
2020-03-26,78.0,36.429,,,15.043,7.025,,,96.3
2020-03-27,85.0,47.0,,,16.393,9.064,,,96.3
2020-03-28,83.0,57.0,,,16.007,10.993,,,96.3
2020-03-29,63.0,58.857,1.0,,12.15,11.351,0.193,,96.3
2020-03-30,75.0,69.571,0.0,,14.464,13.417,0.0,,96.3
2020-03-31,58.0,70.286,0.0,,11.185,13.555,0.0,,96.3
2020-04-01,61.0,71.857,0.0,,11.764,13.858,0.0,,96.3
2020-04-02,89.0,73.429,0.0,,17.164,14.161,0.0,,96.3
2020-04-03,71.0,71.429,0.0,0.143,13.693,13.775,0.0,0.028,96.3
2020-04-04,82.0,71.286,0.0,0.143,15.814,13.748,0.0,0.028,96.3
2020-04-05,89.0,75.0,3.0,0.429,17.164,14.464,0.579,0.083,96.3
2020-04-06,67.0,73.857,0.0,0.429,12.921,14.244,0.0,0.083,96.3
2020-04-07,54.0,73.286,0.0,0.429,10.414,14.133,0.0,0.083,96.3
2020-04-08,50.0,71.714,0.0,0.429,9.643,13.83,0.0,0.083,96.3
2020-04-09,29.0,63.143,0.0,0.429,5.593,12.177,0.0,0.083,96.3
2020-04-10,44.0,59.286,0.0,0.429,8.486,11.433,0.0,0.083,96.3
2020-04-11,29.0,51.714,0.0,0.429,5.593,9.973,0.0,0.083,96.3
2020-04-12,18.0,41.571,8.0,1.143,3.471,8.017,1.543,0.22,96.3
2020-04-13,19.0,34.714,0.0,1.143,3.664,6.695,0.0,0.22,96.3
2020-04-14,17.0,29.429,0.0,1.143,3.279,5.675,0.0,0.22,96.3
