time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-25,0.0,,0.0,,0.0,,0.0,,
2020-01-26,4.0,,0.0,,0.089,,0.0,,
2020-01-27,1.0,,0.0,,0.022,,0.0,,
2020-01-28,0.0,,0.0,,0.0,,0.0,,
2020-01-29,1.0,,0.0,,0.022,,0.0,,
2020-01-30,3.0,1.286,0.0,0.0,0.067,0.029,0.0,0.0,
2020-01-31,0.0,1.286,0.0,0.0,0.0,0.029,0.0,0.0,
2020-02-01,3.0,1.714,0.0,0.0,0.067,0.038,0.0,0.0,
2020-02-02,0.0,1.143,0.0,0.0,0.0,0.025,0.0,0.0,
2020-02-03,0.0,1.0,0.0,0.0,0.0,0.022,0.0,0.0,
2020-02-04,1.0,1.143,0.0,0.0,0.022,0.025,0.0,0.0,
2020-02-05,0.0,1.0,0.0,0.0,0.0,0.022,0.0,0.0,
2020-02-06,1.0,0.714,0.0,0.0,0.022,0.016,0.0,0.0,
2020-02-07,1.0,0.857,0.0,0.0,0.022,0.019,0.0,0.0,
2020-02-08,0.0,0.429,0.0,0.0,0.0,0.01,0.0,0.0,
2020-02-09,0.0,0.429,0.0,0.0,0.0,0.01,0.0,0.0,
2020-02-10,0.0,0.429,0.0,0.0,0.0,0.01,0.0,0.0,
2020-02-11,0.0,0.286,0.0,0.0,0.0,0.006,0.0,0.0,
2020-02-12,0.0,0.286,0.0,0.0,0.0,0.006,0.0,0.0,
2020-02-13,0.0,0.143,0.0,0.0,0.0,0.003,0.0,0.0,
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-28,1.0,0.143,0.0,0.0,0.022,0.003,0.0,0.0,
2020-02-29,10.0,1.571,0.0,0.0,0.222,0.035,0.0,0.0,
2020-03-01,2.0,1.857,1.0,0.143,0.044,0.041,0.022,0.003,
2020-03-02,3.0,2.286,0.0,0.143,0.067,0.051,0.0,0.003,
2020-03-03,9.0,3.571,0.0,0.143,0.2,0.079,0.0,0.003,
2020-03-04,15.0,5.714,1.0,0.286,0.333,0.127,0.022,0.006,
2020-03-05,3.0,6.143,0.0,0.286,0.067,0.136,0.0,0.006,
2020-03-06,6.0,6.857,0.0,0.286,0.133,0.152,0.0,0.006,
2020-03-07,4.0,6.0,0.0,0.286,0.089,0.133,0.0,0.006,
2020-03-08,13.0,7.571,1.0,0.286,0.289,0.168,0.022,0.006,
2020-03-09,15.0,9.286,0.0,0.286,0.333,0.206,0.0,0.006,
2020-03-10,16.0,10.286,0.0,0.286,0.355,0.228,0.0,0.006,
2020-03-11,21.0,11.143,0.0,0.143,0.466,0.247,0.0,0.003,
2020-03-12,0.0,10.714,0.0,0.143,0.0,0.238,0.0,0.003,
2020-03-13,75.0,20.571,0.0,0.143,1.665,0.457,0.0,0.003,
2020-03-14,51.0,27.286,0.0,0.143,1.132,0.606,0.0,0.003,
2020-03-15,49.0,32.429,0.0,0.0,1.088,0.72,0.0,0.0,
2020-03-16,80.0,41.714,0.0,0.0,1.776,0.926,0.0,0.0,
2020-03-17,79.0,50.714,2.0,0.286,1.754,1.126,0.044,0.006,
2020-03-18,124.0,65.429,1.0,0.429,2.753,1.453,0.022,0.01,
2020-03-19,127.0,83.571,0.0,0.429,2.82,1.856,0.0,0.01,
2020-03-20,127.0,91.0,1.0,0.571,2.82,2.02,0.022,0.013,
2020-03-21,299.0,126.429,0.0,0.571,6.639,2.807,0.0,0.013,
2020-03-22,532.0,195.429,0.0,0.571,11.812,4.339,0.0,0.013,
2020-03-23,138.0,203.714,0.0,0.571,3.064,4.523,0.0,0.013,
2020-03-24,425.0,253.143,1.0,0.429,9.436,5.621,0.022,0.01,
2020-03-25,375.0,289.0,0.0,0.286,8.326,6.417,0.0,0.006,
2020-03-26,529.0,346.429,5.0,1.0,11.745,7.692,0.111,0.022,
2020-03-27,419.0,388.143,0.0,0.857,9.303,8.618,0.0,0.019,
2020-03-28,580.0,428.286,1.0,1.0,12.878,9.509,0.022,0.022,
2020-03-29,407.0,410.429,3.0,1.429,9.037,9.113,0.067,0.032,
2020-03-30,458.0,456.143,1.0,1.571,10.169,10.128,0.022,0.035,
2020-03-31,257.0,432.143,1.0,1.571,5.706,9.595,0.022,0.035,
2020-04-01,365.0,430.714,2.0,1.857,8.104,9.563,0.044,0.041,
2020-04-02,347.0,404.714,4.0,1.714,7.704,8.986,0.089,0.038,
2020-04-03,287.0,385.857,4.0,2.286,6.372,8.567,0.089,0.051,
