male,female,total
14509.296,13453.556,27962.852
13226.191,12273.189,25499.38
12154.761,11296.757,23451.518
11443.015,10532.903,21975.918
10741.968,10030.306,20772.274
9820.991,9337.097,19158.088
8597.168,8221.159,16818.327
7144.302,6853.394,13997.696
5922.918,5692.604,11615.522
4905.18,4728.045,9633.225
4176.69,4054.023,8230.713
3485.956,3405.944,6891.9
2666.009,2613.081,5279.09
1821.463,1801.861,3623.324
1372.079,1333.665,2705.744
939.571,913.614,1853.185
494.894,466.969,961.863
193.109,171.74,364.849
48.962,36.341,85.303
6.911,3.809,10.72
0.573,0.267,0.84
