time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-07,,,,,,,,,5.56
2020-03-08,1.0,,,,0.147,,,,5.56
2020-03-09,0.0,,,,0.0,,,,5.56
2020-03-10,4.0,,,,0.59,,,,47.22
2020-03-11,0.0,,,,0.0,,,,47.22
2020-03-12,1.0,,,,0.147,,,,47.22
2020-03-13,1.0,1.0,,,0.147,0.147,,,47.22
2020-03-14,0.0,1.0,,,0.0,0.147,,,55.56
2020-03-15,1.0,1.0,,,0.147,0.147,,,55.56
2020-03-16,1.0,1.143,,,0.147,0.169,,,55.56
2020-03-17,2.0,0.857,,,0.295,0.126,,,59.26
2020-03-18,0.0,0.857,,,0.0,0.126,,,59.26
2020-03-19,2.0,1.0,,,0.295,0.147,,,59.26
2020-03-20,5.0,1.571,1.0,,0.737,0.232,0.147,,59.26
2020-03-21,4.0,2.143,0.0,,0.59,0.316,0.0,,71.3
2020-03-22,0.0,2.0,0.0,,0.0,0.295,0.0,,71.3
2020-03-23,5.0,2.571,1.0,,0.737,0.379,0.147,,76.85
2020-03-24,10.0,3.714,1.0,,1.475,0.548,0.147,,79.63
2020-03-25,4.0,4.286,0.0,0.429,0.59,0.632,0.0,0.063,79.63
2020-03-26,11.0,5.571,0.0,0.429,1.622,0.822,0.0,0.063,79.63
2020-03-27,4.0,5.429,0.0,0.286,0.59,0.801,0.0,0.042,79.63
2020-03-28,3.0,5.286,0.0,0.286,0.442,0.78,0.0,0.042,79.63
2020-03-29,5.0,6.0,0.0,0.286,0.737,0.885,0.0,0.042,79.63
2020-03-30,1.0,5.429,0.0,0.143,0.147,0.801,0.0,0.021,79.63
2020-03-31,4.0,4.571,0.0,0.0,0.59,0.674,0.0,0.0,79.63
2020-04-01,8.0,5.143,0.0,0.0,1.18,0.758,0.0,0.0,79.63
2020-04-02,15.0,5.714,0.0,0.0,2.212,0.843,0.0,0.0,79.63
2020-04-03,4.0,5.714,0.0,0.0,0.59,0.843,0.0,0.0,79.63
2020-04-04,8.0,6.429,0.0,0.0,1.18,0.948,0.0,0.0,79.63
2020-04-05,9.0,7.0,2.0,0.286,1.327,1.032,0.295,0.042,82.41
2020-04-06,2.0,7.143,0.0,0.286,0.295,1.053,0.0,0.042,82.41
2020-04-07,4.0,7.143,0.0,0.286,0.59,1.053,0.0,0.042,82.41
2020-04-08,5.0,6.714,0.0,0.286,0.737,0.99,0.0,0.042,82.41
2020-04-09,5.0,5.286,1.0,0.429,0.737,0.78,0.147,0.063,83.33
2020-04-10,4.0,5.286,0.0,0.429,0.59,0.78,0.0,0.063,83.33
2020-04-11,1.0,4.286,0.0,0.429,0.147,0.632,0.0,0.063,83.33
2020-04-12,13.0,4.857,0.0,0.143,1.917,0.716,0.0,0.021,83.33
