male,female,total
967.319,917.595,1884.914
973.593,926.364,1899.957
1011.282,963.232,1974.514
881.682,852.94,1734.622
995.319,970.664,1965.983
1263.507,1202.068,2465.575
1470.157,1355.691,2825.848
1646.565,1532.51,3179.075
1502.714,1455.923,2958.637
1291.697,1285.107,2576.804
1110.61,1127.887,2238.497
1128.396,1196.275,2324.671
1280.235,1445.025,2725.26
1094.529,1354.358,2448.887
779.602,1076.251,1855.853
399.586,645.087,1044.673
299.133,584.927,884.06
165.615,391.93,557.545
61.846,177.355,239.201
13.289,43.716,57.005
1.207,3.817,5.024
