time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-01,,,,,,,,,5.56
2020-03-02,2.0,,,,0.195,,,,5.56
2020-03-03,0.0,,,,0.0,,,,5.56
2020-03-04,3.0,,,,0.292,,,,5.56
2020-03-05,3.0,,,,0.292,,,,5.56
2020-03-06,5.0,,,,0.487,,,,5.56
2020-03-07,7.0,2.857,,,0.682,0.278,,,5.56
2020-03-08,10.0,4.286,,,0.974,0.417,,,5.56
2020-03-09,0.0,4.0,,,0.0,0.389,,,27.31
2020-03-10,11.0,5.571,,,1.071,0.542,,,35.65
2020-03-11,18.0,7.714,,,1.753,0.751,,,35.65
2020-03-12,0.0,7.286,,,0.0,0.709,,,43.06
2020-03-13,53.0,14.143,,,5.16,1.377,,,43.06
2020-03-14,57.0,21.286,,,5.55,2.072,,,43.06
2020-03-15,76.0,30.714,,,7.4,2.99,,,53.7
2020-03-16,86.0,43.0,,,8.373,4.187,,,55.56
2020-03-17,117.0,58.143,1.0,,11.391,5.661,0.097,,55.56
2020-03-18,0.0,55.571,1.0,,0.0,5.411,0.097,,61.11
2020-03-19,337.0,103.714,1.0,,32.811,10.098,0.097,,82.41
2020-03-20,235.0,129.714,3.0,,22.88,12.629,0.292,,82.41
2020-03-21,260.0,158.714,6.0,,25.314,15.453,0.584,,82.41
2020-03-22,320.0,193.571,2.0,2.0,31.156,18.847,0.195,0.195,82.41
2020-03-23,460.0,247.0,9.0,3.286,44.787,24.049,0.876,0.32,82.41
2020-03-24,302.0,273.429,10.0,4.571,29.404,26.622,0.974,0.445,82.41
2020-03-25,633.0,363.857,10.0,5.857,61.631,35.426,0.974,0.57,82.41
2020-03-26,549.0,394.143,17.0,8.143,53.452,38.375,1.655,0.793,82.41
2020-03-27,724.0,464.0,16.0,10.0,70.491,45.176,1.558,0.974,82.41
2020-03-28,902.0,555.714,24.0,12.571,87.821,54.106,2.337,1.224,82.41
2020-03-29,792.0,623.143,19.0,15.0,77.111,60.671,1.85,1.46,82.41
2020-03-30,446.0,621.143,21.0,16.714,43.424,60.476,2.045,1.627,82.41
2020-03-31,1035.0,725.857,20.0,18.143,100.771,70.672,1.947,1.766,82.41
2020-04-01,808.0,750.857,27.0,20.571,78.669,73.106,2.629,2.003,82.41
2020-04-02,783.0,784.286,22.0,21.286,76.235,76.36,2.142,2.072,82.41
2020-04-03,852.0,802.571,37.0,24.286,82.953,78.141,3.602,2.365,82.41
2020-04-04,638.0,764.857,20.0,23.714,62.118,74.469,1.947,2.309,82.41
2020-04-05,754.0,759.429,29.0,25.143,73.412,73.94,2.824,2.448,82.41
2020-04-06,452.0,760.286,16.0,24.429,44.008,74.024,1.558,2.378,82.41
2020-04-07,712.0,714.143,34.0,26.429,69.322,69.531,3.31,2.573,82.41
2020-04-08,699.0,698.571,35.0,27.571,68.057,68.015,3.408,2.684,82.41
2020-04-09,815.0,703.143,29.0,28.571,79.351,68.46,2.824,2.782,87.96
