time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-14,1.0,,,,5.56,,,,
2020-03-15,1.0,,,,5.56,,,,
2020-03-16,0.0,,,,0.0,,,,
2020-03-17,0.0,,,,0.0,,,,
2020-03-18,0.0,,,,0.0,,,,
2020-03-19,0.0,0.286,,,0.0,1.588,,,
2020-03-20,0.0,0.286,,,0.0,1.588,,,
2020-03-21,0.0,0.143,,,0.0,0.794,,,
2020-03-22,0.0,0.0,,,0.0,0.0,,,
2020-03-23,1.0,0.143,,,5.56,0.794,,,
2020-03-24,0.0,0.143,,,0.0,0.794,,,
2020-03-25,0.0,0.143,,,0.0,0.794,,,
2020-03-26,0.0,0.143,,,0.0,0.794,,,
2020-03-27,0.0,0.143,,,0.0,0.794,,,
2020-03-28,0.0,0.143,,,0.0,0.794,,,
2020-03-29,6.0,1.0,,,33.357,5.56,,,
2020-03-30,0.0,0.857,,,0.0,4.765,,,
2020-03-31,4.0,1.429,,,22.238,7.942,,,
2020-04-01,0.0,1.429,,,0.0,7.942,,,
2020-04-02,0.0,1.429,,,0.0,7.942,,,
2020-04-03,0.0,1.429,,,0.0,7.942,,,
2020-04-04,1.0,1.571,,,5.56,8.736,,,
2020-04-05,0.0,0.714,,,0.0,3.971,,,
2020-04-06,0.0,0.714,,,0.0,3.971,,,
2020-04-07,0.0,0.143,,,0.0,0.794,,,
2020-04-08,0.0,0.143,,,0.0,0.794,,,
2020-04-09,0.0,0.143,,,0.0,0.794,,,
2020-04-10,1.0,0.286,,,5.56,1.588,,,
2020-04-11,0.0,0.143,,,0.0,0.794,,,
2020-04-12,0.0,0.143,,,0.0,0.794,,,
2020-04-13,0.0,0.143,,,0.0,0.794,,,
2020-04-14,0.0,0.143,,,0.0,0.794,,,
2020-04-15,0.0,0.143,,,0.0,0.794,,,
2020-04-16,0.0,0.143,,,0.0,0.794,,,
2020-04-17,0.0,0.0,,,0.0,0.0,,,
2020-04-18,0.0,0.0,,,0.0,0.0,,,
2020-04-19,0.0,0.0,,,0.0,0.0,,,
2020-04-20,0.0,0.0,,,0.0,0.0,,,
2020-04-21,0.0,0.0,,,0.0,0.0,,,
2020-04-22,0.0,0.0,,,0.0,0.0,,,
2020-04-23,0.0,0.0,,,0.0,0.0,,,
2020-04-24,0.0,0.0,,,0.0,0.0,,,
2020-04-25,0.0,0.0,,,0.0,0.0,,,
2020-04-26,0.0,0.0,,,0.0,0.0,,,
2020-04-27,0.0,0.0,,,0.0,0.0,,,
2020-04-28,0.0,0.0,,,0.0,0.0,,,
2020-04-29,2.0,0.286,,,11.119,1.588,,,
2020-04-30,0.0,0.286,,,0.0,1.588,,,
2020-05-01,0.0,0.286,,,0.0,1.588,,,
2020-05-02,0.0,0.286,,,0.0,1.588,,,
2020-05-03,1.0,0.429,,,5.56,2.383,,,
2020-05-04,0.0,0.429,,,0.0,2.383,,,
2020-05-05,0.0,0.429,,,0.0,2.383,,,
2020-05-06,0.0,0.143,,,0.0,0.794,,,
2020-05-07,0.0,0.143,,,0.0,0.794,,,
2020-05-08,0.0,0.143,,,0.0,0.794,,,
2020-05-09,0.0,0.143,,,0.0,0.794,,,
2020-05-10,0.0,0.0,,,0.0,0.0,,,
2020-05-11,0.0,0.0,,,0.0,0.0,,,
2020-05-12,0.0,0.0,,,0.0,0.0,,,
2020-05-13,0.0,0.0,,,0.0,0.0,,,
2020-05-14,0.0,0.0,,,0.0,0.0,,,
2020-05-15,0.0,0.0,,,0.0,0.0,,,
