time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-04-06,4.0,,,,17.591,,,,
2020-04-07,0.0,,,,0.0,,,,
2020-04-08,0.0,,,,0.0,,,,
2020-04-09,0.0,,,,0.0,,,,
2020-04-10,0.0,,,,0.0,,,,
2020-04-11,0.0,0.571,,,0.0,2.513,,,
2020-04-12,0.0,0.571,,,0.0,2.513,,,
2020-04-13,0.0,0.0,,,0.0,0.0,,,
2020-04-14,0.0,0.0,,,0.0,0.0,,,
2020-04-15,0.0,0.0,,,0.0,0.0,,,
2020-04-16,0.0,0.0,,,0.0,0.0,,,
2020-04-17,0.0,0.0,,,0.0,0.0,,,
2020-04-18,0.0,0.0,,,0.0,0.0,,,
2020-04-19,0.0,0.0,,,0.0,0.0,,,
2020-04-20,0.0,0.0,,,0.0,0.0,,,
2020-04-21,0.0,0.0,,,0.0,0.0,,,
2020-04-22,0.0,0.0,,,0.0,0.0,,,
2020-04-23,0.0,0.0,,,0.0,0.0,,,
2020-04-24,0.0,0.0,,,0.0,0.0,,,
2020-04-25,0.0,0.0,,,0.0,0.0,,,
2020-04-26,0.0,0.0,,,0.0,0.0,,,
2020-04-27,0.0,0.0,,,0.0,0.0,,,
2020-04-28,4.0,0.571,,,17.591,2.513,,,
2020-04-29,0.0,0.571,,,0.0,2.513,,,
2020-04-30,6.0,1.429,,,26.386,6.282,,,
2020-05-01,2.0,1.714,1.0,,8.795,7.539,4.398,,
2020-05-02,0.0,1.714,0.0,,0.0,7.539,0.0,,
2020-05-03,0.0,1.714,0.0,,0.0,7.539,0.0,,
2020-05-04,7.0,2.714,2.0,,30.784,11.937,8.795,,
2020-05-05,151.0,23.714,0.0,,664.049,104.288,0.0,,
2020-05-06,0.0,23.714,0.0,0.429,0.0,104.288,0.0,1.885,
2020-05-07,13.0,24.714,1.0,0.571,57.17,108.685,4.398,2.513,
2020-05-08,21.0,27.429,1.0,0.571,92.351,120.622,4.398,2.513,
