male,female,total
216.711,202.346,419.057
225.782,210.981,436.763
251.69,235.173,486.863
264.865,248.003,512.868
273.103,256.066,529.169
295.508,277.789,573.297
317.848,300.075,617.923
301.977,294.984,596.961
310.901,310.651,621.552
301.341,307.001,608.342
280.329,290.32,570.649
266.358,284.501,550.859
258.692,289.162,547.854
271.836,322.781,594.617
205.013,259.128,464.141
110.335,155.206,265.541
78.599,125.862,204.461
38.517,66.892,105.409
9.414,18.589,28.003
0.806,2.128,2.934
0.026,0.081,0.107
