time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-23,1.0,,,,0.177,,,,25.0
2020-01-24,2.0,,,,0.355,,,,25.0
2020-01-25,0.0,,,,0.0,,,,25.0
2020-01-26,1.0,,,,0.177,,,,25.0
2020-01-27,1.0,,,,0.177,,,,25.0
2020-01-28,2.0,1.0,,,0.355,0.177,,,25.0
2020-01-29,0.0,1.0,,,0.0,0.177,,,25.0
2020-01-30,3.0,1.286,,,0.532,0.228,,,25.0
2020-01-31,3.0,1.429,,,0.532,0.253,,,25.0
2020-02-01,3.0,1.857,,,0.532,0.329,,,25.0
2020-02-02,2.0,2.0,,,0.355,0.355,,,25.0
2020-02-03,0.0,1.857,,,0.0,0.329,,,25.0
2020-02-04,6.0,2.429,,,1.064,0.431,,,25.0
2020-02-05,4.0,3.0,,,0.71,0.532,,,25.0
2020-02-06,0.0,2.571,,,0.0,0.456,,,25.0
2020-02-07,2.0,2.429,,,0.355,0.431,,,30.56
2020-02-08,3.0,2.429,,,0.532,0.431,,,30.56
2020-02-09,7.0,3.143,,,1.242,0.558,,,30.56
2020-02-10,5.0,3.857,,,0.887,0.684,,,30.56
2020-02-11,2.0,3.286,,,0.355,0.583,,,30.56
2020-02-12,3.0,3.143,,,0.532,0.558,,,30.56
2020-02-13,8.0,4.286,,,1.419,0.76,,,30.56
2020-02-14,9.0,5.286,,,1.597,0.938,,,30.56
2020-02-15,5.0,5.571,,,0.887,0.988,,,30.56
2020-02-16,3.0,5.0,,,0.532,0.887,,,30.56
2020-02-17,2.0,4.571,,,0.355,0.811,,,30.56
2020-02-18,4.0,4.857,,,0.71,0.862,,,30.56
2020-02-19,3.0,4.857,,,0.532,0.862,,,30.56
2020-02-20,0.0,3.714,,,0.0,0.659,,,30.56
2020-02-21,1.0,2.571,,,0.177,0.456,,,30.56
2020-02-22,0.0,1.857,,,0.0,0.329,,,30.56
2020-02-23,4.0,2.0,,,0.71,0.355,,,30.56
2020-02-24,0.0,1.714,,,0.0,0.304,,,30.56
2020-02-25,2.0,1.429,,,0.355,0.253,,,30.56
2020-02-26,2.0,1.286,,,0.355,0.228,,,30.56
2020-02-27,0.0,1.286,,,0.0,0.228,,,30.56
2020-02-28,0.0,1.143,,,0.0,0.203,,,30.56
2020-02-29,9.0,2.429,,,1.597,0.431,,,30.56
2020-03-01,4.0,2.429,,,0.71,0.431,,,30.56
2020-03-02,2.0,2.714,,,0.355,0.482,,,30.56
2020-03-03,2.0,2.714,,,0.355,0.482,,,30.56
2020-03-04,0.0,2.429,,,0.0,0.431,,,30.56
2020-03-05,7.0,3.429,,,1.242,0.608,,,30.56
2020-03-06,13.0,5.286,,,2.306,0.938,,,30.56
2020-03-07,8.0,5.143,,,1.419,0.912,,,30.56
