time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-10-12,2.0,,,,2.761,,,,43.52
2020-10-13,0.0,,,,0.0,,,,43.52
2020-10-14,0.0,,,,0.0,,,,43.52
2020-10-15,1.0,,,,1.381,,,,43.52
2020-10-16,0.0,,,,0.0,,,,43.52
2020-10-17,0.0,0.429,,,0.0,0.592,,,43.52
2020-10-18,0.0,0.429,,,0.0,0.592,,,43.52
2020-10-19,0.0,0.143,,,0.0,0.197,,,43.52
2020-10-20,0.0,0.143,,,0.0,0.197,,,43.52
2020-10-21,0.0,0.143,,,0.0,0.197,,,43.52
2020-10-22,1.0,0.143,,,1.381,0.197,,,43.52
2020-10-23,0.0,0.143,,,0.0,0.197,,,43.52
2020-10-24,0.0,0.143,,,0.0,0.197,,,43.52
2020-10-25,0.0,0.143,,,0.0,0.197,,,43.52
2020-10-26,0.0,0.143,,,0.0,0.197,,,43.52
2020-10-27,4.0,0.714,,,5.523,0.986,,,43.52
2020-10-28,0.0,0.714,,,0.0,0.986,,,43.52
2020-10-29,0.0,0.571,,,0.0,0.789,,,43.52
2020-10-30,0.0,0.571,,,0.0,0.789,,,43.52
2020-10-31,0.0,0.571,,,0.0,0.789,,,43.52
2020-11-01,0.0,0.571,,,0.0,0.789,,,43.52
2020-11-02,5.0,1.286,,,6.903,1.775,,,43.52
2020-11-03,0.0,0.714,,,0.0,0.986,,,43.52
2020-11-04,0.0,0.714,,,0.0,0.986,,,43.52
2020-11-05,0.0,0.714,,,0.0,0.986,,,43.52
2020-11-06,0.0,0.714,,,0.0,0.986,,,43.52
2020-11-07,0.0,0.714,,,0.0,0.986,,,43.52
2020-11-08,0.0,0.714,,,0.0,0.986,,,43.52
2020-11-09,3.0,0.429,,,4.142,0.592,,,43.52
2020-11-10,0.0,0.429,,,0.0,0.592,,,43.52
2020-11-11,0.0,0.429,,,0.0,0.592,,,43.52
2020-11-12,0.0,0.429,,,0.0,0.592,,,43.52
2020-11-13,0.0,0.429,,,0.0,0.592,,,43.52
2020-11-14,0.0,0.429,,,0.0,0.592,,,43.52
2020-11-15,0.0,0.429,,,0.0,0.592,,,43.52
2020-11-16,0.0,0.0,,,0.0,0.0,,,43.52
2020-11-17,0.0,0.0,,,0.0,0.0,,,43.52
2020-11-18,0.0,0.0,,,0.0,0.0,,,43.52
2020-11-19,0.0,0.0,,,0.0,0.0,,,43.52
2020-11-20,0.0,0.0,,,0.0,0.0,,,43.52
2020-11-21,0.0,0.0,,,0.0,0.0,,,43.52
2020-11-22,0.0,0.0,,,0.0,0.0,,,43.52
2020-11-23,0.0,0.0,,,0.0,0.0,,,43.52
2020-11-24,1.0,0.143,,,1.381,0.197,,,43.52
2020-11-25,0.0,0.143,,,0.0,0.197,,,43.52
2020-11-26,0.0,0.143,,,0.0,0.197,,,43.52
2020-11-27,0.0,0.143,,,0.0,0.197,,,43.52
2020-11-28,0.0,0.143,,,0.0,0.197,,,43.52
2020-11-29,0.0,0.143,,,0.0,0.197,,,36.11
2020-11-30,0.0,0.143,,,0.0,0.197,,,36.11
2020-12-01,0.0,0.0,,,0.0,0.0,,,36.11
2020-12-02,0.0,0.0,,,0.0,0.0,,,36.11
2020-12-03,0.0,0.0,,,0.0,0.0,,,36.11
2020-12-04,0.0,0.0,,,0.0,0.0,,,36.11
2020-12-05,0.0,0.0,,,0.0,0.0,,,36.11
2020-12-06,0.0,0.0,,,0.0,0.0,,,36.11
2020-12-07,0.0,0.0,,,0.0,0.0,,,36.11
2020-12-08,0.0,0.0,,,0.0,0.0,,,36.11
2020-12-09,0.0,0.0,,,0.0,0.0,,,36.11
2020-12-10,0.0,0.0,,,0.0,0.0,,,36.11
2020-12-11,0.0,0.0,,,0.0,0.0,,,36.11
2020-12-12,0.0,0.0,,,0.0,0.0,,,36.11
2020-12-13,0.0,0.0,,,0.0,0.0,,,36.11
2020-12-14,0.0,0.0,,,0.0,0.0,,,36.11
2020-12-15,0.0,0.0,,,0.0,0.0,,,36.11
2020-12-16,0.0,0.0,,,0.0,0.0,,,36.11
2020-12-17,0.0,0.0,,,0.0,0.0,,,36.11
