time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-22,0.0,,0.0,,0.0,,0.0,,
2020-02-23,2.0,,0.0,,0.005,,0.0,,
2020-02-24,0.0,,0.0,,0.0,,0.0,,
2020-02-25,0.0,,0.0,,0.0,,0.0,,
2020-02-26,1.0,,0.0,,0.002,,0.0,,
2020-02-27,0.0,0.429,0.0,0.0,0.0,0.001,0.0,0.0,
2020-02-28,0.0,0.429,0.0,0.0,0.0,0.001,0.0,0.0,
2020-02-29,1.0,0.571,0.0,0.0,0.002,0.001,0.0,0.0,
2020-03-01,13.0,2.143,0.0,0.0,0.03,0.005,0.0,0.0,
2020-03-02,0.0,2.143,0.0,0.0,0.0,0.005,0.0,0.0,
2020-03-03,3.0,2.571,0.0,0.0,0.007,0.006,0.0,0.0,
2020-03-04,5.0,3.143,0.0,0.0,0.011,0.007,0.0,0.0,
2020-03-05,6.0,4.0,0.0,0.0,0.014,0.009,0.0,0.0,
2020-03-06,12.0,5.714,1.0,0.143,0.027,0.013,0.002,0.0,
2020-03-07,6.0,6.429,0.0,0.143,0.014,0.015,0.0,0.0,
2020-03-08,25.0,8.143,2.0,0.429,0.057,0.019,0.005,0.001,
2020-03-09,7.0,9.143,0.0,0.429,0.016,0.021,0.0,0.001,
2020-03-10,26.0,12.429,0.0,0.429,0.06,0.028,0.0,0.001,
2020-03-11,29.0,15.857,0.0,0.429,0.066,0.036,0.0,0.001,
2020-03-12,20.0,17.857,2.0,0.714,0.046,0.041,0.005,0.002,
2020-03-13,154.0,38.143,1.0,0.714,0.353,0.087,0.002,0.002,
2020-03-14,78.0,48.429,2.0,1.0,0.179,0.111,0.005,0.002,
2020-03-15,66.0,54.286,2.0,1.0,0.151,0.124,0.005,0.002,
2020-03-16,235.0,86.857,0.0,1.0,0.538,0.199,0.0,0.002,
2020-03-17,291.0,124.714,5.0,1.714,0.666,0.286,0.011,0.004,
2020-03-18,240.0,154.857,8.0,2.857,0.549,0.355,0.018,0.007,
2020-03-19,473.0,219.571,10.0,4.0,1.083,0.503,0.023,0.009,
2020-03-20,644.0,289.571,14.0,5.857,1.474,0.663,0.032,0.013,
2020-03-21,711.0,380.0,11.0,7.143,1.628,0.87,0.025,0.016,
2020-03-22,1132.0,532.286,24.0,10.286,2.591,1.219,0.055,0.024,
2020-03-23,817.0,615.429,21.0,13.286,1.87,1.409,0.048,0.03,
2020-03-24,856.0,696.143,30.0,16.857,1.96,1.594,0.069,0.039,
2020-03-25,817.0,778.571,30.0,20.0,1.87,1.782,0.069,0.046,
2020-03-26,1120.0,871.0,34.0,23.429,2.564,1.994,0.078,0.054,
2020-03-27,1176.0,947.0,31.0,25.857,2.692,2.168,0.071,0.059,
