male,female,total
16472.941,15760.579,32233.52
16571.888,15918.437,32490.325
16683.749,16110.463,32794.212
17225.021,16719.247,33944.268
17561.548,17317.163,34878.711
17480.677,17287.474,34768.151
17028.739,16973.037,34001.776
16389.677,16558.731,32948.408
14870.806,15302.537,30173.343
13006.586,13660.585,26667.171
11862.6,12699.934,24562.534
10552.346,11541.944,22094.29
8578.861,9665.605,18244.466
6740.119,7862.341,14602.46
4750.351,5836.746,10587.097
3076.441,4102.174,7178.615
1896.412,2814.093,4710.505
906.1,1587.549,2493.649
339.357,723.175,1062.532
77.953,201.769,279.722
10.901,33.116,44.017
