time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-01,1.0,,,,0.021,,,,11.11
2020-02-02,0.0,,,,0.0,,,,11.11
2020-02-03,0.0,,,,0.0,,,,11.11
2020-02-04,0.0,,,,0.0,,,,11.11
2020-02-05,0.0,,,,0.0,,,,11.11
2020-02-06,0.0,0.143,,,0.0,0.003,,,11.11
2020-02-07,0.0,0.143,,,0.0,0.003,,,11.11
2020-02-08,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-09,1.0,0.143,,,0.021,0.003,,,11.11
2020-02-10,0.0,0.143,,,0.0,0.003,,,11.11
2020-02-11,0.0,0.143,,,0.0,0.003,,,11.11
2020-02-12,0.0,0.143,,,0.0,0.003,,,11.11
2020-02-13,0.0,0.143,,,0.0,0.003,,,11.11
2020-02-14,0.0,0.143,,,0.0,0.003,,,11.11
2020-02-15,0.0,0.143,,,0.0,0.003,,,11.11
2020-02-16,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-17,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-18,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-19,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-20,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-21,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-22,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-23,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-24,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-25,4.0,0.571,,,0.084,0.012,,,11.11
2020-02-26,7.0,1.571,,,0.147,0.033,,,11.11
2020-02-27,2.0,1.857,,,0.042,0.039,,,11.11
2020-02-28,17.0,4.286,,,0.357,0.09,,,11.11
2020-02-29,13.0,6.143,,,0.273,0.129,,,11.11
2020-03-01,39.0,11.714,,,0.82,0.246,,,11.11
2020-03-02,36.0,16.857,,,0.757,0.354,,,11.11
2020-03-03,45.0,22.714,1.0,,0.946,0.478,0.021,,11.11
2020-03-04,57.0,29.857,1.0,,1.199,0.628,0.021,,11.11
2020-03-05,37.0,34.857,1.0,,0.778,0.733,0.021,,11.11
2020-03-06,141.0,52.571,2.0,,2.965,1.105,0.042,,11.11
2020-03-07,100.0,65.0,5.0,,2.103,1.367,0.105,,11.11
2020-03-08,173.0,84.143,7.0,2.429,3.638,1.769,0.147,0.051,11.11
2020-03-09,400.0,136.143,11.0,4.0,8.411,2.863,0.231,0.084,25.0
2020-03-10,622.0,218.571,7.0,4.857,13.079,4.596,0.147,0.102,45.83
2020-03-11,582.0,293.571,19.0,7.429,12.238,6.173,0.4,0.156,45.83
2020-03-12,0.0,288.286,1.0,7.429,0.0,6.062,0.021,0.156,45.83
2020-03-13,2955.0,690.286,78.0,18.286,62.134,14.514,1.64,0.384,45.83
2020-03-14,1159.0,841.571,62.0,26.429,24.37,17.695,1.304,0.556,67.13
2020-03-15,1407.0,1017.857,94.0,38.857,29.585,21.402,1.977,0.817,67.13
2020-03-16,2144.0,1267.0,53.0,44.857,45.081,26.641,1.114,0.943,68.98
2020-03-17,1806.0,1436.143,191.0,71.143,37.974,30.197,4.016,1.496,71.76
2020-03-18,2162.0,1661.857,90.0,81.286,45.46,34.943,1.892,1.709,71.76
2020-03-19,4053.0,2240.857,207.0,110.714,85.221,47.118,4.353,2.328,71.76
2020-03-20,2447.0,2168.286,213.0,130.0,51.452,45.592,4.479,2.733,71.76
2020-03-21,4964.0,2711.857,332.0,168.571,104.376,57.021,6.981,3.544,71.76
2020-03-22,3394.0,2995.714,397.0,211.857,71.365,62.99,8.348,4.455,71.76
2020-03-23,6368.0,3599.143,539.0,281.286,133.898,75.678,11.333,5.915,71.76
2020-03-24,4749.0,4019.571,497.0,325.0,99.856,84.518,10.45,6.834,71.76
2020-03-25,9630.0,5086.429,839.0,432.0,202.487,106.951,17.641,9.084,71.76
2020-03-26,8271.0,5689.0,718.0,505.0,173.912,119.621,15.097,10.618,71.76
