male,female,total
1025.667,964.429,1990.096
1156.707,1087.684,2244.391
1290.642,1207.312,2497.954
1150.896,1087.227,2238.123
1154.966,1100.943,2255.909
1204.153,1157.537,2361.69
1316.047,1302.925,2618.972
1636.394,1646.627,3283.021
2026.517,1974.359,4000.876
2012.53,1925.093,3937.623
1828.634,1803.608,3632.242
1684.404,1729.681,3414.085
1426.256,1513.055,2939.311
1147.93,1253.413,2401.343
1022.777,1181.373,2204.15
805.921,1005.235,1811.156
530.58,757.756,1288.336
378.432,660.685,1039.117
147.935,323.32,471.255
28.428,83.622,112.05
2.522,10.561,13.083
