time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2021-04-20,,,,,,,,,47.22
2021-04-21,,,,,,,,,47.22
2021-04-22,,,,,,,,,47.22
2021-04-23,,,,,,,,,47.22
2021-04-24,,,,,,,,,47.22
2021-04-25,,,,,,,,,47.22
2021-04-26,,,,,,,,,47.22
2021-04-27,,,,,,,,,47.22
2021-04-28,,,,,,,,,47.22
2021-04-29,,,,,,,,,47.22
2021-04-30,,,,,,,,,47.22
2021-05-01,,,,,,,,,47.22
2021-05-02,,,,,,,,,47.22
2021-05-03,,,,,,,,,47.22
2021-05-04,,,,,,,,,47.22
2021-05-05,,,,,,,,,47.22
2021-05-06,,,,,,,,,47.22
2021-05-07,,,,,,,,,47.22
2021-05-08,,,,,,,,,47.22
2021-05-09,,,,,,,,,47.22
2021-05-10,,,,,,,,,47.22
2021-05-11,,,,,,,,,47.22
2021-05-12,,,,,,,,,47.22
2021-05-13,,,,,,,,,47.22
2021-05-14,,,,,,,,,47.22
2021-05-15,,,,,,,,,47.22
2021-05-16,,,,,,,,,47.22
2021-05-17,,,,,,,,,47.22
2021-05-18,,,,,,,,,47.22
2021-05-19,,,,,,,,,47.22
2021-05-20,,,,,,,,,47.22
2021-05-21,,,,,,,,,47.22
2021-05-22,,,,,,,,,47.22
2021-05-23,,,,,,,,,47.22
2021-05-24,,,,,,,,,47.22
2021-05-25,,,,,,,,,47.22
2021-05-26,,,,,,,,,47.22
2021-05-27,,,,,,,,,47.22
2021-05-28,,,,,,,,,47.22
2021-05-29,,,,,,,,,47.22
2021-05-30,,,,,,,,,47.22
2021-05-31,,,,,,,,,47.22
2021-06-01,,,,,,,,,47.22
2021-06-02,,,,,,,,,47.22
2021-06-03,,,,,,,,,47.22
2021-06-04,,,,,,,,,47.22
2021-06-05,,,,,,,,,47.22
2021-06-06,,,,,,,,,47.22
2021-06-07,,,,,,,,,47.22
2021-06-08,,,,,,,,,47.22
2021-06-09,,,,,,,,,47.22
2021-06-10,,,,,,,,,47.22
2021-06-11,,,,,,,,,47.22
2021-06-12,,,,,,,,,47.22
2021-06-13,,,,,,,,,47.22
2021-06-14,,,,,,,,,47.22
2021-06-15,,,,,,,,,35.19
2021-06-16,,,,,,,,,35.19
2021-06-17,,,,,,,,,35.19
2021-06-18,,,,,,,,,35.19
2021-06-19,,,,,,,,,35.19
2021-06-20,,,,,,,,,35.19
2021-06-21,,,,,,,,,35.19
2021-06-22,,,,,,,,,35.19
2021-06-23,,,,,,,,,35.19
2021-06-24,,,,,,,,,35.19
2021-06-25,,,,,,,,,35.19
2021-06-26,,,,,,,,,35.19
2021-06-27,,,,,,,,,35.19
2021-06-28,,,,,,,,,35.19
2021-06-29,,,,,,,,,35.19
2021-06-30,,,,,,,,,35.19
2021-07-01,,,,,,,,,35.19
2021-07-02,,,,,,,,,35.19
2021-07-03,,,,,,,,,35.19
2021-07-04,,,,,,,,,35.19
2021-07-05,,,,,,,,,35.19
2021-07-06,,,,,,,,,43.52
2021-07-07,,,,,,,,,43.52
2021-07-08,,,,,,,,,43.52
2021-07-09,,,,,,,,,43.52
2021-07-10,,,,,,,,,43.52
2021-07-11,,,,,,,,,43.52
2021-07-12,,,,,,,,,43.52
2021-07-13,,,,,,,,,43.52
2021-07-14,,,,,,,,,43.52
2021-07-15,,,,,,,,,43.52
2021-07-16,,,,,,,,,43.52
2021-07-17,,,,,,,,,43.52
2021-07-18,,,,,,,,,43.52
2021-07-19,,,,,,,,,43.52
2021-07-20,,,,,,,,,43.52
2021-07-21,,,,,,,,,43.52
2021-07-22,,,,,,,,,43.52
2021-07-23,,,,,,,,,43.52
2021-07-24,,,,,,,,,43.52
2021-07-25,,,,,,,,,43.52
2021-07-26,,,,,,,,,43.52
2021-07-27,,,,,,,,,43.52
2021-07-28,,,,,,,,,43.52
2021-07-29,,,,,,,,,43.52
2021-07-30,,,,,,,,,43.52
2021-07-31,,,,,,,,,43.52
2021-08-01,,,,,,,,,43.52
2021-08-02,,,,,,,,,43.52
2021-08-03,,,,,,,,,43.52
2021-08-04,,,,,,,,,43.52
2021-08-05,,,,,,,,,43.52
2021-08-06,,,,,,,,,43.52
2021-08-07,,,,,,,,,43.52
2021-08-08,,,,,,,,,43.52
2021-08-09,,,,,,,,,43.52
2021-08-10,,,,,,,,,43.52
2021-08-11,,,,,,,,,43.52
2021-08-12,,,,,,,,,43.52
2021-08-13,,,,,,,,,43.52
2021-08-14,,,,,,,,,43.52
2021-08-15,,,,,,,,,43.52
2021-08-16,,,,,,,,,43.52
2021-08-17,,,,,,,,,43.52
2021-08-18,,,,,,,,,43.52
2021-08-19,,,,,,,,,43.52
2021-08-20,,,,,,,,,43.52
2021-08-21,,,,,,,,,43.52
2021-08-22,,,,,,,,,43.52
2021-08-23,,,,,,,,,43.52
2021-08-24,,,,,,,,,43.52
2021-08-25,,,,,,,,,43.52
2021-08-26,,,,,,,,,43.52
2021-08-27,,,,,,,,,43.52
2021-08-28,,,,,,,,,43.52
2021-08-29,,,,,,,,,43.52
2021-08-30,,,,,,,,,43.52
2021-08-31,,,,,,,,,43.52
2021-09-01,,,,,,,,,43.52
2021-09-02,,,,,,,,,43.52
2021-09-03,,,,,,,,,43.52
2021-09-04,,,,,,,,,43.52
2021-09-05,,,,,,,,,43.52
2021-09-06,,,,,,,,,43.52
2021-09-07,,,,,,,,,43.52
2021-09-08,,,,,,,,,43.52
2021-09-09,,,,,,,,,43.52
2021-09-10,,,,,,,,,43.52
2021-09-11,,,,,,,,,43.52
2021-09-12,,,,,,,,,43.52
2021-09-13,,,,,,,,,43.52
2021-09-14,,,,,,,,,43.52
2021-09-15,,,,,,,,,43.52
2021-09-16,,,,,,,,,43.52
2021-09-17,,,,,,,,,43.52
2021-09-18,,,,,,,,,43.52
2021-09-19,,,,,,,,,43.52
2021-09-20,,,,,,,,,43.52
2021-09-21,,,,,,,,,43.52
2021-09-22,,,,,,,,,43.52
2021-09-23,,,,,,,,,43.52
2021-09-24,,,,,,,,,43.52
2021-09-25,,,,,,,,,43.52
2021-09-26,,,,,,,,,43.52
2021-09-27,,,,,,,,,43.52
2021-09-28,,,,,,,,,43.52
2021-09-29,,,,,,,,,43.52
2021-09-30,,,,,,,,,43.52
2021-10-01,,,,,,,,,43.52
2021-10-02,,,,,,,,,43.52
2021-10-03,,,,,,,,,43.52
2021-10-04,,,,,,,,,43.52
2021-10-05,,,,,,,,,43.52
2021-10-06,,,,,,,,,43.52
2021-10-07,,,,,,,,,43.52
2021-10-08,,,,,,,,,43.52
2021-10-09,,,,,,,,,43.52
2021-10-10,,,,,,,,,43.52
2021-10-11,,,,,,,,,43.52
2021-10-12,,,,,,,,,43.52
2021-10-13,,,,,,,,,43.52
2021-10-14,,,,,,,,,43.52
2021-10-15,,,,,,,,,43.52
2021-10-16,,,,,,,,,43.52
2021-10-17,,,,,,,,,43.52
2021-10-18,,,,,,,,,43.52
2021-10-19,,,,,,,,,43.52
2021-10-20,,,,,,,,,43.52
2021-10-21,,,,,,,,,43.52
2021-10-22,,,,,,,,,43.52
2021-10-23,,,,,,,,,43.52
2021-10-24,,,,,,,,,43.52
2021-10-25,,,,,,,,,43.52
2021-10-26,,,,,,,,,43.52
2021-10-27,,,,,,,,,43.52
2021-10-28,,,,,,,,,43.52
2021-10-29,1.0,,,,9.357,,,,43.52
2021-10-30,0.0,,,,0.0,,,,43.52
2021-10-31,0.0,,,,0.0,,,,43.52
2021-11-01,0.0,,,,0.0,,,,43.52
2021-11-02,0.0,,,,0.0,,,,82.87
2021-11-03,0.0,0.143,,,0.0,1.337,,,82.87
2021-11-04,0.0,0.143,,,0.0,1.337,,,82.87
2021-11-05,0.0,0.0,,,0.0,0.0,,,82.87
2021-11-06,0.0,0.0,,,0.0,0.0,,,82.87
2021-11-07,0.0,0.0,,,0.0,0.0,,,82.87
2021-11-08,0.0,0.0,,,0.0,0.0,,,82.87
2021-11-09,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-10,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-11,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-12,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-13,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-14,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-15,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-16,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-17,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-18,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-19,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-20,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-21,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-22,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-23,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-24,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-25,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-26,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-27,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-28,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-29,0.0,0.0,,,0.0,0.0,,,47.22
2021-11-30,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-01,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-02,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-03,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-04,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-05,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-06,0.0,0.0,,,0.0,0.0,,,52.78
2021-12-07,0.0,0.0,,,0.0,0.0,,,52.78
2021-12-08,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-09,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-10,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-11,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-12,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-13,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-14,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-15,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-16,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-17,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-18,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-19,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-20,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-21,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-22,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-23,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-24,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-25,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-26,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-27,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-28,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-29,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-30,0.0,0.0,,,0.0,0.0,,,47.22
2021-12-31,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-01,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-02,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-03,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-04,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-05,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-06,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-07,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-08,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-09,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-10,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-11,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-12,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-13,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-14,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-15,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-16,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-17,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-18,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-19,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-20,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-21,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-22,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-23,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-24,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-25,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-26,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-27,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-28,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-29,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-30,0.0,0.0,,,0.0,0.0,,,47.22
2022-01-31,0.0,0.0,,,0.0,0.0,,,47.22
2022-02-01,0.0,0.0,,,0.0,0.0,,,52.78
2022-02-02,4.0,0.571,,,37.43,5.347,,,96.3
2022-02-03,1.0,0.714,,,9.357,6.684,,,96.3
2022-02-04,1.0,0.857,,,9.357,8.021,,,96.3
2022-02-05,0.0,0.857,,,0.0,8.021,,,96.3
2022-02-06,0.0,0.857,,,0.0,8.021,,,96.3
2022-02-07,2.0,1.143,,,18.715,10.694,,,96.3
2022-02-08,6.0,2.0,,,56.145,18.715,,,96.3
2022-02-09,20.0,4.286,,,187.149,40.103,,,96.3
2022-02-10,31.0,8.571,,,290.08,80.207,,,96.3
2022-02-11,7.0,9.429,,,65.502,88.227,,,96.3
2022-02-12,0.0,9.429,,,0.0,88.227,,,96.3
2022-02-13,68.0,19.143,,,636.305,179.128,,,96.3
2022-02-14,0.0,18.857,,,0.0,176.454,,,96.3
2022-02-15,0.0,18.0,,,0.0,168.434,,,96.3
2022-02-16,0.0,15.143,,,0.0,141.698,,,96.3
2022-02-17,69.0,20.571,,,645.662,192.496,,,96.3
2022-02-18,24.0,23.0,,,224.578,215.221,,,96.3
2022-02-19,0.0,23.0,,,0.0,215.221,,,96.3
2022-02-20,0.0,13.286,,,0.0,124.32,,,96.3
2022-02-21,0.0,13.286,,,0.0,124.32,,,92.59
2022-02-22,20.0,16.143,,,187.149,151.056,,,92.59
2022-02-23,35.0,21.143,,,327.51,197.843,,,92.59
2022-02-24,0.0,11.286,,,0.0,105.605,,,92.59
2022-02-25,66.0,17.286,,,617.59,161.75,,,92.59
2022-02-26,0.0,17.286,,,0.0,161.75,,,92.59
