time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-14,2.0,,,,1.306,,,,37.96
2020-03-15,0.0,,,,0.0,,,,37.96
2020-03-16,2.0,,,,1.306,,,,51.85
2020-03-17,1.0,,,,0.653,,,,55.56
2020-03-18,2.0,,,,1.306,,,,55.56
2020-03-19,2.0,1.286,,,1.306,0.84,,,55.56
2020-03-20,0.0,1.286,,,0.0,0.84,,,55.56
2020-03-21,40.0,6.714,,,26.126,4.385,,,61.11
2020-03-22,1.0,6.857,,,0.653,4.479,,,61.11
2020-03-23,1.0,6.714,,,0.653,4.385,,,63.89
2020-03-24,6.0,7.429,,,3.919,4.852,,,63.89
2020-03-25,3.0,7.571,1.0,,1.959,4.945,0.653,,63.89
2020-03-26,5.0,8.0,0.0,,3.266,5.225,0.0,,63.89
2020-03-27,1.0,8.143,1.0,,0.653,5.319,0.653,,63.89
2020-03-28,8.0,3.571,1.0,,5.225,2.333,0.653,,63.89
2020-03-29,4.0,4.0,0.0,,2.613,2.613,0.0,,69.44
2020-03-30,4.0,4.429,0.0,0.429,2.613,2.893,0.0,0.28,76.85
2020-03-31,5.0,4.286,0.0,0.429,3.266,2.799,0.0,0.28,79.63
2020-04-01,3.0,4.286,2.0,0.571,1.959,2.799,1.306,0.373,79.63
2020-04-02,4.0,4.143,0.0,0.571,2.613,2.706,0.0,0.373,79.63
2020-04-03,4.0,4.571,1.0,0.571,2.613,2.986,0.653,0.373,79.63
2020-04-04,5.0,4.143,0.0,0.429,3.266,2.706,0.0,0.28,79.63
2020-04-05,1.0,3.714,1.0,0.571,0.653,2.426,0.653,0.373,79.63
2020-04-06,1.0,3.286,1.0,0.714,0.653,2.146,0.653,0.467,79.63
2020-04-07,2.0,2.857,0.0,0.714,1.306,1.866,0.0,0.467,79.63
2020-04-08,0.0,2.429,0.0,0.429,0.0,1.586,0.0,0.28,79.63
2020-04-09,2.0,2.143,0.0,0.429,1.306,1.4,0.0,0.28,79.63
2020-04-10,0.0,1.571,0.0,0.286,0.0,1.026,0.0,0.187,79.63
2020-04-11,3.0,1.286,0.0,0.286,1.959,0.84,0.0,0.187,79.63
2020-04-12,1.0,1.286,0.0,0.143,0.653,0.84,0.0,0.093,79.63
2020-04-13,0.0,1.143,0.0,0.0,0.0,0.746,0.0,0.0,79.63
2020-04-14,0.0,0.857,0.0,0.0,0.0,0.56,0.0,0.0,79.63
2020-04-15,1.0,1.0,0.0,0.0,0.653,0.653,0.0,0.0,79.63
2020-04-16,0.0,0.714,0.0,0.0,0.0,0.467,0.0,0.0,79.63
2020-04-17,0.0,0.714,0.0,0.0,0.0,0.467,0.0,0.0,79.63
2020-04-18,0.0,0.286,0.0,0.0,0.0,0.187,0.0,0.0,79.63
2020-04-19,0.0,0.143,0.0,0.0,0.0,0.093,0.0,0.0,79.63
2020-04-20,0.0,0.143,0.0,0.0,0.0,0.093,0.0,0.0,79.63
2020-04-21,1.0,0.286,0.0,0.0,0.653,0.187,0.0,0.0,79.63
2020-04-22,0.0,0.143,0.0,0.0,0.0,0.093,0.0,0.0,79.63
2020-04-23,0.0,0.143,0.0,0.0,0.0,0.093,0.0,0.0,79.63
2020-04-24,0.0,0.143,0.0,0.0,0.0,0.093,0.0,0.0,79.63
2020-04-25,0.0,0.143,0.0,0.0,0.0,0.093,0.0,0.0,79.63
2020-04-26,0.0,0.143,0.0,0.0,0.0,0.093,0.0,0.0,79.63
2020-04-27,1.0,0.286,0.0,0.0,0.653,0.187,0.0,0.0,90.74
2020-04-28,0.0,0.143,0.0,0.0,0.0,0.093,0.0,0.0,90.74
2020-04-29,0.0,0.143,0.0,0.0,0.0,0.093,0.0,0.0,90.74
2020-04-30,0.0,0.143,0.0,0.0,0.0,0.093,0.0,0.0,90.74
2020-05-01,0.0,0.143,0.0,0.0,0.0,0.093,0.0,0.0,90.74
2020-05-02,0.0,0.143,0.0,0.0,0.0,0.093,0.0,0.0,90.74
2020-05-03,0.0,0.143,0.0,0.0,0.0,0.093,0.0,0.0,90.74
2020-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.74
2020-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.74
2020-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.74
2020-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.74
2020-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.74
2020-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.74
2020-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.74
2020-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.74
2020-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.74
2020-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.74
2020-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.74
2020-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.74
2020-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.74
2020-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.74
2020-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.74
2020-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.74
2020-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.74
2020-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.04
