male,female,total
3356.73,3210.418,6567.148
3502.739,3349.383,6852.122
3462.103,3311.135,6773.238
3488.963,3332.948,6821.911
3449.266,3320.753,6770.019
3244.671,3159.473,6404.144
3218.521,3176.459,6394.98
3188.251,3191.5,6379.751
2977.206,3030.868,6008.074
2661.822,2776.683,5438.505
2315.977,2439.491,4755.468
1989.447,2163.508,4152.955
1580.771,1865.429,3446.2
1212.619,1533.573,2746.192
861.882,1108.614,1970.496
583.891,799.192,1383.083
355.837,521.526,877.363
152.903,300.443,453.346
29.563,95.421,124.984
2.829,14.982,17.811
0.134,1.143,1.277
